Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,415.2,441.2,509.1,593.0,372.2,339.7
Other Revenue,0.6,0.1,0.4,24.4,36.1,28.5
Total Revenues,481.2,514.5,563.5,649.6,408.3,368.3
Property Expenses,22.6,31.3,29.7,60.7,58.6,60.8
Selling General & Admin Exp.,37.5,43.4,48.9,46.4,42.6,42.9
Depreciation & Amortization,107.6,121.4,138.4,158.8,170.3,166.8
Other Operating Expenses,(3.6),(0.6),(74.3),28.8,16.5,9.5
Total Operating Expenses,164.1,195.5,142.7,294.7,288.0,276.1
Operating Income,317.1,319.0,420.8,354.9,120.3,92.2
Total Interest Expense,(95.3),(131.6),(133.8),(141.9),(157.4),(160.2)
Interest and Investment Income,,0.2,0.4,2.2,2.8,1.1
Net Interest Expenses,(95.3),(131.5),(133.5),(139.7),(154.6),(159.1)
Other Non Operating Income,(0.2),(2.0),(2.4),(2.3),(3.1),(2.6)
"EBT, Excl. Unusual Items",224.3,188.0,286.6,214.0,(36.4),(68.7)
Gain (Loss) on Sale of Assets,5.3,41.9,3.0,4.2,50.1,50.1
Asset Writedown,,(1.9),(27.3),(2.2),(85.7),(85.7)
Other Unusual Items,(0.9),(0.6),(32.0),(38.3),(32.3),(32.5)
"EBT, Incl. Unusual Items",225.5,227.6,224.2,151.5,(115.0),(147.6)
Income Tax Expense,0.6,2.4,2.3,(3.0),16.8,17.9
Earnings From Continuing Operations,225.0,225.2,221.9,154.6,(131.7),(165.5)
Earnings Of Discontinued Operations,,37.8,45.0,47.7,,
Net Income to Company,225.0,263.0,267.0,202.2,(131.7),(165.5)
Net Income,225.0,263.0,267.0,202.2,(131.7),(165.5)
Pref. Dividends and Other Adj.,23.8,28.8,24.1,24.1,24.1,24.1
NI to Common Incl Extra Items,201.2,234.2,242.8,178.1,(155.9),(189.6)
NI to Common Excl. Extra Items,201.2,196.4,197.8,130.4,(155.9),(189.6)
Revenue Per Share,$7.59,$7.23,$7.58,$8.46,$5.37,$4.91
Basic EPS,$3.17,$3.29,$3.27,$2.32,($2.05),($2.53)
Basic EPS - Continuing Ops,$3.17,$2.76,$2.66,$1.70,($2.05),($2.53)
Basic Weighted Average Shares Outst.,63.4,71.2,74.3,76.7,76.0,75.0
Diluted EPS,$3.17,$3.29,$3.27,$2.32,($2.05),($2.53)
Diluted EPS - Continuing Ops,$3.17,$2.76,$2.66,$1.70,($2.05),($2.53)
Diluted Weighted Average Shares Outst.,63.5,71.3,74.3,76.8,76.0,75.0
Normalized Basic EPS,$2.21,$1.65,$2.41,$1.74,($0.30),($0.57)
Normalized Diluted EPS,$2.21,$1.65,$2.41,$1.74,($0.30),($0.57)
Dividend Per Share,$3.84,$4.08,$4.32,$4.50,$1.52,$0.38
Payout Ratio,118.08%,118.54%,128.22%,181.62%,NM,
FFO,304.6,327.4,414.3,338.6,38.7,1.5
FFO (Diluted),312.4,343.0,429.8,354.1,38.7,(2.4)
AFFO,298.6,368.7,466.3,422.7,143.4,
Funds Available for Distribution,298.6,368.7,466.3,422.7,143.4,
FFO Per Share (Basic),$4.81,$4.60,$5.58,$4.41,$0.51,$0.02
FFO Shares (Basic),63.4,71.2,74.3,76.7,76.0,75.0
FFO Per Share (Diluted),$4.77,$4.58,$5.51,$4.39,$0.51,($0.03)
FFO Shares (Diluted),65.5,74.9,78.1,80.6,76.0,74.1
Adjusted FFO Per Share (Basic),$4.71,$5.18,$6.28,$5.51,$1.89,
Adjusted FFO Per Share (Diluted),$4.56,$4.92,$5.97,$5.25,$1.89,($0.74)
EBITDA,424.9,440.3,558.6,513.4,290.1,260.8
EBITA,318.7,320.9,423.1,358.2,125.4,92.2
EBIT,317.1,319.0,420.8,354.9,120.3,92.2
EBITDAR,425.5,,,515.4,304.6,
Effective Tax Rate,0.2%,1.1%,1.0%,NM,NM,NM
Normalized Net Income,140.2,117.5,179.2,133.7,(22.7),(43.0)
Interest Capitalized,10.7,9.5,9.5,5.0,1.2,
Interest on Long-Term Debt,107.8,143.2,145.8,149.2,161.7,
