Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,2392.2,2505.2,2618.7,3138.1,3378.8,3484.3
Total Revenues,2392.2,2505.2,2618.7,3138.1,3378.8,3484.3
Cost Of Revenues,1517.6,1584.3,1677.6,2040.4,2184.2,2263.3
Gross Profit,874.6,920.8,941.0,1097.6,1194.6,1221.1
Selling General & Admin Expenses,540.2,565.7,484.4,590.8,638.4,633.7
R&D Expenses,,,83.5,109.1,124.1,124.1
Total Operating Expenses,540.2,565.7,567.9,699.9,762.5,757.8
Operating Income,334.4,355.1,373.1,397.7,432.1,463.3
Interest Expense,(19.3),(19.1),(19.1),(28.8),(33.2),(32.5)
Interest And Investment Income,0.8,1.4,2.5,2.8,1.3,1.3
Net Interest Expenses,(18.5),(17.8),(16.6),(26.1),(31.9),(31.3)
Currency Exchange Gains (Loss),1.0,1.5,1.1,1.6,2.0,(1.7)
Other Non Operating Income (Expenses),2.4,4.4,3.7,3.7,4.3,7.1
"EBT, Excl. Unusual Items",328.8,353.2,372.4,388.9,414.1,444.7
"EBT, Incl. Unusual Items",330.5,353.2,372.4,322.1,407.1,456.8
Income Tax Expense,99.5,85.5,100.5,48.2,77.4,85.9
Earnings From Continuing Operations,231.0,267.7,271.9,274.0,329.7,370.9
Net Income to Company,231.0,267.7,271.9,274.0,329.7,370.9
Net Income,231.0,267.7,271.9,274.0,329.7,370.9
NI to Common Incl Extra Items,231.0,267.7,271.9,274.0,329.7,370.9
NI to Common Excl. Extra Items,231.0,267.7,271.9,274.0,329.7,370.9
Revenue Per Share,$21.78,$23.13,$24.62,$29.39,$31.38,$32.31
Basic EPS,$2.10,$2.47,$2.56,$2.57,$3.06,$3.44
Basic EPS - Continuing Ops,$2.10,$2.47,$2.56,$2.57,$3.06,$3.44
Basic Weighted Average Shares Outst.,109.8,108.3,106.4,106.8,107.7,107.8
Diluted EPS,$2.06,$2.41,$2.50,$2.53,$3.03,$3.40
Diluted EPS - Continuing Ops,$2.06,$2.41,$2.50,$2.53,$3.03,$3.40
Diluted Weighted Average Shares Outst.,112.0,111.3,108.7,108.1,108.7,108.8
Normalized Basic EPS,$1.87,$2.04,$2.19,$2.28,$2.40,$2.58
Normalized Diluted EPS,$1.84,$1.98,$2.14,$2.25,$2.38,$2.55
Dividend Per Share,$0.60,$0.70,$0.80,$0.90,$1.00,$1.01
Payout Ratio,28.52%,28.30%,31.27%,35.09%,32.67%,29.46%
EBITDA,398.5,420.1,434.4,485.4,527.7,560.2
EBITA,344.0,365.4,380.9,416.1,451.6,483.0
EBIT,334.4,355.1,373.1,397.7,432.1,463.3
EBITDAR,424.9,448.0,461.8,519.5,550.4,
Effective Tax Rate,30.1%,24.2%,27.0%,14.9%,19.0%,18.8%
Normalized Net Income,205.5,220.8,232.7,243.0,258.8,277.9
Interest Capitalized,0.5,0.3,0.9,1.3,1.0,
Interest on Long-Term Debt,19.8,19.4,20.0,30.1,34.2,
R&D Expense From Footnotes,77.4,80.4,83.5,109.1,124.1,124.1
Foreign Sales,579.6,611.9,643.1,724.9,678.1,
