Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,1831.5,2075.5,2287.7,2559.6,3134.6,3134.6
Total Revenues,1831.5,2075.5,2287.7,2559.6,3134.6,3134.6
Cost Of Revenues,1270.4,1443.6,1592.3,1772.5,2161.3,2161.3
Gross Profit,561.2,631.9,695.4,787.1,973.3,973.3
Selling General & Admin Expenses,457.1,510.1,557.1,639.4,772.4,772.4
Depreciation & Amortization,37.2,43.2,45.4,47.9,55.5,55.5
Total Operating Expenses,497.1,554.9,612.9,718.8,866.0,866.0
Operating Income,64.1,76.9,82.5,68.3,107.4,107.4
Interest Expense,(48.1),(50.8),(56.7),(47.9),(21.8),(21.8)
Interest And Investment Income,1.0,1.1,1.4,2.0,1.8,1.8
Net Interest Expenses,(47.1),(49.7),(55.4),(45.9),(20.0),(20.0)
"EBT, Excl. Unusual Items",16.9,27.2,27.1,22.4,87.3,87.3
"EBT, Incl. Unusual Items",16.9,25.8,21.9,16.8,87.1,87.1
Income Tax Expense,6.7,5.2,6.0,1.4,(19.6),(19.6)
Earnings From Continuing Operations,10.2,20.6,15.9,15.4,106.7,106.7
Net Income to Company,10.2,20.6,15.9,15.4,106.7,106.7
Net Income,10.2,20.6,15.9,15.4,106.7,106.7
NI to Common Incl Extra Items,10.2,20.6,15.9,15.4,106.7,106.7
NI to Common Excl. Extra Items,10.2,20.6,15.9,15.4,106.7,106.7
Revenue Per Share,$26.83,$30.42,$33.41,$32.38,$34.14,$34.14
Basic EPS,$0.15,$0.30,$0.23,$0.20,$1.16,$1.16
Basic EPS - Continuing Ops,$0.15,$0.30,$0.23,$0.20,$1.16,$1.16
Basic Weighted Average Shares Outst.,68.3,68.2,68.5,79.0,91.8,91.8
Diluted EPS,$0.15,$0.30,$0.23,$0.19,$1.08,$1.08
Diluted EPS - Continuing Ops,$0.15,$0.30,$0.23,$0.19,$1.08,$1.08
Diluted Weighted Average Shares Outst.,68.3,68.3,68.5,81.9,98.5,98.5
Normalized Basic EPS,$0.15,$0.25,$0.25,$0.18,$0.59,$0.59
Normalized Diluted EPS,$0.15,$0.25,$0.25,$0.17,$0.55,$0.55
Payout Ratio,847.75%,6.34%,967.90%,23.64%,0.41%,0.41%
EBITDA,101.2,120.1,129.5,118.5,165.4,165.4
EBITA,74.8,88.3,82.5,68.3,107.4,107.4
EBIT,64.1,76.9,82.5,68.3,107.4,107.4
EBITDAR,164.0,199.5,215.5,217.1,277.3,277.3
Effective Tax Rate,39.7%,20.1%,27.4%,8.1%,NM,NM
Normalized Net Income,10.6,17.0,16.9,14.0,54.6,54.6
Interest on Long-Term Debt,48.1,52.3,62.0,53.6,22.0,22.0
