Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,925.2,934.7,975.2,1031.0,1021.9,1016.1
Total Interest And Dividend Income,110.7,120.9,141.3,167.0,154.4,150.9
Gain (Loss) on Sale of Investments,8.9,0.2,(1.4),5.3,13.8,14.1
Other Revenues,13.7,10.2,8.7,10.6,9.1,9.1
Total Revenues,1058.5,1066.1,1123.8,1214.0,1199.1,1190.2
Policy Benefits,240.2,53.7,36.6,118.6,364.8,343.5
Policy Acquisition / Underwriting Costs,149.0,155.8,169.2,175.9,175.0,180.9
Total Operating Expenses,400.6,224.5,226.7,313.3,553.6,538.2
Operating Income,657.9,841.6,897.1,900.6,645.6,652.0
"Interest Expense, Total",(56.7),(57.0),(53.0),(52.7),(59.6),(64.7)
"EBT, Excl. Unusual Items",601.2,784.6,844.2,848.0,586.0,587.4
Gain (Loss) on Sale of Assets,4.0,,,,,
Other Unusual Items,(90.5),(0.1),,,(26.7),(26.7)
"EBT, Incl. Unusual Items",514.7,784.5,844.2,848.0,559.3,560.6
Income Tax Expense,172.2,428.7,174.1,174.2,113.2,114.3
Earnings From Continuing Operations,342.5,355.8,670.1,673.8,446.1,446.3
Net Income to Company,342.5,355.8,670.1,673.8,446.1,446.3
Net Income,342.5,355.8,670.1,673.8,446.1,446.3
NI to Common Incl Extra Items,342.5,355.8,670.1,673.8,446.1,446.3
NI to Common Excl. Extra Items,342.5,355.8,670.1,673.8,446.1,446.3
Revenue Per Share,$3.09,$2.94,$3.08,$3.44,$3.53,$3.51
Basic EPS,$1.00,$0.98,$1.83,$1.91,$1.31,$1.32
Basic EPS - Continuing Ops,$1.00,$0.98,$1.83,$1.91,$1.31,$1.32
Basic Weighted Average Shares Outst.,342.9,362.4,365.4,352.8,340.0,338.7
Diluted EPS,$0.86,$0.95,$1.78,$1.85,$1.29,$1.30
Diluted EPS - Continuing Ops,$0.86,$0.95,$1.78,$1.85,$1.29,$1.30
Diluted Weighted Average Shares Outst.,432.0,394.8,386.1,373.9,359.3,357.1
Normalized Basic EPS,$1.10,$1.35,$1.44,$1.50,$1.08,$1.08
Normalized Diluted EPS,$0.87,$1.24,$1.37,$1.42,$1.02,$1.03
Dividend Per Share,,,,$0.12,$0.24,$0.24
Payout Ratio,,,,6.22%,18.40%,18.32%
EBITDA,719.3,906.0,955.4,949.4,703.4,714.2
EBITA,657.9,841.6,897.1,900.6,645.6,652.0
EBIT,657.9,841.6,897.1,900.6,645.6,652.0
EBITDAR,721.4,908.0,957.3,951.5,705.3,
Effective Tax Rate,33.5%,54.7%,20.6%,20.5%,20.2%,20.4%
Normalized Net Income,375.8,490.4,527.6,530.0,366.2,367.1
