Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,72.24%,47.07%,12.34%,(3.73%),(5.38%)
Total Interest Income,74.95%,48.82%,12.80%,(4.39%),(5.89%)
Interest On Deposits,149.12%,153.50%,53.36%,(41.48%),(55.15%)
Total Interest On Borrowings,126.22%,78.45%,18.24%,(9.19%),(22.17%)
Total Interest Expense,140.40%,126.62%,43.46%,(33.98%),(47.19%)
Net Interest Income,67.17%,35.53%,4.05%,7.26%,10.18%
Service Charges On Deposits,38.16%,80.13%,1.89%,(6.76%),(9.94%)
Trust Income,36.92%,51.70%,7.92%,16.30%,12.98%
Total Other Non Interest Income,29.63%,26.34%,20.83%,17.80%,9.40%
Total Non Interest Income,19.75%,38.61%,32.10%,19.79%,20.14%
Revenue Before Loan Losses,54.31%,36.18%,10.06%,10.49%,12.85%
Provision For Loan Losses,29.11%,45.27%,(20.64%),602.76%,(17.43%)
Total Revenues,55.39%,35.85%,11.23%,(5.61%),16.74%
Salaries And Other Employee Benefits,46.42%,33.62%,15.00%,8.08%,12.08%
Amort. of Goodwill & Intang. Assets,105.93%,19.66%,(6.08%),(1.16%),(6.31%)
Total Selling General & Admin Expenses,55.18%,27.09%,11.27%,1.39%,0.11%
Total Other Non Interest Expense,40.31%,44.35%,5.62%,41.68%,22.12%
Total Non Interest Expense,49.07%,32.83%,12.36%,12.38%,10.69%
"EBT, Excl. Unusual Items",62.37%,38.92%,10.13%,(23.41%),24.40%
Other Unusual Items,,,,,0.00%
"EBT, Incl. Unusual Items",55.70%,51.00%,10.58%,(25.36%),22.39%
Income Tax Expense,93.28%,(27.01%),6.79%,(38.92%),23.71%
Earnings From Continuing Operations,36.75%,106.60%,11.53%,(22.09%),22.11%
Net Income to Company,36.75%,106.60%,11.53%,(22.09%),22.11%
Net Income,36.75%,106.60%,11.53%,(22.09%),22.11%
Preferred Dividend and Other Adjustments,,,,,50.00%
Net Income to Common Incl Extra Items,36.75%,106.60%,11.53%,(23.99%),18.71%
Net Income to Common Excl. Extra Items,36.75%,106.60%,11.53%,(23.99%),18.71%
Revenue Per Share,4.85%,12.36%,12.30%,(4.37%),18.05%
Basic EPS,(7.82%),70.74%,12.65%,(23.00%),20.04%
Basic EPS - Continuing Ops,(7.82%),70.74%,12.65%,(23.00%),20.04%
Basic Weighted Average Shares Outst.,48.15%,20.94%,(0.97%),(1.29%),(1.11%)
Diluted EPS,(7.22%),71.85%,12.50%,(22.80%),20.49%
Diluted EPS - Continuing Ops,(7.22%),71.85%,12.50%,(22.80%),20.49%
Diluted Weighted Average Shares Outst.,47.10%,20.40%,(0.89%),(1.45%),(1.17%)
Normalized Basic EPS,9.60%,14.98%,11.33%,(22.40%),25.80%
Normalized Diluted EPS,10.50%,15.55%,11.05%,(22.31%),25.88%
Dividend Per Share,0.00%,3.57%,10.34%,0.00%,3.13%
Payout Ratio,6.22%,(38.73%),(1.74%),46.79%,
Effective Tax Rate,24.15%,(51.67%),(3.45%),(18.18%),1.08%
Normalized Net Income,62.37%,38.92%,10.13%,(23.41%),24.40%
Interest on Long-Term Debt,,,,(6.58%),
