Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.87%,2.64%,1.03%,9.94%,18.72%
Other Revenues,(7.16%),8.90%,4.35%,(6.75%),(4.32%)
Total Revenues,2.11%,3.07%,1.27%,8.69%,17.03%
Cost Of Revenues,0.76%,2.43%,1.66%,2.61%,4.96%
Gross Profit,6.79%,5.19%,0.03%,28.43%,57.17%
Selling General & Admin Expenses,39.59%,(9.47%),(14.49%),15.34%,22.42%
Total Operating Expenses,39.59%,(9.47%),(14.49%),15.34%,22.42%
Operating Income,0.07%,9.38%,3.47%,30.99%,63.89%
Interest Expense,(4.34%),(7.35%),(2.36%),-12.26%,-15.47%
Net Interest Expenses,(4.34%),(7.35%),(2.36%),-12.26%,-15.47%
Other Non Operating Income (Expenses),-28.37%,,50.69%,(11.57%),26.63%
"EBT, Excl. Unusual Items",(1.62%),11.21%,4.28%,48.18%,95.96%
"EBT, Incl. Unusual Items",22.53%,10.36%,5.14%,42.55%,83.47%
Income Tax Expense,,-96.03%,,54.15%,104.40%
Earnings From Continuing Operations,208.42%,(18.16%),(17.38%),39.58%,77.98%
Net Income to Company,208.42%,(18.16%),(17.38%),39.58%,77.98%
Minority Interest,-31.09%,(90.22%),-50.00%,(31.43%),-28.70%
Net Income,208.78%,(18.19%),(17.35%),39.59%,78.08%
NI to Common Incl Extra Items,208.78%,(18.19%),(17.35%),39.59%,78.08%
NI to Common Excl. Extra Items,208.78%,(18.19%),(17.35%),39.59%,78.08%
Revenue Per Share,5.07%,5.97%,1.36%,12.08%,22.45%
Basic EPS,216.69%,(15.77%),(17.22%),43.82%,86.33%
Basic EPS - Continuing Ops,216.69%,(15.77%),(17.22%),43.82%,86.33%
Basic Weighted Average Shares Outst.,(2.83%),(2.76%),(0.11%),(3.04%),(4.43%)
Diluted EPS,215.98%,(15.85%),(16.74%),44.72%,86.93%
Diluted EPS - Continuing Ops,215.98%,(15.85%),(16.74%),44.72%,86.93%
Diluted Weighted Average Shares Outst.,(1.94%),(2.74%),(0.77%),(3.52%),(4.81%)
Normalized Basic EPS,1.30%,14.03%,4.73%,52.89%,105.20%
Normalized Diluted EPS,0.43%,13.88%,5.00%,53.90%,106.03%
Dividend Per Share,13.73%,17.24%,5.88%,8.33%,9.59%
Payout Ratio,(64.21%),39.23%,28.40%,(25.09%),(41.50%)
EBITDA,0.54%,6.45%,2.30%,23.59%,49.50%
EBITA,(0.49%),8.70%,3.24%,29.30%,61.34%
EBIT,0.07%,9.38%,3.47%,30.99%,63.89%
EBITDAR,0.35%,,,23.08%,
Effective Tax Rate,,,,8.15%,11.41%
Normalized Net Income,(1.59%),11.15%,4.35%,48.19%,96.12%
Interest on Long-Term Debt,,7.35%,2.36%,(12.26%),
Foreign Earnings,32.58%,(8.88%),(38.26%),23.17%,
Foreign Sales,12.79%,(3.41%),(10.01%),2.49%,
