Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.62%,42.71%,12.97%,7.41%,19.60%
Total Revenues,11.62%,42.71%,12.97%,7.41%,19.60%
Cost Of Revenues,11.93%,21.42%,20.73%,13.94%,28.71%
Gross Profit,10.17%,144.69%,(5.47%),(12.40%),(9.91%)
Selling General & Admin Expenses,(2.81%),27.60%,24.25%,42.42%,65.01%
R&D Expenses,47.85%,24.97%,25.04%,(17.04%),(3.44%)
Total Operating Expenses,(0.89%),27.03%,24.16%,38.80%,60.74%
Operating Income,-5.70%,-32.71%,(78.87%),(88.77%),(122.31%)
Interest Expense,(25.79%),(42.83%),(32.23%),(32.34%),(39.44%)
Net Interest Expenses,(25.79%),(42.83%),(32.23%),(32.34%),(39.44%)
"EBT, Excl. Unusual Items",(4.04%),-8.86%,(60.05%),(59.51%),(73.82%)
"EBT, Incl. Unusual Items",(4.04%),-8.86%,(59.15%),(72.21%),(87.99%)
Income Tax Expense,(78.04%),(24.54%),,(637.08%),(770.31%)
Earnings From Continuing Operations,-10.36%,-9.54%,(50.29%),(60.34%),(74.47%)
Net Income to Company,-10.36%,-9.54%,(50.29%),(60.34%),(74.47%)
Minority Interest,4.33%,(30.56%),45.50%,8.67%,29.72%
Net Income,67.03%,(78.76%),(1.21%),,
NI to Common Incl Extra Items,67.03%,(78.76%),(1.21%),,
NI to Common Excl. Extra Items,67.03%,(78.76%),(1.21%),,
Revenue Per Share,8.39%,36.70%,6.90%,(10.49%),(12.24%)
Basic EPS,63.05%,(79.65%),(5.73%),,
Basic EPS - Continuing Ops,63.05%,(79.65%),(5.73%),,
Basic Weighted Average Shares Outst.,2.99%,4.42%,5.73%,19.94%,36.29%
Diluted EPS,61.11%,(80.17%),(8.70%),,
Diluted EPS - Continuing Ops,61.11%,(80.17%),(8.70%),,
Diluted Weighted Average Shares Outst.,3.09%,8.23%,5.78%,12.70%,28.15%
Normalized Basic EPS,1.62%,(48.41%),21.16%,(73.32%),(59.76%)
Normalized Diluted EPS,1.27%,(50.20%),21.03%,(71.52%),(57.21%)
EBITDA,-43.96%,,,(446.54%),(465.76%)
EBITA,-5.82%,-33.49%,(81.22%),(90.55%),(125.26%)
EBIT,-5.70%,-32.71%,(78.87%),(88.77%),(122.31%)
EBITDAR,-51.49%,,,"(1,008.02%)",
Effective Tax Rate,,,,,362.95%
Normalized Net Income,4.53%,(46.05%),27.96%,(67.99%),(45.17%)
Interest on Long-Term Debt,,5.63%,183.28%,(53.52%),
R&D Expense From Footnotes,47.85%,24.97%,25.04%,(17.04%),(3.44%)
