Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,3019.0,2309.0,2589.0,2493.0,2326.0,2332.0
Total Revenues,3019.0,2309.0,2589.0,2493.0,2326.0,2332.0
Cost Of Revenues,2129.0,1554.0,1726.0,1726.0,1619.0,1596.0
Gross Profit,890.0,755.0,863.0,767.0,707.0,736.0
Selling General & Admin Expenses,674.0,527.0,487.0,408.0,370.0,356.0
R&D Expenses,87.0,73.0,73.0,66.0,64.0,59.0
Other Operating Expense/(Income),(7.0),(4.0),(9.0),(4.0),(5.0),0.0
Total Operating Expenses,754.0,596.0,644.0,556.0,514.0,501.0
Operating Income,136.0,159.0,219.0,211.0,193.0,235.0
Interest Expense,(180.0),(227.0),(116.0),(114.0),(88.0),(70.0)
Interest And Investment Income,13.0,13.0,12.0,12.0,11.0,11.0
Net Interest Expenses,(167.0),(214.0),(104.0),(102.0),(77.0),(59.0)
Other Non Operating Income (Expenses),(6.0),(6.0),(4.0),(4.0),(3.0),(4.0)
"EBT, Excl. Unusual Items",(36.0),(61.0),112.0,105.0,113.0,172.0
"EBT, Incl. Unusual Items",(308.0),(196.0),11.0,70.0,(503.0),176.0
Income Tax Expense,(25.0),(16.0),(8.0),46.0,(12.0),22.0
Earnings From Continuing Operations,(283.0),(180.0),19.0,24.0,(491.0),154.0
Earnings Of Discontinued Operations,255.0,208.0,95.0,481.0,(17.0),(15.0)
Net Income to Company,(28.0),28.0,114.0,505.0,(508.0),139.0
Minority Interest,(1.0),(27.0),,,,
Net Income,(29.0),1.0,114.0,505.0,(508.0),139.0
NI to Common Incl Extra Items,(29.0),1.0,114.0,505.0,(508.0),139.0
NI to Common Excl. Extra Items,(284.0),(207.0),19.0,24.0,(491.0),154.0
Revenue Per Share,$47.92,$37.24,$41.10,$40.21,$38.13,$38.23
Basic EPS,($0.46),$0.02,$1.81,$8.15,($8.33),$2.28
Basic EPS - Continuing Ops,($4.51),($3.34),$0.30,$0.39,($8.05),$2.52
Basic Weighted Average Shares Outst.,63.0,62.0,63.0,62.0,61.0,61.0
Diluted EPS,($0.46),$0.01,$1.77,$8.15,($8.38),$2.28
Diluted EPS - Continuing Ops,($4.51),($3.34),$0.29,$0.39,($8.10),$2.52
Diluted Weighted Average Shares Outst.,63.0,62.0,64.0,63.0,61.0,61.5
Normalized Basic EPS,($0.37),($1.05),$1.11,$1.06,$1.16,$1.76
Normalized Diluted EPS,($0.37),($1.05),$1.09,$1.04,$1.16,$1.75
Dividend Per Share,$1.56,$1.23,$0.95,$1.05,$1.10,$1.10
Payout Ratio,NM,"7,700.00%",52.63%,12.67%,NM,47.48%
EBITDA,432.0,405.0,482.0,461.0,440.0,484.0
EBITA,212.0,239.0,312.0,297.0,278.0,321.0
EBIT,136.0,159.0,219.0,211.0,193.0,235.0
EBITDAR,482.0,443.0,,,483.0,
Effective Tax Rate,NM,NM,NM,65.7%,NM,12.5%
Normalized Net Income,(23.5),(65.1),70.0,65.6,70.6,107.5
Interest Capitalized,1.0,1.0,,,2.0,
R&D Expense From Footnotes,87.0,73.0,73.0,66.0,64.0,59.0
Foreign Sales,1854.0,2309.0,2589.0,2493.0,2326.0,
