Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,14.00%,18.81%,9.77%,(14.58%),(16.23%)
Total Interest Income,11.16%,15.49%,9.42%,(13.21%),(15.72%)
Interest On Deposits,24.86%,45.23%,43.33%,(47.60%),(63.22%)
Total Interest On Borrowings,2.84%,5.47%,20.32%,(38.81%),(55.19%)
Total Interest Expense,13.46%,26.57%,34.33%,(44.52%),(60.30%)
Net Interest Income,10.82%,13.86%,5.34%,(6.67%),(6.36%)
Service Charges On Deposits,7.43%,7.31%,3.60%,(7.14%),(8.14%)
Trust Income,7.23%,5.76%,0.27%,(0.05%),(1.29%)
Total Mortgage Banking Activities,(32.10%),(55.48%),38.22%,199.18%,118.87%
Gain (Loss) on Sale of Invest. & Securities,,,,(72.41%),(100.00%)
Total Other Non Interest Income,(7.06%),16.37%,(0.39%),(0.24%),3.60%
Total Non Interest Income,(1.89%),8.90%,0.97%,(0.01%),(0.49%)
Revenue Before Loan Losses,7.40%,12.64%,4.30%,(5.14%),(4.98%)
Provision For Loan Losses,(27.42%),2.69%,(10.00%),264.42%,(65.78%)
Total Revenues,9.52%,13.04%,4.83%,(13.61%),0.69%
Salaries And Other Employee Benefits,9.43%,7.45%,3.49%,4.06%,3.82%
Amort. of Goodwill & Intang. Assets,(28.13%),(5.29%),0.00%,8.14%,12.74%
Total Selling General & Admin Expenses,25.79%,4.88%,3.23%,(3.01%),(3.56%)
Total Other Non Interest Expense,0.65%,0.46%,8.32%,(20.67%),(17.73%)
Total Non Interest Expense,6.08%,6.74%,1.46%,1.83%,1.58%
"EBT, Excl. Unusual Items",16.59%,24.83%,10.20%,(36.33%),(0.87%)
Restructuring Charges,,,,,"(1,508.29%)"
"EBT, Incl. Unusual Items",16.59%,24.83%,10.20%,(42.47%),(10.05%)
Income Tax Expense,2.11%,(17.42%),28.02%,(42.91%),(11.86%)
Earnings From Continuing Operations,23.32%,41.10%,6.19%,(42.35%),(9.55%)
Net Income to Company,23.32%,41.10%,6.19%,(42.35%),(9.55%)
Net Income,23.32%,41.10%,6.19%,(42.35%),(9.55%)
Preferred Dividend and Other Adjustments,(1.10%),1.24%,11.74%,(6.07%),(2.18%)
Net Income to Common Incl Extra Items,24.40%,42.49%,6.05%,(43.30%),(9.78%)
Net Income to Common Excl. Extra Items,24.40%,42.49%,6.05%,(43.30%),(9.78%)
Revenue Per Share,8.83%,13.04%,5.25%,(12.12%),2.50%
Basic EPS,23.69%,42.75%,6.36%,(42.25%),(8.16%)
Basic EPS - Continuing Ops,23.69%,42.75%,6.36%,(42.25%),(8.16%)
Basic Weighted Average Shares Outst.,0.65%,(0.04%),(0.40%),(1.74%),(1.77%)
Diluted EPS,23.61%,42.70%,6.56%,(42.12%),(7.65%)
Diluted EPS - Continuing Ops,23.61%,42.70%,6.56%,(42.12%),(7.65%)
Diluted Weighted Average Shares Outst.,0.54%,(0.14%),(0.37%),(1.88%),(1.91%)
Normalized Basic EPS,15.60%,25.10%,10.74%,(35.16%),0.91%
Normalized Diluted EPS,16.22%,25.22%,10.72%,(35.10%),1.06%
Dividend Per Share,5.10%,21.36%,22.40%,4.58%,0.00%
Payout Ratio,(14.67%),(15.26%),13.97%,78.37%,
Effective Tax Rate,(12.42%),(33.85%),16.16%,(0.75%),(2.01%)
Normalized Net Income,16.59%,24.83%,10.20%,(36.33%),(0.87%)
Interest on Long-Term Debt,4.32%,9.55%,16.46%,(29.10%),
