Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.65%,23.93%,(11.48%),(8.25%),3.41%
Total Revenues,22.65%,23.93%,(11.48%),(8.25%),3.41%
Cost Of Revenues,23.51%,19.38%,(5.95%),(8.59%),0.47%
Gross Profit,18.51%,46.83%,(34.09%),(6.29%),20.30%
Selling General & Admin Expenses,9.13%,17.84%,(10.15%),4.79%,17.37%
Total Operating Expenses,8.66%,16.55%,(9.38%),4.42%,16.32%
Operating Income,23.94%,61.44%,(42.70%),(12.19%),22.54%
Interest Expense,-7.97%,-5.79%,(3.30%),-2.16%,-8.20%
Interest And Investment Income,,,,(67.86%),0.00%
Net Interest Expenses,-7.97%,-5.79%,-18.81%,(15.73%),(8.55%)
Other Non Operating Income (Expenses),,771.23%,,(159.61%),(182.93%)
"EBT, Excl. Unusual Items",31.08%,73.19%,(45.96%),(17.19%),21.83%
"EBT, Incl. Unusual Items",65.78%,73.19%,(45.96%),(19.40%),19.56%
Income Tax Expense,(36.59%),181.19%,(45.75%),(31.80%),6.60%
Earnings From Continuing Operations,123.83%,55.85%,(46.02%),(15.79%),23.32%
Net Income to Company,123.83%,55.85%,(46.02%),(15.79%),23.32%
Minority Interest,(68.59%),(62.94%),,(194.34%),(152.79%)
Net Income,112.70%,54.83%,(46.67%),(17.92%),21.38%
NI to Common Incl Extra Items,112.70%,54.83%,(46.67%),(17.92%),21.38%
NI to Common Excl. Extra Items,112.70%,54.83%,(46.67%),(17.92%),21.38%
Revenue Per Share,24.41%,27.23%,(5.73%),(4.57%),6.53%
Basic EPS,115.58%,59.16%,(43.21%),(14.75%),25.05%
Basic EPS - Continuing Ops,115.58%,59.16%,(43.21%),(14.75%),25.05%
Basic Weighted Average Shares Outst.,(1.41%),(2.59%),(6.11%),(3.87%),(2.93%)
Diluted EPS,115.38%,59.23%,(43.18%),(14.80%),24.54%
Diluted EPS - Continuing Ops,115.38%,59.23%,(43.18%),(14.80%),24.54%
Diluted Weighted Average Shares Outst.,(1.43%),(2.72%),(6.14%),(3.81%),(2.80%)
Normalized Basic EPS,28.29%,76.37%,(43.32%),(16.63%),22.99%
Normalized Diluted EPS,28.08%,76.14%,(43.34%),(16.76%),22.83%
Dividend Per Share,10.71%,20.97%,28.00%,4.17%,4.12%
Payout Ratio,(49.59%),(25.05%),122.37%,27.31%,(17.23%)
EBITDA,18.06%,49.33%,(35.87%),(8.84%),17.80%
EBITA,23.21%,59.68%,(41.92%),(11.89%),21.82%
EBIT,23.94%,61.44%,(42.70%),(12.19%),22.54%
EBITDAR,18.15%,48.81%,(34.58%),(8.55%),
Effective Tax Rate,(61.75%),62.36%,0.38%,(15.40%),(10.84%)
Normalized Net Income,26.37%,71.60%,(46.77%),(19.85%),19.39%
Interest Capitalized,(32.00%),70.59%,89.66%,334.55%,
Interest on Long-Term Debt,(8.37%),(4.83%),2.38%,(10.43%),
Foreign Sales,,33.98%,(23.47%),(4.62%),
