Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.54%,(13.20%),(7.91%),8.41%,7.02%
Total Revenues,11.54%,(13.20%),(7.91%),8.41%,7.02%
Cost Of Revenues,9.10%,(23.98%),(25.49%),11.60%,8.65%
Gross Profit,14.95%,1.03%,9.58%,6.25%,5.89%
Selling General & Admin Expenses,7.56%,8.18%,27.02%,10.94%,10.75%
Total Operating Expenses,7.56%,8.18%,32.60%,10.58%,10.17%
Operating Income,18.87%,(2.40%),(2.68%),3.10%,2.74%
Interest Expense,(63.33%),-29.18%,(636.39%),-61.08%,-64.41%
Interest And Investment Income,7.06%,945.16%,107.04%,(5.62%),(6.13%)
Net Interest Expenses,(45.53%),"3,675.58%",79.21%,6.36%,5.07%
Other Non Operating Income (Expenses),-50.53%,"(1,458.72%)",,,
"EBT, Excl. Unusual Items",18.82%,4.75%,8.24%,3.63%,3.12%
"EBT, Incl. Unusual Items",20.08%,1.22%,10.63%,4.93%,3.08%
Income Tax Expense,(8.45%),(27.70%),0.58%,30.20%,4.99%
Earnings From Continuing Operations,36.90%,12.64%,13.17%,(0.76%),2.57%
Net Income to Company,36.90%,12.64%,13.17%,(0.76%),2.57%
Net Income,36.90%,12.64%,13.17%,(0.76%),2.57%
NI to Common Incl Extra Items,36.90%,12.64%,13.17%,(0.76%),2.57%
NI to Common Excl. Extra Items,36.90%,12.64%,13.17%,(0.76%),2.57%
Revenue Per Share,9.05%,(14.04%),(8.31%),10.60%,9.81%
Basic EPS,33.95%,11.61%,12.69%,1.22%,5.25%
Basic EPS - Continuing Ops,33.95%,11.61%,12.69%,1.22%,5.25%
Basic Weighted Average Shares Outst.,2.29%,0.99%,0.43%,(1.95%),(2.55%)
Diluted EPS,33.97%,12.09%,13.53%,1.49%,5.72%
Diluted EPS - Continuing Ops,33.97%,12.09%,13.53%,1.49%,5.72%
Diluted Weighted Average Shares Outst.,2.36%,0.37%,(0.31%),(2.28%),(2.78%)
Normalized Basic EPS,16.02%,3.69%,7.75%,5.75%,5.82%
Normalized Diluted EPS,15.89%,4.47%,8.69%,6.12%,6.07%
EBITDA,18.84%,(7.51%),(5.18%),3.74%,3.21%
EBITA,18.87%,(2.40%),0.29%,3.08%,2.58%
EBIT,18.87%,(2.40%),(2.68%),3.10%,2.74%
EBITDAR,16.64%,(7.69%),(4.13%),4.86%,
Effective Tax Rate,(23.75%),(28.58%),(9.10%),24.10%,1.85%
Normalized Net Income,18.82%,4.75%,8.24%,3.63%,3.12%
Interest Capitalized,(59.75%),55.24%,,,
Interest on Long-Term Debt,4.65%,(13.70%),393.50%,(61.08%),
