Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.47%,9.82%,(5.75%),17.56%,47.19%
Total Revenues,10.47%,9.82%,(5.75%),17.56%,47.19%
Cost Of Revenues,11.24%,9.33%,(8.59%),19.47%,49.36%
Gross Profit,8.18%,11.32%,2.80%,12.43%,41.32%
Selling General & Admin Expenses,5.63%,7.74%,1.97%,5.95%,29.46%
Total Operating Expenses,5.63%,7.74%,1.97%,5.95%,29.46%
Operating Income,23.24%,29.42%,6.33%,38.63%,91.65%
Interest Expense,-14.71%,-17.15%,-10.83%,(6.98%),-11.77%
Net Interest Expenses,-14.71%,-17.15%,-10.83%,(6.98%),-11.77%
"EBT, Excl. Unusual Items",104.47%,70.99%,13.74%,49.36%,127.26%
"EBT, Incl. Unusual Items",324.24%,183.65%,8.44%,44.35%,151.35%
Income Tax Expense,,4.55%,9.69%,55.27%,176.30%
Earnings From Continuing Operations,(73.13%),429.10%,8.10%,41.35%,144.96%
Net Income to Company,(73.13%),429.10%,8.10%,41.35%,144.96%
Net Income,(73.13%),429.10%,8.10%,41.35%,144.96%
NI to Common Incl Extra Items,(73.13%),429.10%,8.10%,41.35%,144.96%
NI to Common Excl. Extra Items,(73.13%),429.10%,8.10%,41.35%,144.96%
Revenue Per Share,8.68%,7.90%,(6.66%),16.65%,22.59%
Basic EPS,(73.50%),426.68%,7.09%,40.04%,104.01%
Basic EPS - Continuing Ops,(73.50%),426.68%,7.09%,40.04%,104.01%
Basic Weighted Average Shares Outst.,1.66%,1.78%,0.98%,0.78%,20.07%
Diluted EPS,(73.23%),417.65%,7.95%,40.00%,105.14%
Diluted EPS - Continuing Ops,(73.23%),417.65%,7.95%,40.00%,105.14%
Diluted Weighted Average Shares Outst.,1.77%,0.83%,0.40%,0.76%,19.98%
Normalized Basic EPS,99.09%,67.24%,13.02%,48.43%,89.27%
Normalized Diluted EPS,98.64%,70.51%,13.38%,48.67%,89.41%
EBITDA,10.84%,23.48%,5.46%,34.14%,95.47%
EBITA,20.90%,27.84%,4.06%,38.58%,88.59%
EBIT,23.24%,29.42%,6.33%,38.63%,91.65%
EBITDAR,,,,28.94%,
Effective Tax Rate,,(63.14%),1.15%,7.58%,9.93%
Normalized Net Income,104.47%,70.99%,13.74%,49.36%,127.26%
Interest on Long-Term Debt,,,,(18.88%),
