Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,31.62%,(0.44%),(22.63%),8.06%,9.07%
Total Revenues,31.62%,(0.44%),(22.63%),8.06%,9.07%
Cost Of Revenues,27.13%,(1.24%),(23.78%),3.22%,10.15%
Gross Profit,36.58%,0.38%,(21.46%),12.83%,8.10%
Selling General & Admin Expenses,8.70%,3.57%,(4.03%),3.65%,(2.34%)
R&D Expenses,12.79%,20.68%,2.37%,(7.33%),(6.47%)
Total Operating Expenses,15.30%,15.63%,0.68%,(4.56%),(5.38%)
Operating Income,80.49%,(19.71%),(63.48%),103.85%,47.70%
Interest Expense,(8.83%),-67.97%,-8.33%,0.00%,0.00%
Interest And Investment Income,91.11%,184.13%,68.35%,30.45%,(24.83%)
Net Interest Expenses,-20.86%,,92.85%,35.07%,(27.69%)
Currency Exchange Gains (Loss),,,-77.65%,"(1,847.47%)",
Other Non Operating Income (Expenses),,,,,(78.90%)
"EBT, Excl. Unusual Items",83.67%,(18.40%),(61.30%),98.04%,45.46%
"EBT, Incl. Unusual Items",79.02%,(15.85%),(64.64%),93.36%,28.94%
Income Tax Expense,2.82%,91.51%,(96.36%),480.02%,21.34%
Earnings From Continuing Operations,111.28%,(37.98%),(44.45%),77.24%,30.05%
Net Income to Company,111.28%,(37.98%),(44.45%),77.24%,30.05%
Net Income,111.28%,(37.98%),(44.45%),77.24%,30.05%
NI to Common Incl Extra Items,111.28%,(37.98%),(44.45%),77.24%,30.05%
NI to Common Excl. Extra Items,111.28%,(37.98%),(44.45%),77.24%,30.05%
Revenue Per Share,31.36%,(0.56%),(18.37%),11.40%,9.40%
Basic EPS,110.44%,(37.99%),(41.30%),82.33%,30.44%
Basic EPS - Continuing Ops,110.44%,(37.99%),(41.30%),82.33%,30.44%
Basic Weighted Average Shares Outst.,0.21%,0.12%,(5.19%),(2.99%),(0.30%)
Diluted EPS,109.63%,(37.24%),(40.65%),80.82%,30.75%
Diluted EPS - Continuing Ops,109.63%,(37.24%),(40.65%),80.82%,30.75%
Diluted Weighted Average Shares Outst.,0.86%,(0.92%),(6.62%),(1.82%),(0.13%)
Normalized Basic EPS,83.22%,(18.60%),(59.13%),103.52%,45.90%
Normalized Diluted EPS,81.59%,(17.63%),(58.52%),101.96%,45.66%
EBITDA,63.20%,(11.90%),(48.91%),50.07%,23.01%
EBITA,68.02%,(13.21%),(54.56%),55.72%,27.89%
EBIT,80.49%,(19.71%),(63.48%),103.85%,47.70%
EBITDAR,63.28%,(10.83%),(46.99%),49.70%,
Effective Tax Rate,(42.56%),127.58%,(89.71%),200.22%,(5.89%)
Normalized Net Income,83.67%,(18.40%),(61.30%),98.04%,45.46%
Interest on Long-Term Debt,8.83%,(67.97%),(8.33%),0.00%,
R&D Expense From Footnotes,12.79%,20.68%,2.37%,(7.33%),(6.47%)
Foreign Sales,37.21%,(0.30%),(22.63%),9.03%,
