Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,77.71%,26.11%,(5.38%),5.32%,7.99%
Other Revenues,89.13%,35.23%,(0.30%),0.05%,(1.15%)
Total Revenues,78.58%,26.84%,(4.94%),4.84%,7.17%
Cost Of Revenues,92.27%,15.49%,(1.85%),0.24%,5.75%
Gross Profit,71.06%,33.86%,(6.59%),7.42%,7.94%
Selling General & Admin Expenses,58.34%,22.87%,2.15%,(0.05%),(0.14%)
Depreciation & Amortization,130.57%,18.56%,0.00%,(21.41%),(28.43%)
Total Operating Expenses,62.28%,22.54%,1.99%,(1.62%),(2.18%)
Operating Income,86.62%,51.30%,(17.30%),21.34%,23.07%
Interest Expense,(80.30%),(31.93%),-3.82%,-14.57%,-10.49%
Interest And Investment Income,,,,68.13%,182.78%
Net Interest Expenses,,,,133.51%,601.52%
Currency Exchange Gains (Loss),,,,,(40.50%)
Other Non Operating Income (Expenses),,,(92.44%),,(53.33%)
"EBT, Excl. Unusual Items",95.80%,56.41%,(17.69%),27.17%,27.76%
"EBT, Incl. Unusual Items",111.14%,47.92%,(11.83%),(58.51%),689.27%
Income Tax Expense,,,(15.04%),(56.82%),338.36%
Earnings From Continuing Operations,271.35%,(24.12%),(10.79%),(59.03%),915.68%
Net Income to Company,271.35%,(24.12%),(10.79%),(59.03%),915.68%
Minority Interest,,,,(16.02%),
Net Income,246.83%,(20.09%),(18.37%),(62.21%),552.14%
Preferred Dividend and Other Adjustments,284.44%,(26.59%),(7.87%),(59.83%),2.15%
NI to Common Incl Extra Items,245.91%,(19.92%),(18.63%),(62.27%),618.39%
NI to Common Excl. Extra Items,245.91%,(19.92%),(18.63%),(62.27%),618.39%
Revenue Per Share,21.27%,4.58%,(1.42%),9.89%,12.69%
Basic EPS,134.99%,(33.98%),(15.56%),(60.43%),655.42%
Basic EPS - Continuing Ops,134.99%,(33.98%),(15.56%),(60.43%),655.42%
Basic Weighted Average Shares Outst.,47.30%,21.34%,(3.59%),(4.57%),(4.90%)
Diluted EPS,136.75%,(33.59%),(15.33%),(60.63%),651.54%
Diluted EPS - Continuing Ops,136.75%,(33.59%),(15.33%),(60.63%),651.54%
Diluted Weighted Average Shares Outst.,46.08%,20.70%,(3.73%),(4.61%),(4.74%)
Normalized Basic EPS,21.27%,37.62%,(23.27%),33.78%,12.21%
Normalized Diluted EPS,22.66%,37.79%,(23.19%),34.15%,12.03%
Dividend Per Share,,50.00%,0.00%,0.00%,1.39%
Payout Ratio,(53.13%),34.49%,21.30%,155.39%,(85.26%)
EBITDA,90.50%,47.81%,(15.82%),17.00%,18.05%
EBITA,86.62%,51.30%,(12.93%),17.37%,18.64%
EBIT,86.62%,51.30%,(17.30%),21.34%,23.07%
EBITDAR,,,,16.58%,
Effective Tax Rate,,,(3.65%),4.05%,(44.46%)
Normalized Net Income,79.10%,66.80%,(25.93%),27.76%,6.71%
Interest on Long-Term Debt,80.30%,31.93%,(3.82%),(14.57%),
Foreign Sales,138.69%,44.17%,(4.04%),9.18%,
