Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,(0.06%),(4.68%),3.16%,(70.18%),(84.39%)
Other Revenue,8.93%,(1.64%),4.51%,(71.48%),(87.81%)
Total Revenues,3.06%,(3.57%),3.66%,(70.67%),(85.67%)
Property Expenses,3.95%,(3.07%),3.54%,(48.24%),(64.50%)
Selling General & Admin Exp.,(3.15%),(4.07%),(3.39%),(33.33%),(30.36%)
Depreciation & Amortization,(4.00%),(3.82%),(4.69%),12.88%,7.22%
Other Operating Expenses,231.58%,15.87%,6.85%,(53.85%),(72.15%)
Total Operating Expenses,4.40%,(2.71%),2.32%,(40.94%),(54.99%)
Operating Income,(3.75%),(8.26%),11.50%,,
Total Interest Expense,-38.00%,(2.42%),(10.24%),(52.14%),(59.46%)
Interest and Investment Income,0.00%,200.00%,0.00%,(66.67%),(83.33%)
Net Interest Expenses,-38.38%,-0.82%,(10.74%),(57.46%),(65.49%)
Other Non Operating Income,,,(37.50%),-72.73%,-90.91%
"EBT, Excl. Unusual Items",23.02%,(12.58%),11.07%,,
Impairment of Goodwill,,,,,0.00%
Gain (Loss) on Sale of Assets,0.00%,"9,500.00%",(67.71%),100.00%,(100.00%)
Other Unusual Items,,-15.38%,-54.55%,(40.00%),(600.00%)
"EBT, Incl. Unusual Items",28.96%,75.44%,(29.80%),,(122.45%)
Income Tax Expense,,,52.17%,,
Earnings From Continuing Operations,"1,792.81%",(81.87%),(33.75%),,(101.28%)
Net Income to Company,"1,792.81%",(81.87%),(33.75%),,(101.28%)
Minority Interest,0.00%,-16.67%,(100.00%),,
Net Income,"1,873.68%",(82.02%),(35.17%),,(97.07%)
Pref. Dividends and Other Adj.,,(75.00%),(50.00%),,
NI to Common Incl Extra Items,"1,867.67%",(82.04%),(35.11%),,(96.66%)
NI to Common Excl. Extra Items,"1,867.67%",(82.04%),(35.11%),,(96.66%)
Revenue Per Share,(3.27%),0.21%,(0.75%),(73.66%),(86.53%)
Basic EPS,"1,751.17%",(81.33%),(37.99%),,(84.96%)
Basic EPS - Continuing Ops,"1,751.17%",(81.33%),(37.99%),,(84.96%)
Basic Weighted Average Shares Outst.,6.57%,(3.79%),4.43%,11.32%,6.33%
Diluted EPS,"1,722.39%",(81.08%),(37.72%),,(85.60%)
Diluted EPS - Continuing Ops,"1,722.39%",(81.08%),(37.72%),,(85.60%)
Diluted Weighted Average Shares Outst.,8.08%,(4.67%),4.41%,10.80%,6.33%
Normalized Basic EPS,15.56%,(9.02%),3.73%,,
Normalized Diluted EPS,13.94%,(8.44%),3.24%,,
Dividend Per Share,,8.15%,(4.52%),(76.32%),(100.00%)
Payout Ratio,(89.13%),439.03%,41.87%,,
FFO Shares (Diluted),8.08%,(4.67%),4.41%,10.80%,
EBITDA,(3.85%),(6.49%),4.87%,,
EBITA,(3.75%),(8.26%),11.50%,,
EBIT,(3.75%),(8.26%),11.50%,,
Effective Tax Rate,,,116.77%,(95.85%),
Normalized Net Income,23.93%,(12.45%),8.37%,,
Interest on Long-Term Debt,,,,49.63%,
Foreign Sales,17.69%,(64.74%),(34.43%),(92.50%),
