Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,28.41%,(3.80%),(5.41%),(9.90%),(9.49%)
Other Revenue,(75.77%),(30.76%),47.72%,23.63%,42.98%
Total Revenues,0.57%,(3.83%),(5.35%),(9.84%),(9.38%)
Property Expenses,2.36%,(0.50%),(5.66%),(5.15%),(4.36%)
Selling General & Admin Exp.,3.01%,1.46%,9.31%,(3.94%),0.87%
Depreciation & Amortization,(3.17%),(6.08%),(5.63%),0.95%,1.80%
Total Operating Expenses,(0.78%),(2.32%),(5.06%),(2.21%),(0.83%)
Operating Income,2.79%,(6.25%),(5.84%),(22.59%),(23.58%)
Total Interest Expense,0.00%,-5.13%,-11.74%,(5.38%),(5.86%)
Interest and Investment Income,(32.66%),42.19%,34.68%,(31.04%),(34.17%)
Net Interest Expenses,(0.07%),-5.21%,-11.86%,(5.52%),(6.00%)
Other Non Operating Income,-41.36%,-4.16%,-8.47%,(96.04%),(39.40%)
"EBT, Excl. Unusual Items",6.11%,(7.15%),(0.60%),(45.42%),(47.32%)
Gain (Loss) on Sale of Assets,93.32%,203.82%,(73.82%),(37.01%),(44.07%)
Asset Writedown,(678.11%),(32.89%),-54.21%,-19.88%,-36.57%
Other Unusual Items,,,-95.63%,"(1,631.60%)","(1,667.01%)"
"EBT, Incl. Unusual Items",7.99%,21.94%,(24.98%),(55.90%),(58.12%)
Earnings From Continuing Operations,7.99%,21.94%,(24.98%),(55.90%),(58.12%)
Net Income to Company,7.99%,21.94%,(24.98%),(55.90%),(58.12%)
Minority Interest,-96.98%,,,,
Net Income,8.95%,21.98%,(24.98%),(55.90%),(58.12%)
Pref. Dividends and Other Adj.,(60.00%),335.53%,96.07%,(36.83%),(47.72%)
NI to Common Incl Extra Items,9.00%,21.90%,(25.09%),(55.95%),(58.15%)
NI to Common Excl. Extra Items,9.00%,21.90%,(25.09%),(55.95%),(58.15%)
Revenue Per Share,(0.46%),(2.94%),(4.22%),(9.52%),(8.99%)
Basic EPS,8.23%,23.62%,(24.04%),(55.80%),(57.97%)
Basic EPS - Continuing Ops,8.23%,23.62%,(24.04%),(55.80%),(57.97%)
Basic Weighted Average Shares Outst.,1.07%,(0.91%),(1.27%),(0.42%),(0.42%)
Diluted EPS,8.09%,23.47%,(24.04%),(55.80%),(57.97%)
Diluted EPS - Continuing Ops,8.09%,23.47%,(24.04%),(55.80%),(57.97%)
Diluted Weighted Average Shares Outst.,0.07%,(0.96%),(0.99%),(0.48%),(0.45%)
Normalized Basic EPS,7.12%,(6.89%),1.10%,(45.65%),(47.10%)
Normalized Diluted EPS,6.96%,(6.97%),0.73%,(44.76%),(47.09%)
Dividend Per Share,5.50%,4.25%,1.35%,(55.75%),(61.95%)
Payout Ratio,(1.31%),(13.88%),33.89%,15.38%,6.33%
FFO,,,,(23.59%),(24.10%)
FFO Payout Ratio %,,,,(33.41%),(41.33%)
AFFO,,,,(23.59%),
Funds Available for Distribution,,,,(23.59%),
FFO Per Share (Diluted),,,,(23.04%),(23.76%)
FFO Shares (Diluted),,,,(0.48%),(0.45%)
Adjusted FFO Per Share (Diluted),,,,(23.06%),
EBITDA,1.12%,(6.03%),(4.96%),(12.43%),(12.55%)
EBITA,1.54%,(7.59%),(6.08%),(23.22%),(24.28%)
EBIT,2.79%,(6.25%),(5.84%),(22.59%),(23.58%)
EBITDAR,,,,(12.27%),
Normalized Net Income,7.79%,(7.11%),(0.60%),(45.42%),(47.32%)
Interest Capitalized,2.61%,(15.86%),40.44%,21.58%,
