Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,19.89%,9.47%,(0.21%),(7.85%),(3.21%)
Total Revenues,19.89%,9.47%,(0.21%),(7.85%),(3.21%)
Cost Of Revenues,25.02%,15.60%,(3.83%),(8.02%),(2.58%)
Gross Profit,6.07%,(10.01%),14.60%,(7.27%),(5.23%)
Selling General & Admin Expenses,39.50%,(2.27%),2.75%,2.20%,(1.41%)
Total Operating Expenses,39.50%,(2.27%),2.75%,2.20%,(1.41%)
Operating Income,(15.27%),(18.15%),29.47%,(16.72%),(9.11%)
Interest Expense,(55.13%),(18.15%),(9.44%),(4.09%),-1.26%
Net Interest Expenses,(55.13%),(18.15%),(9.44%),(4.09%),-1.26%
Currency Exchange Gains (Loss),"(7,000.00%)",,,,
Other Non Operating Income (Expenses),35.00%,11.11%,(43.33%),(94.12%),(90.00%)
"EBT, Excl. Unusual Items",(33.44%),(24.44%),15.59%,(20.62%),(36.98%)
"EBT, Incl. Unusual Items",(47.95%),(24.44%),9.02%,(15.84%),(36.98%)
Income Tax Expense,73.41%,(85.33%),151.14%,(47.06%),(59.52%)
Earnings From Continuing Operations,(73.76%),61.12%,(9.16%),(4.80%),(29.09%)
Net Income to Company,(73.76%),61.12%,(9.16%),(4.80%),
Net Income,(73.76%),61.12%,(9.16%),(4.80%),
Preferred Dividend and Other Adjustments,(37.50%),0.00%,120.00%,18.18%,(7.14%)
NI to Common Incl Extra Items,(73.93%),61.85%,(10.10%),(5.21%),
NI to Common Excl. Extra Items,(73.93%),61.85%,(10.10%),(5.21%),(29.47%)
Revenue Per Share,19.75%,9.39%,(0.32%),(7.97%),(3.38%)
Basic EPS,(73.95%),61.43%,(10.29%),(5.23%),
Basic EPS - Continuing Ops,(73.95%),61.43%,(10.29%),(5.23%),(29.60%)
Basic Weighted Average Shares Outst.,0.13%,0.09%,0.10%,0.14%,0.18%
Diluted EPS,(73.95%),61.43%,(10.40%),(5.23%),
Diluted EPS - Continuing Ops,(73.95%),61.43%,(10.40%),(5.23%),(29.61%)
Diluted Weighted Average Shares Outst.,0.12%,0.08%,0.10%,0.14%,0.18%
Normalized Basic EPS,(33.64%),(24.59%),15.71%,(20.51%),(37.10%)
Normalized Diluted EPS,(33.41%),(24.59%),15.71%,(20.51%),(37.10%)
Dividend Per Share,3.60%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,294.77%,(37.81%),10.53%,6.11%,
EBITDA,0.58%,(6.07%),15.43%,(9.13%),(3.52%)
EBITA,(10.01%),(17.16%),25.46%,(17.06%),(9.80%)
EBIT,(15.27%),(18.15%),29.47%,(16.72%),(9.11%)
EBITDAR,1.08%,,,(10.74%),
Effective Tax Rate,233.08%,(80.59%),130.36%,(37.09%),(35.76%)
Normalized Net Income,(33.44%),(24.44%),15.59%,(20.62%),(36.98%)
Interest on Long-Term Debt,,,,0.00%,
Foreign Sales,72.19%,11.96%,(7.61%),(9.23%),
