Income Statement,Aug 2016,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,18353.1,19063.1,22095.4,25282.3,27266.4,28296.7
Total Revenues,18353.1,19063.1,22095.4,25282.3,27266.4,28296.7
Cost Of Revenues,16825.4,17517.5,20388.6,23368.9,25335.6,26145.4
Gross Profit,1527.7,1545.6,1706.8,1913.4,1930.8,2151.3
Selling General & Admin Expenses,924.4,909.7,1034.1,1058.4,1094.4,1091.6
R&D Expenses,32.0,29.7,38.5,42.9,44.1,39.6
Total Operating Expenses,993.5,974.9,1111.1,1133.2,1194.1,1180.0
Operating Income,534.2,570.7,595.7,780.2,736.7,971.3
Interest Expense,(136.5),(138.1),(149.0),(188.7),(173.9),(146.2)
Interest And Investment Income,9.1,12.5,17.8,21.5,14.6,6.8
Net Interest Expenses,(127.4),(125.5),(131.2),(167.3),(159.3),(139.3)
Other Non Operating Income (Expenses),(6.9),(26.4),(38.6),(54.0),(38.9),(22.8)
"EBT, Excl. Unusual Items",399.9,418.7,425.9,558.9,538.5,809.2
"EBT, Incl. Unusual Items",387.0,256.2,373.4,450.7,260.7,623.0
Income Tax Expense,132.1,129.1,285.9,161.2,204.0,251.0
Earnings From Continuing Operations,254.9,127.2,87.5,289.5,56.8,372.0
Net Income to Company,254.9,127.2,87.5,289.5,56.8,372.0
Minority Interest,(0.8),1.9,(1.2),(2.4),(2.9),(3.1)
Net Income,254.1,129.1,86.3,287.1,53.9,368.9
NI to Common Incl Extra Items,254.1,129.1,86.3,287.1,53.9,368.9
NI to Common Excl. Extra Items,254.1,129.1,86.3,287.1,53.9,368.9
Revenue Per Share,$96.39,$104.80,$128.28,$162.47,$179.84,$188.11
Basic EPS,$1.33,$0.71,$0.50,$1.85,$0.36,$2.45
Basic EPS - Continuing Ops,$1.33,$0.71,$0.50,$1.85,$0.36,$2.45
Basic Weighted Average Shares Outst.,190.4,181.9,172.2,155.6,151.6,150.4
Diluted EPS,$1.32,$0.69,$0.49,$1.81,$0.35,$2.40
Diluted EPS - Continuing Ops,$1.32,$0.69,$0.49,$1.81,$0.35,$2.40
Diluted Weighted Average Shares Outst.,192.8,185.8,175.0,158.6,155.3,153.7
Normalized Basic EPS,$1.31,$1.45,$1.54,$2.23,$2.20,$3.34
Normalized Diluted EPS,$1.29,$1.42,$1.51,$2.19,$2.15,$3.27
Dividend Per Share,$0.32,$0.32,$0.32,$0.32,$0.32,$0.32
Payout Ratio,24.57%,46.45%,66.99%,18.11%,93.60%,13.57%
EBITDA,1231.0,1331.1,1369.4,1552.0,1531.3,1783.9
EBITA,571.3,606.3,634.2,812.1,792.3,1020.2
EBIT,534.2,570.7,595.7,780.2,736.7,971.3
EBITDAR,1351.4,1448.3,1499.6,1677.4,1645.6,
Effective Tax Rate,34.1%,50.4%,76.6%,35.8%,78.2%,40.3%
Normalized Net Income,249.1,263.6,265.0,347.0,333.7,502.6
Interest on Long-Term Debt,136.5,138.1,149.0,188.7,173.9,
R&D Expense From Footnotes,32.0,29.7,38.5,42.9,44.1,39.6
Foreign Sales,16643.7,17417.4,20250.7,22183.8,22518.0,
