Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jul 2020,TTM
Revenues,270.2,408.6,493.2,654.7,796.6,841.7
Total Revenues,270.2,408.6,493.2,654.7,796.6,841.7
Cost Of Revenues,141.2,213.4,265.3,367.9,438.0,468.2
Gross Profit,129.0,195.2,227.9,286.9,358.6,373.5
Selling General & Admin Expenses,53.0,76.5,88.4,110.7,132.3,133.4
R&D Expenses,36.4,54.1,58.8,68.9,98.5,107.5
Total Operating Expenses,98.2,150.3,173.2,207.6,261.3,271.8
Operating Income,30.8,45.0,54.7,79.3,97.3,101.7
Interest Expense,(1.2),(7.6),(2.9),(9.1),(1.0),(1.1)
Interest And Investment Income,0.1,0.5,0.0,0.9,8.6,7.2
Net Interest Expenses,(1.0),(7.1),(2.8),(8.2),7.5,6.1
Currency Exchange Gains (Loss),(0.2),,,,,0.8
Other Non Operating Income (Expenses),(0.6),0.8,(1.6),(3.1),(9.5),(10.0)
"EBT, Excl. Unusual Items",29.0,38.6,50.3,68.0,95.3,98.6
"EBT, Incl. Unusual Items",25.3,31.1,42.6,59.5,93.9,91.0
Income Tax Expense,5.5,6.2,1.7,12.8,8.2,11.8
Earnings From Continuing Operations,19.7,24.9,40.9,46.8,85.7,79.3
Net Income to Company,19.7,24.9,40.9,46.8,85.7,79.3
Net Income,19.7,24.9,40.9,46.8,85.7,79.3
NI to Common Incl Extra Items,19.7,24.9,40.9,46.8,85.7,79.3
NI to Common Excl. Extra Items,19.7,24.9,40.9,46.8,85.7,79.3
Revenue Per Share,$7.89,$9.73,$10.56,$13.69,$14.60,$15.36
Basic EPS,$0.58,$0.59,$0.88,$0.98,$1.57,$1.45
Basic EPS - Continuing Ops,$0.58,$0.59,$0.88,$0.98,$1.57,$1.45
Basic Weighted Average Shares Outst.,34.2,42.0,46.7,47.8,54.5,54.8
Diluted EPS,$0.56,$0.58,$0.86,$0.96,$1.56,$1.44
Diluted EPS - Continuing Ops,$0.56,$0.58,$0.86,$0.96,$1.56,$1.44
Diluted Weighted Average Shares Outst.,35.1,43.0,47.5,48.5,55.1,55.3
Normalized Basic EPS,$0.53,$0.58,$0.67,$0.89,$1.09,$1.12
Normalized Diluted EPS,$0.52,$0.56,$0.66,$0.88,$1.08,$1.11
EBITDA,46.6,77.2,97.0,125.7,146.7,153.4
EBITA,39.7,64.6,80.7,107.2,127.9,132.6
EBIT,30.8,45.0,54.7,79.3,97.3,101.7
EBITDAR,50.6,85.0,,134.4,156.7,
Effective Tax Rate,21.9%,19.9%,4.0%,21.4%,8.8%,12.9%
Normalized Net Income,18.1,24.1,31.4,42.5,59.6,61.6
Interest on Long-Term Debt,1.2,7.6,2.9,9.1,1.0,
R&D Expense From Footnotes,36.4,54.1,58.8,68.9,98.5,107.5
Foreign Sales,10.4,28.1,43.9,56.7,55.4,
