Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,86.00%,287.81%,(90.40%),33.41%,(8.02%)
Total Revenues,86.00%,287.81%,(90.40%),33.41%,(8.02%)
Cost Of Revenues,1.10%,(20.08%),(12.44%),(8.88%),8.49%
Gross Profit,104.97%,321.74%,(92.02%),43.11%,(10.80%)
Selling General & Admin Expenses,18.27%,55.53%,21.20%,6.05%,10.23%
R&D Expenses,31.73%,48.82%,8.77%,(5.96%),(7.01%)
Total Operating Expenses,29.33%,49.92%,10.87%,(3.74%),(3.73%)
Operating Income,-61.31%,,,-13.66%,-1.70%
Interest Expense,-2.91%,(4.45%),(8.36%),-19.92%,-22.79%
Interest And Investment Income,89.36%,731.22%,23.33%,(60.54%),(73.13%)
Net Interest Expenses,-8.44%,-85.71%,-99.64%,"(99,036.84%)",(329.45%)
"EBT, Excl. Unusual Items",-47.53%,,,-9.38%,(3.52%)
"EBT, Incl. Unusual Items",-37.06%,,,(0.88%),-6.68%
Income Tax Expense,(29.68%),129.22%,(56.59%),(19.58%),(43.05%)
Earnings From Continuing Operations,-37.02%,,,(0.86%),-6.73%
Net Income to Company,-37.02%,,,(0.86%),-6.73%
Net Income,-37.02%,,,(0.86%),-6.73%
NI to Common Incl Extra Items,-37.02%,,,(0.86%),-6.73%
NI to Common Excl. Extra Items,-37.02%,,,(0.86%),-6.73%
Revenue Per Share,65.81%,257.16%,(90.70%),31.74%,(9.96%)
Basic EPS,-43.64%,,,-1.24%,-8.70%
Basic EPS - Continuing Ops,-43.64%,,,-1.24%,-8.70%
Basic Weighted Average Shares Outst.,11.72%,8.75%,3.18%,2.05%,2.16%
Diluted EPS,-43.64%,,,-1.19%,-8.54%
Diluted EPS - Continuing Ops,-43.64%,,,-1.19%,-8.54%
Diluted Weighted Average Shares Outst.,11.72%,15.50%,(2.85%),2.05%,2.16%
Normalized Basic EPS,-52.80%,,,-11.11%,(1.32%)
Normalized Diluted EPS,-52.80%,,,-11.11%,(1.32%)
EBITDA,-70.34%,,,-14.32%,-1.41%
EBITA,-61.31%,,,-13.66%,-1.70%
EBIT,-61.31%,,,-13.66%,-1.70%
EBITDAR,-77.38%,,,-16.56%,
Effective Tax Rate,,,,,-38.99%
Normalized Net Income,-47.53%,,,-9.38%,(3.52%)
Interest on Long-Term Debt,,,(1.26%),(67.85%),
R&D Expense From Footnotes,35.55%,67.25%,16.87%,(0.57%),(1.67%)
Foreign Sales,(7.43%),(12.29%),(14.63%),0.49%,
