Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,12.76%,12.11%,10.15%,0.47%,4.14%
Total Revenues,12.76%,12.11%,10.15%,0.47%,4.14%
Cost Of Revenues,11.69%,5.95%,12.90%,20.83%,19.59%
Gross Profit,13.10%,14.01%,9.36%,(5.59%),(0.63%)
Selling General & Admin Expenses,20.32%,16.57%,13.85%,0.00%,(0.94%)
R&D Expenses,7.76%,27.05%,8.25%,40.69%,37.43%
Total Operating Expenses,19.81%,18.12%,13.80%,6.41%,5.27%
Operating Income,2.15%,6.15%,(0.07%),(34.67%),(16.00%)
Interest And Investment Income,116.16%,100.94%,31.09%,(19.84%),(29.77%)
Net Interest Expenses,116.16%,100.94%,31.09%,(19.84%),(29.77%)
Currency Exchange Gains (Loss),,(60.40%),(79.17%),,-84.36%
Other Non Operating Income (Expenses),(29.99%),(16.13%),,,
"EBT, Excl. Unusual Items",4.15%,8.93%,0.20%,(32.59%),(15.96%)
"EBT, Incl. Unusual Items",8.04%,10.99%,0.71%,(33.72%),(16.70%)
Income Tax Expense,18.21%,(48.66%),8.11%,(32.02%),(11.92%)
Earnings From Continuing Operations,2.88%,45.76%,(0.81%),(34.10%),(17.77%)
Net Income to Company,2.88%,45.76%,(0.81%),(34.10%),(17.77%)
Net Income,2.88%,45.76%,(0.81%),(34.10%),(17.77%)
NI to Common Incl Extra Items,2.88%,45.76%,(0.81%),(34.10%),(17.77%)
NI to Common Excl. Extra Items,2.88%,45.76%,(0.81%),(34.10%),(17.77%)
Revenue Per Share,12.00%,10.19%,8.81%,1.06%,4.92%
Basic EPS,2.33%,42.73%,(2.16%),(33.91%),(17.15%)
Basic EPS - Continuing Ops,2.33%,42.73%,(2.16%),(33.91%),(17.15%)
Basic Weighted Average Shares Outst.,0.62%,1.71%,1.29%,(0.57%),(0.74%)
Diluted EPS,1.85%,40.00%,(1.30%),(33.55%),(16.47%)
Diluted EPS - Continuing Ops,1.85%,40.00%,(1.30%),(33.55%),(16.47%)
Diluted Weighted Average Shares Outst.,1.51%,3.50%,0.67%,(1.01%),(1.13%)
Normalized Basic EPS,3.78%,7.29%,(0.77%),(32.17%),(15.33%)
Normalized Diluted EPS,2.97%,5.49%,(0.30%),(32.11%),(15.00%)
EBITDA,3.37%,4.70%,5.02%,(22.29%),(7.38%)
EBITA,4.77%,6.83%,2.19%,(30.57%),(12.78%)
EBIT,2.15%,6.15%,(0.07%),(34.67%),(16.00%)
EBITDAR,,,,(21.81%),
Effective Tax Rate,9.41%,(53.74%),7.32%,2.55%,5.75%
Normalized Net Income,4.15%,8.93%,0.20%,(32.59%),(15.96%)
R&D Expense From Footnotes,(9.06%),27.05%,8.25%,40.69%,37.43%
Foreign Sales,,12.25%,15.61%,(9.51%),
