Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,31.29%,12.59%,4.75%,8.23%,13.02%
Total Interest Income,32.63%,15.05%,6.25%,4.70%,9.23%
Interest On Deposits,70.73%,84.02%,48.24%,(42.07%),(58.38%)
Total Interest On Borrowings,57.90%,49.75%,30.42%,(38.70%),(37.68%)
Total Interest Expense,66.21%,72.53%,43.05%,(41.18%),(52.80%)
Net Interest Income,29.08%,7.22%,(1.82%),19.35%,28.50%
Service Charges On Deposits,2.33%,1.04%,(0.60%),3.15%,6.24%
Trust Income,(1.86%),9.57%,7.29%,0.22%,0.65%
Total Mortgage Banking Activities,"1,607.45%",(1.35%),32.43%,253.87%,298.54%
Gain (Loss) on Sale of Assets,,,,,0.00%
Gain (Loss) on Sale of Invest. & Securities,"1,894.29%",,,"1,702.86%",950.57%
Total Other Non Interest Income,1.46%,8.39%,9.18%,10.12%,26.39%
Total Non Interest Income,87.98%,(2.23%),16.92%,134.08%,166.34%
Revenue Before Loan Losses,37.40%,5.39%,1.54%,43.06%,57.49%
Provision For Loan Losses,15.90%,(22.51%),(3.18%),399.99%,83.23%
Total Revenues,38.52%,6.61%,1.69%,32.30%,55.85%
Salaries And Other Employee Benefits,66.59%,(0.64%),4.18%,55.06%,65.45%
Occupancy Expense,246.09%,(6.67%),(55.66%),22.27%,33.93%
Total Selling General & Admin Expenses,(11.54%),17.01%,39.52%,38.23%,40.14%
Total Other Non Interest Expense,45.71%,(5.08%),5.46%,38.98%,43.06%
Total Non Interest Expense,51.42%,0.21%,2.38%,46.14%,54.66%
"EBT, Excl. Unusual Items",24.81%,14.86%,0.91%,16.49%,57.41%
Other Unusual Items,,,,(103.43%),(103.43%)
"EBT, Incl. Unusual Items",27.92%,14.86%,(0.83%),10.88%,51.30%
Income Tax Expense,77.63%,(47.24%),(9.15%),9.91%,55.35%
Earnings From Continuing Operations,2.38%,70.24%,1.47%,11.12%,50.33%
Net Income to Company,2.38%,70.24%,1.47%,11.12%,50.33%
Net Income,2.38%,70.24%,1.47%,11.12%,50.33%
Preferred Dividend and Other Adjustments,(7.03%),94.96%,28.23%,24.54%,29.32%
Net Income to Common Incl Extra Items,2.39%,70.20%,1.42%,11.09%,50.38%
Net Income to Common Excl. Extra Items,2.39%,70.20%,1.42%,11.09%,50.38%
Revenue Per Share,4.52%,(0.08%),4.20%,11.99%,24.63%
Basic EPS,(22.90%),59.74%,3.84%,(5.80%),20.25%
Basic EPS - Continuing Ops,(22.90%),59.74%,3.84%,(5.80%),20.25%
Basic Weighted Average Shares Outst.,32.60%,6.68%,(2.34%),18.14%,25.06%
Diluted EPS,(22.61%),59.09%,4.08%,(5.88%),20.02%
Diluted EPS - Continuing Ops,(22.61%),59.09%,4.08%,(5.88%),20.02%
Diluted Weighted Average Shares Outst.,32.48%,6.55%,(2.35%),17.91%,24.89%
Normalized Basic EPS,(5.89%),7.42%,3.10%,(1.34%),25.87%
Normalized Diluted EPS,(5.78%),7.72%,3.36%,(1.40%),26.04%
Dividend Per Share,0.76%,2.26%,0.74%,2.19%,1.45%
Payout Ratio,23.02%,(31.09%),(3.80%),5.39%,
Effective Tax Rate,38.87%,(54.07%),(8.40%),(0.87%),2.67%
Normalized Net Income,24.81%,14.86%,0.91%,16.49%,57.41%
Interest on Long-Term Debt,64.35%,50.26%,32.07%,(37.82%),
