Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,21.54%,19.73%,23.64%,14.91%,15.31%
Total Revenues,21.54%,19.73%,23.64%,14.91%,15.31%
Cost Of Revenues,18.56%,17.49%,20.40%,11.38%,9.38%
Gross Profit,26.78%,23.40%,28.71%,20.08%,23.99%
Selling General & Admin Expenses,21.33%,15.88%,25.76%,17.24%,12.60%
R&D Expenses,(9.87%),17.71%,20.10%,4.78%,5.42%
Total Operating Expenses,12.72%,16.29%,24.49%,14.55%,11.09%
Operating Income,,92.25%,53.39%,46.32%,88.83%
Interest Expense,(159.87%),"(2,233.33%)",(133.72%),-86.77%,-84.39%
Interest And Investment Income,2.65%,305.39%,(22.97%),(41.41%),(86.90%)
Net Interest Expenses,(81.02%),,(172.30%),-89.93%,-84.12%
Currency Exchange Gains (Loss),(21.05%),(43.48%),-45.45%,(88.89%),-20.83%
Other Non Operating Income (Expenses),582.05%,,,351.46%,308.51%
"EBT, Excl. Unusual Items",,48.81%,31.89%,134.14%,174.27%
"EBT, Incl. Unusual Items",,45.49%,(53.86%),693.94%,402.33%
Income Tax Expense,(94.90%),,-99.77%,,541.15%
Earnings From Continuing Operations,,533.64%,(85.89%),580.71%,379.09%
Earnings Of Discontinued Operations,224.92%,(6.12%),777.72%,,
Net Income to Company,,86.01%,275.58%,(85.17%),(82.15%)
Net Income,,86.19%,275.22%,(85.17%),(82.15%)
NI to Common Incl Extra Items,,86.19%,275.22%,(85.17%),(82.15%)
NI to Common Excl. Extra Items,,534.68%,(85.91%),580.71%,379.09%
Revenue Per Share,19.59%,18.20%,21.05%,12.43%,13.05%
Basic EPS,,83.76%,268.24%,(85.50%),(82.50%)
Basic EPS - Continuing Ops,,541.50%,(86.18%),580.11%,369.70%
Basic Weighted Average Shares Outst.,1.56%,1.31%,2.13%,2.17%,2.00%
Diluted EPS,,83.95%,268.34%,(85.47%),(82.53%)
Diluted EPS - Continuing Ops,,533.33%,(86.32%),576.92%,377.04%
Diluted Weighted Average Shares Outst.,2.89%,0.64%,2.04%,2.02%,1.72%
Normalized Basic EPS,,48.71%,30.01%,126.01%,168.89%
Normalized Diluted EPS,,47.77%,29.30%,133.16%,169.62%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,,(45.61%),(72.77%),588.46%,470.19%
EBITDA,91.57%,58.13%,50.88%,33.38%,47.67%
EBITA,204.41%,68.01%,50.19%,35.57%,55.53%
EBIT,,92.25%,53.39%,46.32%,88.83%
EBITDAR,75.34%,,,,
Effective Tax Rate,,,,,27.63%
Normalized Net Income,,49.86%,30.95%,134.14%,174.27%
R&D Expense From Footnotes,(9.60%),18.32%,28.91%,4.91%,4.01%
Foreign Sales,27.96%,12.48%,14.21%,22.92%,
