Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,6.89%,18.83%,4.97%,(18.63%),(17.17%)
Total Revenues,6.89%,18.83%,4.97%,(18.63%),(17.17%)
Cost Of Revenues,4.69%,21.81%,8.64%,(20.24%),(20.81%)
Gross Profit,18.41%,5.03%,(14.73%),(7.63%),4.87%
Selling General & Admin Expenses,6.38%,16.15%,(7.91%),(3.04%),(8.36%)
Total Operating Expenses,6.38%,16.15%,(7.91%),(3.04%),(8.36%)
Operating Income,41.46%,(10.99%),(27.55%),(18.60%),39.98%
Interest Expense,-5.92%,(29.80%),-1.58%,-16.94%,-10.46%
Net Interest Expenses,-5.92%,(29.80%),-1.58%,-16.94%,-10.46%
Currency Exchange Gains (Loss),,,,-99.75%,-34.35%
Other Non Operating Income (Expenses),(14.26%),(20.40%),110.95%,(51.69%),
"EBT, Excl. Unusual Items",24.98%,(13.40%),(22.67%),(0.86%),8.19%
"EBT, Incl. Unusual Items",37.17%,(29.64%),(1.25%),(46.34%),455.44%
Income Tax Expense,34.25%,(89.62%),425.34%,(39.00%),421.48%
Earnings From Continuing Operations,38.26%,(7.84%),(18.71%),(48.28%),464.41%
Net Income to Company,38.26%,(7.84%),(18.71%),(48.28%),464.41%
Minority Interest,-3.53%,-54.88%,(62.12%),-42.47%,-36.66%
Net Income,42.31%,(4.75%),(21.22%),(48.65%),524.17%
NI to Common Incl Extra Items,42.31%,(4.75%),(21.22%),(48.65%),524.17%
NI to Common Excl. Extra Items,42.31%,(4.75%),(21.22%),(48.65%),524.17%
Revenue Per Share,6.93%,21.79%,11.81%,(15.32%),(14.37%)
Basic EPS,42.40%,(2.52%),(16.16%),(46.50%),545.31%
Basic EPS - Continuing Ops,42.40%,(2.52%),(16.16%),(46.50%),545.31%
Basic Weighted Average Shares Outst.,(0.04%),(2.43%),(6.12%),(3.91%),(3.28%)
Diluted EPS,41.89%,(1.90%),(15.53%),(45.98%),549.06%
Diluted EPS - Continuing Ops,41.89%,(1.90%),(15.53%),(45.98%),549.06%
Diluted Weighted Average Shares Outst.,0.18%,(2.82%),(6.69%),(4.83%),(3.52%)
Normalized Basic EPS,27.75%,(7.90%),(21.18%),6.77%,16.08%
Normalized Diluted EPS,27.58%,(7.72%),(20.61%),7.98%,16.38%
Dividend Per Share,5.26%,5.00%,9.52%,4.35%,4.21%
Payout Ratio,(24.49%),6.31%,29.33%,98.33%,(83.98%)
EBITDA,27.69%,(2.47%),(20.62%),(12.34%),21.25%
EBITA,36.29%,(7.72%),(27.07%),(18.33%),34.16%
EBIT,41.46%,(10.99%),(27.55%),(18.60%),39.98%
EBITDAR,25.64%,,,,
Effective Tax Rate,(2.12%),(85.25%),432.22%,13.66%,(6.11%)
Normalized Net Income,27.85%,(10.24%),(25.92%),2.62%,12.28%
Interest on Long-Term Debt,,29.80%,(1.58%),(16.94%),
Foreign Sales,32.64%,"1,614.30%",4.97%,(18.63%),
