Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,2411.0,2717.0,3242.0,3337.0,2614.0,2765.0
Total Revenues,2411.0,2717.0,3242.0,3337.0,2614.0,2765.0
Cost Of Revenues,1803.0,2058.0,2501.0,2643.0,2108.0,2144.0
Gross Profit,608.0,659.0,741.0,694.0,506.0,621.0
Selling General & Admin Expenses,266.0,258.0,295.0,270.0,232.0,244.0
R&D Expenses,48.0,57.0,66.0,60.0,57.0,57.0
Total Operating Expenses,314.0,315.0,361.0,330.0,289.0,301.0
Operating Income,294.0,344.0,380.0,364.0,217.0,320.0
Interest Expense,(54.0),(53.0),(54.0),(59.0),(53.0),(50.0)
Interest And Investment Income,5.0,9.0,10.0,9.0,8.0,6.0
Net Interest Expenses,(49.0),(44.0),(44.0),(50.0),(45.0),(44.0)
Currency Exchange Gains (Loss),4.0,(4.0),(4.0),,(6.0),(6.0)
Other Non Operating Income (Expenses),,6.0,6.0,(5.0),2.0,(2.0)
"EBT, Excl. Unusual Items",252.0,309.0,340.0,310.0,171.0,271.0
"EBT, Incl. Unusual Items",194.0,306.0,119.0,256.0,(30.0),125.0
Income Tax Expense,33.0,33.0,193.0,70.0,191.0,240.0
Earnings From Continuing Operations,161.0,273.0,(74.0),186.0,(221.0),(115.0)
Earnings Of Discontinued Operations,1.0,,,,,
Net Income to Company,162.0,273.0,(74.0),186.0,(221.0),(115.0)
Minority Interest,(15.0),(25.0),(39.0),(29.0),(17.0),(28.0)
Net Income,147.0,248.0,(113.0),157.0,(238.0),(143.0)
Preferred Dividend and Other Adjustments,1.0,2.0,1.0,2.0,,
NI to Common Incl Extra Items,146.0,246.0,(114.0),155.0,(238.0),(143.0)
NI to Common Excl. Extra Items,145.0,246.0,(114.0),155.0,(238.0),(143.0)
Revenue Per Share,$38.64,$43.61,$52.54,$56.85,$46.18,$48.89
Basic EPS,$2.34,$3.95,($1.85),$2.64,($4.20),($2.53)
Basic EPS - Continuing Ops,$2.32,$3.95,($1.85),$2.64,($4.20),($2.53)
Basic Weighted Average Shares Outst.,62.4,62.3,61.7,58.7,56.6,56.6
Diluted EPS,$2.32,$3.91,($1.85),$2.63,($4.21),($2.55)
Diluted EPS - Continuing Ops,$2.30,$3.91,($1.85),$2.63,($4.21),($2.55)
Diluted Weighted Average Shares Outst.,62.9,62.7,61.7,58.8,56.6,56.6
Normalized Basic EPS,$2.28,$2.70,$2.81,$2.81,$1.59,$2.50
Normalized Diluted EPS,$2.27,$2.68,$2.81,$2.80,$1.59,$2.50
Dividend Per Share,$1.04,$1.23,$1.29,$1.36,$1.40,$1.40
Payout Ratio,44.22%,31.05%,NM,50.96%,NM,NM
EBITDA,455.0,499.0,528.0,510.0,374.0,476.0
EBITA,301.0,352.0,387.0,370.0,224.0,327.0
EBIT,294.0,344.0,380.0,364.0,217.0,320.0
EBITDAR,486.0,532.0,,,406.0,
Effective Tax Rate,17.0%,10.8%,162.2%,27.3%,NM,192.0%
Normalized Net Income,142.5,168.1,173.5,164.8,89.9,141.4
Interest Capitalized,1.0,1.0,2.0,4.0,2.0,
R&D Expense From Footnotes,48.0,57.0,66.0,60.0,57.0,57.0
Foreign Sales,1806.0,2072.0,2566.0,2635.0,2033.0,
