Income Statement,Jan 2017,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,544.3,587.8,627.2,547.5,595.1,595.1
Total Revenues,544.3,587.8,627.2,547.5,595.1,595.1
Cost Of Revenues,219.4,235.9,250.2,210.8,231.6,231.6
Gross Profit,324.9,352.0,377.0,336.7,363.5,363.5
Selling General & Admin Expenses,136.4,140.2,152.6,161.9,163.0,163.0
R&D Expenses,102.5,105.1,109.0,107.4,117.6,117.6
Total Operating Expenses,264.2,273.2,288.2,285.9,288.9,288.9
Operating Income,60.6,78.8,88.8,50.8,74.7,74.7
Interest Expense,(9.3),(8.0),(9.2),(9.1),(5.3),(5.3)
Net Interest Expenses,(9.3),(8.0),(9.2),(9.1),(5.3),(5.3)
Other Non Operating Income (Expenses),(1.7),3.3,3.8,3.4,0.1,0.1
"EBT, Excl. Unusual Items",49.6,73.9,83.3,45.2,69.8,69.8
"EBT, Incl. Unusual Items",73.1,57.5,70.0,44.7,63.3,63.3
Income Tax Expense,18.4,22.9,0.4,12.8,3.4,3.4
Earnings From Continuing Operations,54.7,34.6,69.6,31.9,59.9,59.9
Net Income to Company,54.7,34.6,69.6,31.9,59.9,59.9
Minority Interest,,,,0.0,0.0,0.0
Net Income,54.7,34.6,69.6,31.9,59.9,59.9
NI to Common Incl Extra Items,54.7,34.6,69.6,31.9,59.9,59.9
NI to Common Excl. Extra Items,54.7,34.6,69.6,31.9,59.9,59.9
Revenue Per Share,$8.32,$8.90,$9.51,$8.26,$9.13,$9.13
Basic EPS,$0.84,$0.52,$1.06,$0.48,$0.92,$0.92
Basic EPS - Continuing Ops,$0.84,$0.52,$1.06,$0.48,$0.92,$0.92
Basic Weighted Average Shares Outst.,65.4,66.0,66.0,66.3,65.2,65.2
Diluted EPS,$0.83,$0.51,$1.02,$0.47,$0.91,$0.91
Diluted EPS - Continuing Ops,$0.83,$0.51,$1.02,$0.47,$0.91,$0.91
Diluted Weighted Average Shares Outst.,66.1,67.6,68.5,67.4,66.1,66.1
Normalized Basic EPS,$0.47,$0.70,$0.79,$0.43,$0.67,$0.67
Normalized Diluted EPS,$0.47,$0.68,$0.76,$0.42,$0.66,$0.66
EBITDA,107.7,127.8,138.4,90.8,106.6,106.6
EBITA,85.9,106.7,115.4,67.4,83.0,83.0
EBIT,60.6,78.8,88.8,50.8,74.7,74.7
EBITDAR,114.3,133.5,,95.8,112.4,112.4
Effective Tax Rate,25.2%,39.7%,0.5%,28.7%,5.4%,5.4%
Normalized Net Income,31.0,46.2,52.0,28.3,43.7,43.7
Interest on Long-Term Debt,,8.0,9.2,9.1,5.3,5.3
R&D Expense From Footnotes,135.3,127.8,130.0,121.6,125.2,125.2
Foreign Sales,455.5,551.2,579.7,498.2,535.6,535.6
