Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,13.56%,30.44%,2.16%,(21.33%),(23.81%)
Total Interest Income,12.01%,30.17%,1.60%,(22.15%),(25.08%)
Interest On Deposits,86.80%,87.31%,34.73%,(71.49%),(82.54%)
Total Interest On Borrowings,51.24%,91.66%,1.23%,(17.47%),(22.94%)
Total Interest Expense,72.47%,88.85%,22.72%,(55.52%),(63.96%)
Net Interest Income,4.80%,18.67%,(4.99%),(8.70%),(10.59%)
Service Charges On Deposits,(3.28%),2.56%,(4.45%),(10.81%),(11.55%)
Trust Income,49.63%,17.73%,1.10%,1.79%,2.92%
Total Mortgage Banking Activities,(49.21%),0.03%,64.93%,98.13%,44.96%
Gain (Loss) on Sale of Assets,"(1,346.51%)",-11.33%,,"5,909.51%","8,064.62%"
Gain (Loss) on Sale of Invest. & Securities,(95.34%),,,54.81%,(70.51%)
Total Other Non Interest Income,(6.50%),5.86%,1.88%,(19.99%),(31.60%)
Total Non Interest Income,(5.73%),6.72%,7.29%,39.61%,28.25%
Revenue Before Loan Losses,1.30%,14.96%,(1.46%),6.42%,2.05%
Provision For Loan Losses,(62.86%),,,987.54%,55.55%
Total Revenues,5.83%,17.82%,(2.76%),(6.65%),(0.86%)
Salaries And Other Employee Benefits,1.07%,14.42%,(0.78%),(13.18%),(12.21%)
Amort. of Goodwill & Intang. Assets,(6.40%),316.49%,21.93%,2.45%,(8.75%)
Total Selling General & Admin Expenses,4.15%,6.87%,7.46%,(6.14%),(10.64%)
Total Other Non Interest Expense,(9.10%),10.83%,(15.95%),0.04%,(13.53%)
Total Non Interest Expense,0.94%,11.80%,(0.77%),(8.61%),(10.88%)
"EBT, Excl. Unusual Items",17.79%,30.42%,(6.32%),(2.93%),20.51%
Asset Writedown,,,,"(28,001.59%)",
Other Unusual Items,,,,,0.00%
"EBT, Incl. Unusual Items",17.79%,22.02%,(1.65%),(19.57%),10.28%
Income Tax Expense,25.40%,(27.14%),(0.08%),(74.66%),(48.80%)
Earnings From Continuing Operations,14.48%,45.49%,(2.03%),(6.13%),24.23%
Net Income to Company,14.48%,45.49%,(2.03%),(6.13%),24.23%
Net Income,14.48%,45.49%,(2.03%),(6.13%),24.23%
Preferred Dividend and Other Adjustments,(2.42%),15.67%,39.53%,17.78%,29.43%
Net Income to Common Incl Extra Items,15.45%,46.95%,(3.63%),(7.46%),23.90%
Net Income to Common Excl. Extra Items,15.45%,46.95%,(3.63%),(7.46%),23.90%
Revenue Per Share,4.29%,6.15%,1.34%,(2.08%),2.91%
Basic EPS,14.06%,32.36%,0.42%,(3.01%),28.62%
Basic EPS - Continuing Ops,14.06%,32.36%,0.42%,(3.01%),28.62%
Basic Weighted Average Shares Outst.,1.42%,10.91%,(4.07%),(4.69%),(3.67%)
Diluted EPS,12.70%,33.10%,1.06%,(2.62%),29.06%
Diluted EPS - Continuing Ops,12.70%,33.10%,1.06%,(2.62%),29.06%
Diluted Weighted Average Shares Outst.,2.46%,10.47%,(4.60%),(5.12%),(3.96%)
Normalized Basic EPS,15.98%,17.86%,(2.34%),1.94%,25.10%
Normalized Diluted EPS,14.84%,17.89%,(2.00%),2.15%,25.48%
Dividend Per Share,11.11%,24.00%,11.29%,4.35%,2.86%
Payout Ratio,(2.40%),(6.80%),11.46%,9.37%,(16.94%)
Effective Tax Rate,6.47%,(40.28%),1.61%,(68.50%),(53.57%)
Normalized Net Income,17.79%,30.42%,(6.32%),(2.93%),20.51%
Interest on Long-Term Debt,124.13%,(53.47%),24.49%,(20.45%),
