Income Statement,Feb 2018,Feb 2019,Jan 2020,Jan 2021,TTM
Revenues,0.27%,4.60%,36.92%,10.61%,10.61%
Total Revenues,0.27%,4.60%,36.92%,10.61%,10.61%
Cost Of Revenues,1.00%,3.76%,35.23%,10.42%,10.42%
Gross Profit,(6.38%),12.90%,52.16%,12.18%,12.18%
Selling General & Admin Expenses,(6.63%),1.94%,82.28%,20.14%,20.14%
Other Operating Expense/(Income),,,,,0.00%
Total Operating Expenses,(6.63%),1.94%,82.28%,18.75%,18.75%
Operating Income,(6.23%),19.53%,36.60%,7.66%,7.66%
Interest Expense,-15.38%,(20.45%),(69.81%),(35.56%),(35.56%)
Net Interest Expenses,-15.38%,(20.45%),(69.81%),(35.56%),(35.56%)
Other Non Operating Income (Expenses),100.00%,50.00%,100.00%,(66.67%),(66.67%)
"EBT, Excl. Unusual Items",(3.60%),19.63%,30.47%,(1.20%),(1.20%)
"EBT, Incl. Unusual Items",0.94%,(20.56%),68.24%,(5.24%),(5.24%)
Income Tax Expense,(49.28%),(5.71%),72.73%,5.26%,5.26%
Earnings From Continuing Operations,25.17%,(23.46%),67.15%,(7.86%),(7.86%)
Net Income to Company,25.17%,(23.46%),67.15%,(7.86%),(7.86%)
Minority Interest,,,,-33.33%,-33.33%
Net Income,25.17%,(23.46%),64.96%,(7.52%),(7.52%)
NI to Common Incl Extra Items,25.17%,(23.46%),64.96%,(7.52%),(7.52%)
NI to Common Excl. Extra Items,25.17%,(23.46%),64.96%,(7.52%),(7.52%)
Revenue Per Share,3.05%,4.37%,1.75%,11.18%,11.18%
Basic EPS,28.78%,(23.57%),22.46%,(7.05%),(7.04%)
Basic EPS - Continuing Ops,28.78%,(23.57%),22.46%,(7.05%),(7.04%)
Basic Weighted Average Shares Outst.,(2.70%),0.23%,34.56%,(0.51%),(0.51%)
Diluted EPS,28.85%,(22.64%),23.15%,(7.05%),(7.05%)
Diluted EPS - Continuing Ops,28.85%,(22.64%),23.15%,(7.05%),(7.05%)
Diluted Weighted Average Shares Outst.,(3.05%),(0.90%),33.79%,(0.51%),(0.51%)
Normalized Basic EPS,(1.00%),19.31%,(4.52%),(0.13%),(0.22%)
Normalized Diluted EPS,(0.48%),20.54%,(3.93%),(0.30%),(0.22%)
Dividend Per Share,0.00%,0.00%,19.35%,0.00%,0.00%
Payout Ratio,(20.11%),28.23%,(0.50%),8.12%,8.13%
EBITDA,(7.67%),17.28%,55.52%,10.56%,10.56%
EBITA,(7.36%),19.13%,55.45%,12.09%,12.09%
EBIT,(6.23%),19.53%,36.60%,7.66%,7.66%
EBITDAR,(10.74%),14.33%,57.64%,16.85%,
Effective Tax Rate,(49.75%),18.65%,2.68%,11.09%,11.09%
Normalized Net Income,(3.60%),19.63%,28.59%,(0.73%),(0.73%)
Interest on Long-Term Debt,(15.38%),20.45%,69.81%,35.56%,
R&D Expense From Footnotes,0.00%,25.00%,40.00%,(14.29%),(14.29%)
