Income Statement,Jul 2016,Jul 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,16740.6,17440.0,19036.9,19518.6,17634.3,18467.6
Total Revenues,16740.6,17440.0,19036.9,19518.6,17634.3,18467.6
Cost Of Revenues,14662.7,15070.5,16509.7,17032.5,15570.9,16396.9
Gross Profit,2077.9,2369.4,2527.2,2486.1,2063.5,2070.8
Selling General & Admin Expenses,1460.3,1770.6,1973.3,1855.2,1830.8,1816.1
Other Operating Expense/(Income),7.9,0.0,92.2,96.8,(0.1),(0.1)
Total Operating Expenses,1468.1,1770.6,2065.5,1952.0,1830.7,1816.0
Operating Income,609.8,598.8,461.7,534.1,232.8,254.7
Interest Expense,(91.9),(99.6),(92.7),(134.9),(122.7),(91.6)
Net Interest Expenses,(91.9),(99.6),(92.7),(134.9),(122.7),(91.6)
Currency Exchange Gains (Loss),0.3,(8.6),2.7,0.1,12.7,(8.3)
Other Non Operating Income (Expenses),(3.2),(42.8),7.7,(8.3),(9.5),20.3
"EBT, Excl. Unusual Items",514.9,447.8,379.4,391.0,113.2,175.1
"EBT, Incl. Unusual Items",478.0,310.4,145.1,242.3,(128.1),66.6
Income Tax Expense,87.1,47.1,288.0,62.2,(98.6),(94.9)
Earnings From Continuing Operations,390.9,263.4,(142.9),180.1,(29.5),161.5
Earnings Of Discontinued Operations,115.6,261.9,(13.5),(3.8),(1.5),(1.5)
Net Income to Company,506.5,525.3,(156.4),176.3,(31.1),159.9
Net Income,506.5,525.3,(156.4),176.3,(31.1),159.9
NI to Common Incl Extra Items,506.5,525.3,(156.4),176.3,(31.1),159.9
NI to Common Excl. Extra Items,390.9,263.4,(142.9),180.1,(29.5),161.5
Revenue Per Share,$127.93,$137.29,$158.76,$177.73,$175.51,$186.43
Basic EPS,$3.87,$4.14,($1.30),$1.61,($0.31),$1.61
Basic EPS - Continuing Ops,$2.99,$2.07,($1.19),$1.64,($0.29),$1.63
Basic Weighted Average Shares Outst.,130.9,127.0,119.9,109.8,100.5,99.1
Diluted EPS,$3.80,$4.09,($1.30),$1.60,($0.31),$1.61
Diluted EPS - Continuing Ops,$2.93,$2.05,($1.19),$1.63,($0.29),$1.62
Diluted Weighted Average Shares Outst.,133.2,128.7,119.9,110.8,100.5,99.7
Normalized Basic EPS,$2.46,$2.20,$1.98,$2.23,$0.70,$1.10
Normalized Diluted EPS,$2.42,$2.18,$1.98,$2.21,$0.70,$1.10
Dividend Per Share,$0.68,$0.70,$0.74,$0.80,$0.84,$0.84
Payout Ratio,17.49%,16.88%,NM,49.43%,NM,51.99%
EBITDA,689.4,738.2,643.7,703.6,404.1,391.5
EBITA,619.1,652.8,553.2,617.8,313.9,309.4
EBIT,609.8,598.8,461.7,534.1,232.8,254.7
EBITDAR,756.1,810.0,,,500.7,
Effective Tax Rate,18.2%,15.2%,198.5%,25.7%,NM,NM
Normalized Net Income,321.8,279.9,237.1,244.4,70.8,109.5
Foreign Sales,12260.6,12640.0,14396.9,14718.6,13174.3,
