Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.81%,32.02%,(7.13%),67.96%,106.83%
Total Revenues,34.49%,20.55%,(7.13%),67.96%,112.73%
Cost Of Revenues,25.15%,16.43%,(5.76%),96.77%,149.01%
Gross Profit,59.42%,29.20%,(9.72%),11.15%,39.49%
Selling General & Admin Expenses,11.05%,18.96%,(0.48%),49.99%,66.69%
Total Operating Expenses,11.05%,18.96%,(0.48%),49.99%,66.69%
Operating Income,"1,982.48%",50.89%,(25.17%),(75.19%),(47.40%)
Interest Expense,(80.92%),"(3,103.71%)",(42.15%),(31.63%),(49.85%)
Net Interest Expenses,(80.92%),"(3,103.71%)",(42.15%),(31.63%),(49.85%)
Currency Exchange Gains (Loss),,,,,-55.02%
Other Non Operating Income (Expenses),(13.10%),-63.70%,-61.98%,,210.10%
"EBT, Excl. Unusual Items",,34.41%,(38.85%),,
"EBT, Incl. Unusual Items",,37.35%,(51.23%),,-84.77%
Income Tax Expense,(175.57%),,(77.89%),,
Earnings From Continuing Operations,,(15.68%),(43.17%),,-82.54%
Net Income to Company,,(15.68%),(43.17%),,-82.54%
Minority Interest,-49.76%,-51.18%,(75.33%),(98.12%),
Net Income,,(15.38%),(43.75%),,-82.63%
NI to Common Incl Extra Items,,(15.38%),(43.75%),,-82.63%
NI to Common Excl. Extra Items,,(15.38%),(43.75%),,-82.63%
Revenue Per Share,34.55%,20.51%,(7.23%),(12.35%),(8.02%)
Basic EPS,,(15.56%),(43.86%),,-92.49%
Basic EPS - Continuing Ops,,(15.56%),(43.86%),,-92.49%
Basic Weighted Average Shares Outst.,0.00%,0.00%,0.11%,91.63%,131.29%
Diluted EPS,,(15.60%),(43.70%),,-92.49%
Diluted EPS - Continuing Ops,,(15.60%),(43.70%),,-92.49%
Diluted Weighted Average Shares Outst.,0.71%,(0.25%),(0.09%),91.14%,131.29%
Normalized Basic EPS,,35.84%,(39.65%),,
Normalized Diluted EPS,,35.23%,(39.20%),,
EBITDA,85.67%,29.82%,(15.67%),2.35%,41.14%
EBITA,159.50%,32.49%,(19.18%),(40.41%),(8.41%)
EBIT,"1,982.48%",50.89%,(25.17%),(75.19%),(47.40%)
EBITDAR,74.16%,,,12.21%,
Effective Tax Rate,,,(54.68%),(74.58%),
Normalized Net Income,,35.78%,(39.51%),,
Interest on Long-Term Debt,,,,29.16%,
R&D Expense From Footnotes,2.14%,6.57%,(5.50%),28.40%,28.40%
Foreign Sales,24.76%,8.08%,4.35%,246.04%,
