Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,14.15%,17.13%,13.14%,5.13%,5.20%
Total Interest Income,11.62%,16.24%,11.86%,1.04%,0.91%
Interest On Deposits,39.38%,68.33%,52.37%,(32.53%),(41.54%)
Total Interest On Borrowings,30.31%,98.65%,32.04%,(27.70%),(25.37%)
Total Interest Expense,36.89%,76.25%,46.39%,(31.25%),(37.44%)
Net Interest Income,7.87%,4.96%,0.97%,15.82%,17.64%
Gain (Loss) on Sale of Invest. & Securities,(877.39%),,6.27%,248.74%,
Total Other Non Interest Income,5.46%,8.98%,16.34%,18.35%,34.13%
Total Non Interest Income,(15.69%),40.27%,22.07%,21.93%,232.57%
Revenue Before Loan Losses,7.03%,5.96%,1.76%,16.09%,22.06%
Provision For Loan Losses,69.02%,(38.27%),(86.07%),996.02%,155.13%
Total Revenues,(2.31%),17.49%,13.79%,(0.33%),13.46%
Salaries And Other Employee Benefits,10.80%,9.99%,12.09%,19.46%,18.73%
Occupancy Expense,695.57%,6.75%,(70.60%),11.20%,33.81%
Total Selling General & Admin Expenses,1.60%,18.86%,28.15%,12.29%,11.09%
Total Non Interest Expense,15.47%,11.77%,8.84%,16.02%,16.11%
"EBT, Excl. Unusual Items",(12.50%),21.81%,17.22%,(10.86%),11.49%
"EBT, Incl. Unusual Items",(12.50%),21.81%,17.22%,(10.86%),11.49%
Income Tax Expense,(27.98%),3.32%,20.90%,(13.23%),5.45%
Earnings From Continuing Operations,(2.30%),30.79%,15.81%,(9.91%),13.62%
Net Income to Company,(2.30%),30.79%,15.81%,(9.91%),13.62%
Net Income,(2.30%),30.79%,15.81%,(9.91%),13.62%
Preferred Dividend and Other Adjustments,,,109.30%,(9.83%),517.10%
Net Income to Common Incl Extra Items,(2.30%),30.55%,15.64%,(9.91%),11.78%
Net Income to Common Excl. Extra Items,(2.30%),30.55%,15.64%,(9.91%),11.78%
Revenue Per Share,(3.41%),16.61%,15.11%,1.81%,13.70%
Basic EPS,(3.36%),29.59%,17.02%,(7.96%),12.03%
Basic EPS - Continuing Ops,(3.36%),29.59%,17.02%,(7.96%),12.03%
Basic Weighted Average Shares Outst.,1.11%,0.75%,(1.16%),(2.11%),(0.22%)
Diluted EPS,(3.39%),29.92%,16.97%,(7.95%),11.85%
Diluted EPS - Continuing Ops,(3.39%),29.92%,16.97%,(7.95%),11.85%
Diluted Weighted Average Shares Outst.,1.13%,0.46%,(1.20%),(2.06%),(0.01%)
Normalized Basic EPS,(13.42%),20.87%,18.60%,(8.97%),11.73%
Normalized Diluted EPS,(13.52%),21.20%,18.66%,(9.03%),11.50%
Dividend Per Share,,,100.00%,0.00%,0.00%
Payout Ratio,,,71.03%,8.58%,
Effective Tax Rate,(17.70%),(15.18%),3.14%,(2.66%),(5.42%)
Normalized Net Income,(12.50%),21.81%,17.22%,(10.86%),11.49%
Interest on Long-Term Debt,46.86%,109.96%,35.43%,(22.54%),
