Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,680.9,734.5,1034.0,1198.9,1284.7,1264.8
Total Interest Income,761.9,834.2,1159.2,1321.0,1383.7,1351.7
Interest On Deposits,77.6,97.8,190.4,311.9,182.2,127.1
Total Interest On Borrowings,71.2,76.3,111.7,111.1,82.6,78.4
Total Interest Expense,148.8,174.1,302.0,423.0,264.8,205.5
Net Interest Income,613.1,660.0,857.2,898.0,1118.9,1146.2
Service Charges On Deposits,20.9,21.5,26.8,23.6,18.3,17.7
Trust Income,10.3,11.5,12.6,12.6,12.4,12.3
Gain (Loss) on Sale of Assets,1.4,(0.1),(2.4),78.3,(1.9),(2.2)
Gain (Loss) on Sale of Invest. & Securities,(34.0),(41.8),(20.0),(23.5),(13.4),(11.9)
Total Other Non Interest Income,52.9,57.9,72.3,84.1,111.5,103.4
Total Non Interest Income,73.5,70.0,109.9,194.1,169.1,160.5
Revenue Before Loan Losses,686.6,730.0,967.1,1092.2,1288.0,1306.7
Provision For Loan Losses,11.9,9.9,32.5,24.2,125.1,100.2
Total Revenues,674.8,720.1,934.6,1068.0,1162.9,1206.6
Salaries And Other Employee Benefits,233.2,251.1,311.7,293.7,311.8,314.2
Amort. of Goodwill & Intang. Assets,10.7,10.4,18.8,18.1,23.8,24.4
Occupancy Expense,59.4,64.5,79.8,83.5,90.3,90.2
Total Selling General & Admin Expenses,65.5,75.7,94.7,80.4,98.2,99.3
Total Other Non Interest Expense,51.5,46.2,69.4,63.1,71.9,73.7
Total Non Interest Expense,440.5,467.8,602.6,560.5,615.1,620.1
"EBT, Excl. Unusual Items",234.3,252.3,332.0,507.5,547.8,586.5
Restructuring Charges,,,(2.7),(4.8),(2.7),(2.7)
Asset Writedown,(0.6),0.4,0.4,0.0,(0.8),(0.8)
Other Unusual Items,(0.3),,,(32.0),(14.2),(14.2)
"EBT, Incl. Unusual Items",233.4,252.7,329.7,456.8,530.1,568.7
Income Tax Expense,65.2,90.8,68.3,147.0,139.5,149.7
Earnings From Continuing Operations,168.1,161.9,261.4,309.8,390.6,419.0
Net Income to Company,168.1,161.9,261.4,309.8,390.6,419.0
Net Income,168.1,161.9,261.4,309.8,390.6,419.0
Preferred Dividend and Other Adjustments,7.2,9.4,12.7,12.7,12.7,12.7
Net Income to Common Incl Extra Items,161.0,152.5,248.7,297.1,377.9,406.4
Net Income to Common Excl. Extra Items,161.0,152.5,248.7,297.1,377.9,406.4
Revenue Per Share,$2.65,$2.73,$2.82,$3.16,$2.88,$2.99
Basic EPS,$0.63,$0.58,$0.75,$0.88,$0.94,$1.01
Basic EPS - Continuing Ops,$0.63,$0.58,$0.75,$0.88,$0.94,$1.01
Basic Weighted Average Shares Outst.,254.8,264.0,331.3,337.8,403.8,404.2
Diluted EPS,$0.63,$0.58,$0.75,$0.87,$0.93,$1.00
Diluted EPS - Continuing Ops,$0.63,$0.58,$0.75,$0.87,$0.93,$1.00
Diluted Weighted Average Shares Outst.,255.3,264.9,332.7,340.1,405.0,405.6
Normalized Basic EPS,$0.57,$0.60,$0.63,$0.94,$0.85,$0.91
Normalized Diluted EPS,$0.57,$0.60,$0.62,$0.93,$0.85,$0.90
Dividend Per Share,$0.44,$0.44,$0.44,$0.44,$0.44,$0.44
Payout Ratio,70.77%,75.45%,59.18%,51.40%,48.81%,
Effective Tax Rate,28.0%,35.9%,20.7%,32.2%,26.3%,26.3%
Normalized Net Income,146.4,157.7,207.5,317.2,342.4,366.5
Interest on Long-Term Debt,59.2,58.2,65.8,63.4,71.4,
