Income Statement,Jan 2017,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,1435.4,1223.4,1263.9,1369.5,1400.2,1400.2
Total Revenues,1435.4,1223.4,1263.9,1369.5,1400.2,1400.2
Cost Of Revenues,826.7,622.3,664.9,765.1,767.0,767.0
Gross Profit,608.7,601.1,599.0,604.4,633.2,633.2
Selling General & Admin Expenses,236.8,202.9,189.9,202.7,206.7,206.7
Depreciation & Amortization,122.7,125.7,128.9,131.7,132.8,132.8
Other Operating Expense/(Income),(11.6),(1.1),(2.5),(4.1),9.4,9.4
Total Operating Expenses,347.9,327.5,316.3,330.3,348.8,348.8
Operating Income,260.8,273.6,282.7,274.1,284.3,284.3
Interest Expense,(129.4),(140.9),(147.3),(142.3),(146.8),(146.8)
Interest And Investment Income,15.4,25.6,478.4,51.9,29.1,29.1
Net Interest Expenses,(114.1),(115.4),331.1,(90.4),(117.7),(117.7)
Other Non Operating Income (Expenses),1.0,1.6,5.4,7.8,1.4,1.4
"EBT, Excl. Unusual Items",156.1,167.5,627.3,200.2,174.1,174.1
"EBT, Incl. Unusual Items",201.7,101.0,574.9,171.5,152.8,152.8
Income Tax Expense,72.1,(93.0),114.8,34.5,35.0,35.0
Earnings From Continuing Operations,129.6,194.0,460.1,136.9,117.8,117.8
Net Income to Company,129.6,194.0,460.1,136.9,117.8,117.8
Net Income,129.6,194.0,460.1,136.9,117.8,117.8
NI to Common Incl Extra Items,129.6,194.0,460.1,136.9,117.8,117.8
NI to Common Excl. Extra Items,129.6,194.0,460.1,136.9,117.8,117.8
Revenue Per Share,$5.47,$5.01,$5.32,$5.96,$6.26,$6.26
Basic EPS,$0.49,$0.79,$1.93,$0.60,$0.53,$0.53
Basic EPS - Continuing Ops,$0.49,$0.79,$1.93,$0.60,$0.53,$0.53
Basic Weighted Average Shares Outst.,262.2,244.2,237.8,229.9,223.7,223.7
Diluted EPS,$0.49,$0.77,$1.88,$0.58,$0.52,$0.52
Diluted EPS - Continuing Ops,$0.49,$0.77,$1.88,$0.58,$0.52,$0.52
Diluted Weighted Average Shares Outst.,266.7,252.3,245.0,235.1,228.0,228.0
Normalized Basic EPS,$0.37,$0.43,$1.65,$0.54,$0.49,$0.49
Normalized Diluted EPS,$0.37,$0.41,$1.60,$0.53,$0.48,$0.48
Dividend Per Share,$0.25,$0.28,$0.34,$0.42,$0.29,$0.29
Payout Ratio,49.24%,35.21%,17.50%,70.37%,55.05%,55.05%
EBITDA,383.5,399.3,411.6,405.8,417.1,417.1
EBITA,308.0,320.9,334.8,327.3,336.9,336.9
EBIT,260.8,273.6,282.7,274.1,284.3,284.3
EBITDAR,384.7,382.4,388.0,351.1,363.7,363.7
Effective Tax Rate,35.7%,NM,20.0%,20.1%,22.9%,22.9%
Normalized Net Income,97.6,104.7,392.1,125.1,108.8,108.8
Interest on Long-Term Debt,,108.5,107.9,142.8,146.8,146.8
Foreign Sales,62.1,68.5,94.3,102.4,98.1,98.1
