Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,79.83%,136.94%,6.51%,(5.56%),(5.49%)
Total Revenues,79.83%,136.94%,6.51%,(5.56%),(5.49%)
Cost Of Revenues,96.61%,178.75%,6.16%,(6.80%),(7.16%)
Gross Profit,53.78%,53.96%,7.75%,(1.19%),0.46%
Selling General & Admin Expenses,63.95%,43.76%,9.84%,(0.85%),(0.97%)
Depreciation & Amortization,107.97%,62.49%,6.06%,(8.29%),(3.75%)
Total Operating Expenses,113.26%,37.68%,1.29%,(3.47%),(2.54%)
Operating Income,(26.25%),117.29%,23.69%,3.41%,6.57%
Interest Expense,(430.33%),(105.10%),-0.67%,-29.79%,-27.65%
Interest And Investment Income,447.22%,211.84%,104.61%,(96.49%),(100.00%)
Net Interest Expenses,(430.03%),(103.08%),-3.73%,-25.68%,-23.65%
Currency Exchange Gains (Loss),(125.19%),,,-68.19%,
Other Non Operating Income (Expenses),(346.46%),,,-34.24%,
"EBT, Excl. Unusual Items",(71.83%),315.38%,9.99%,32.37%,14.27%
"EBT, Incl. Unusual Items",,,77.63%,100.24%,28.10%
Income Tax Expense,23.75%,24.00%,,,
Earnings From Continuing Operations,,,440.51%,46.88%,1.59%
Net Income to Company,,,440.51%,46.88%,1.59%
Net Income,,,440.51%,46.88%,1.59%
NI to Common Incl Extra Items,,,440.51%,46.88%,1.59%
NI to Common Excl. Extra Items,,,440.51%,46.88%,1.59%
Revenue Per Share,29.70%,71.66%,6.30%,(6.07%),(5.78%)
Basic EPS,,,450.76%,45.73%,1.27%
Basic EPS - Continuing Ops,,,450.76%,45.73%,1.27%
Basic Weighted Average Shares Outst.,38.65%,38.05%,0.20%,0.53%,0.32%
Diluted EPS,,,443.48%,46.40%,1.78%
Diluted EPS - Continuing Ops,,,443.48%,46.40%,1.78%
Diluted Weighted Average Shares Outst.,34.71%,39.76%,0.29%,0.44%,(0.15%)
Normalized Basic EPS,(79.68%),197.22%,9.77%,32.18%,13.91%
Normalized Diluted EPS,(79.08%),193.57%,9.34%,31.68%,14.44%
EBITDA,32.66%,79.06%,6.21%,(1.45%),1.59%
EBITA,25.00%,81.87%,6.23%,(0.42%),2.38%
EBIT,(26.25%),117.29%,23.69%,3.41%,6.57%
EBITDAR,,,11.56%,(3.22%),
Normalized Net Income,(71.83%),315.38%,9.99%,32.37%,14.27%
Interest on Long-Term Debt,430.33%,105.10%,(0.67%),(29.79%),
Foreign Sales,59.55%,117.21%,11.19%,1.72%,
