Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.94%,11.97%,3.44%,2.43%,5.21%
Total Revenues,5.94%,11.97%,3.44%,2.43%,5.21%
Cost Of Revenues,7.14%,13.09%,0.39%,1.29%,4.47%
Gross Profit,3.77%,9.88%,9.23%,4.44%,6.49%
Selling General & Admin Expenses,6.48%,10.98%,4.82%,8.76%,9.12%
Depreciation & Amortization,(1.10%),12.18%,13.28%,13.23%,14.69%
Total Operating Expenses,4.21%,11.32%,7.24%,10.11%,10.80%
Operating Income,3.04%,7.49%,12.65%,(4.83%),(0.90%)
Interest Expense,(15.21%),-19.63%,(8.78%),-6.33%,-6.90%
Interest And Investment Income,106.96%,28.99%,(40.84%),(77.05%),399.11%
Net Interest Expenses,(7.77%),-27.21%,(22.47%),(3.10%),-53.97%
Currency Exchange Gains (Loss),"(1,433.74%)",-66.00%,0.00%,(247.06%),(303.97%)
Other Non Operating Income (Expenses),95.15%,(28.30%),334.13%,,
"EBT, Excl. Unusual Items",1.01%,12.91%,12.81%,(8.48%),1.62%
"EBT, Incl. Unusual Items",5.11%,(9.77%),28.59%,(11.96%),(1.85%)
Income Tax Expense,(0.13%),(4.74%),40.12%,(12.80%),(15.06%)
Earnings From Continuing Operations,7.02%,(11.48%),24.37%,(11.62%),3.54%
Net Income to Company,7.02%,(11.48%),24.37%,(11.62%),3.54%
Minority Interest,,,(19.05%),(100.00%),(48.15%)
Net Income,7.02%,(11.49%),24.37%,(11.63%),3.54%
NI to Common Incl Extra Items,7.02%,(11.49%),24.37%,(11.63%),3.54%
NI to Common Excl. Extra Items,7.02%,(11.49%),24.37%,(11.63%),3.54%
Revenue Per Share,6.57%,11.96%,1.59%,1.10%,3.76%
Basic EPS,7.77%,(11.39%),22.11%,(12.79%),2.11%
Basic EPS - Continuing Ops,7.77%,(11.39%),22.11%,(12.79%),2.11%
Basic Weighted Average Shares Outst.,(0.59%),0.00%,1.82%,1.33%,1.39%
Diluted EPS,7.57%,(12.02%),22.00%,(12.30%),2.08%
Diluted EPS - Continuing Ops,7.57%,(12.02%),22.00%,(12.30%),2.08%
Diluted Weighted Average Shares Outst.,(0.39%),0.56%,1.84%,0.77%,1.06%
Normalized Basic EPS,1.66%,12.77%,10.67%,(9.80%),0.22%
Normalized Diluted EPS,1.50%,12.30%,10.80%,(9.30%),0.55%
Dividend Per Share,4.92%,3.13%,7.58%,1.41%,0.00%
Payout Ratio,(2.57%),16.39%,(11.91%),16.25%,(2.15%)
EBITDA,1.67%,8.99%,12.86%,1.14%,4.42%
EBITA,3.26%,8.78%,15.44%,(1.63%),2.07%
EBIT,3.04%,7.49%,12.65%,(4.83%),(0.90%)
EBITDAR,,,,1.29%,
Effective Tax Rate,(4.98%),5.58%,8.95%,(0.96%),(13.46%)
Normalized Net Income,1.02%,12.89%,12.81%,(8.49%),1.61%
Interest on Long-Term Debt,,,,37.19%,
R&D Expense From Footnotes,3.02%,10.41%,9.96%,11.71%,11.71%
Foreign Sales,6.78%,11.56%,(0.76%),(2.95%),
