Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,2023.1,2098.7,2325.9,2900.2,2495.7,2174.0
Total Revenues,2023.1,2098.7,2325.9,2900.2,2495.7,2174.0
Cost Of Revenues,1470.7,1527.6,1706.5,2192.7,1855.4,1638.9
Gross Profit,552.4,571.1,619.4,707.5,640.2,535.2
Selling General & Admin Expenses,172.3,175.2,189.6,207.7,197.2,193.4
R&D Expenses,125.1,126.5,148.3,159.1,133.1,121.3
Total Operating Expenses,297.4,301.7,337.9,366.8,330.3,314.7
Operating Income,255.0,269.4,281.5,340.8,309.9,220.5
Interest Expense,(26.8),(27.4),(31.8),(34.6),2.3,
Interest And Investment Income,2.0,1.7,1.7,1.4,1.8,4.1
Net Interest Expenses,(24.8),(25.7),(30.1),(33.1),4.1,4.1
Other Non Operating Income (Expenses),1.7,2.9,(2.9),2.0,5.2,10.4
"EBT, Excl. Unusual Items",238.2,249.1,251.8,322.5,334.8,248.9
"EBT, Incl. Unusual Items",226.5,252.7,219.6,320.6,281.9,239.2
Income Tax Expense,45.6,52.2,39.2,61.0,41.5,33.6
Earnings From Continuing Operations,180.8,200.5,180.4,259.6,240.4,205.6
Net Income to Company,180.8,200.5,180.4,259.6,240.4,205.6
Net Income,180.8,200.5,180.4,259.6,240.4,205.6
NI to Common Incl Extra Items,180.8,200.5,180.4,259.6,240.4,205.6
NI to Common Excl. Extra Items,180.8,200.5,180.4,259.6,240.4,205.6
Revenue Per Share,$32.69,$34.20,$37.82,$46.82,$40.08,$34.66
Basic EPS,$2.92,$3.27,$2.93,$4.19,$3.86,$3.28
Basic EPS - Continuing Ops,$2.92,$3.27,$2.93,$4.19,$3.86,$3.28
Basic Weighted Average Shares Outst.,61.9,61.4,61.5,62.0,62.3,62.7
Diluted EPS,$2.85,$3.16,$2.82,$4.02,$3.74,$3.18
Diluted EPS - Continuing Ops,$2.85,$3.16,$2.82,$4.02,$3.74,$3.18
Diluted Weighted Average Shares Outst.,63.6,63.5,63.9,64.5,64.2,64.5
Normalized Basic EPS,$2.40,$2.54,$2.56,$3.25,$3.36,$2.48
Normalized Diluted EPS,$2.34,$2.45,$2.46,$3.13,$3.26,$2.41
Dividend Per Share,$0.43,$0.49,$0.55,$0.63,$0.61,$0.41
Payout Ratio,14.71%,14.83%,18.85%,15.05%,15.67%,12.42%
EBITDA,324.1,350.3,397.6,482.8,441.1,351.7
EBITA,282.5,295.2,326.2,396.8,349.4,261.2
EBIT,255.0,269.4,281.5,340.8,309.9,220.5
EBITDAR,331.4,358.6,406.0,490.3,448.1,
Effective Tax Rate,20.2%,20.7%,17.9%,19.0%,14.7%,14.1%
Normalized Net Income,148.8,155.7,157.4,201.6,209.2,155.5
Interest Capitalized,5.5,2.0,2.2,0.8,0.1,
Interest on Long-Term Debt,,,,,1.1,
R&D Expense From Footnotes,126.2,126.5,148.3,159.1,133.1,121.3
Foreign Sales,904.2,886.8,975.2,1272.1,1069.2,
