Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,12.49%,22.84%,1.13%,(2.03%),1.63%
Total Revenues,12.49%,22.84%,1.13%,(2.03%),1.63%
Cost Of Revenues,10.10%,21.20%,2.00%,(0.31%),2.74%
Gross Profit,21.97%,28.74%,(1.81%),(8.04%),(2.34%)
Selling General & Admin Expenses,13.32%,35.55%,7.15%,(2.11%),(8.82%)
Total Operating Expenses,13.32%,35.55%,7.15%,(2.11%),(8.82%)
Operating Income,31.16%,22.49%,(10.91%),(15.29%),7.21%
Interest Expense,(321.96%),-22.04%,,,0.00%
Interest And Investment Income,145.11%,43.12%,121.90%,(47.37%),(63.64%)
Net Interest Expenses,(10.38%),312.88%,295.36%,(60.20%),(77.16%)
Other Non Operating Income (Expenses),(8.30%),24.11%,(53.70%),(37.99%),42.74%
"EBT, Excl. Unusual Items",37.83%,16.13%,(17.49%),(19.73%),(0.31%)
"EBT, Incl. Unusual Items",38.25%,14.69%,(15.71%),(25.44%),(7.59%)
Income Tax Expense,34.74%,(33.37%),6.14%,(28.85%),(2.81%)
Earnings From Continuing Operations,40.15%,39.71%,(21.14%),(24.30%),(9.08%)
Net Income to Company,40.15%,39.71%,(21.14%),(24.30%),(9.08%)
Net Income,40.15%,39.71%,(21.14%),(24.30%),(9.08%)
NI to Common Incl Extra Items,40.15%,39.71%,(21.14%),(24.30%),(9.08%)
NI to Common Excl. Extra Items,40.15%,39.71%,(21.14%),(24.30%),(9.08%)
Revenue Per Share,16.69%,31.10%,6.00%,9.20%,14.26%
Basic EPS,45.42%,49.17%,(17.30%),(15.65%),2.21%
Basic EPS - Continuing Ops,45.42%,49.17%,(17.30%),(15.65%),2.21%
Basic Weighted Average Shares Outst.,(3.59%),(6.31%),(4.59%),(10.28%),(11.05%)
Diluted EPS,45.32%,53.00%,(16.91%),(15.63%),2.31%
Diluted EPS - Continuing Ops,45.32%,53.00%,(16.91%),(15.63%),2.31%
Diluted Weighted Average Shares Outst.,(3.69%),(9.02%),(4.99%),(10.41%),(11.28%)
Normalized Basic EPS,43.24%,24.13%,(13.53%),(10.42%),12.07%
Normalized Diluted EPS,42.87%,27.54%,(13.10%),(10.42%),12.36%
Dividend Per Share,,70.83%,7.32%,0.00%,0.00%
Payout Ratio,,14.39%,30.74%,17.42%,(1.16%)
EBITDA,30.22%,21.65%,(4.96%),(14.31%),6.47%
EBITA,31.16%,22.49%,(10.91%),(15.29%),7.21%
EBIT,31.16%,22.49%,(10.91%),(15.29%),7.21%
EBITDAR,29.87%,21.38%,(4.35%),(13.78%),
Effective Tax Rate,(2.54%),(41.91%),25.93%,(4.59%),5.17%
Normalized Net Income,37.83%,16.13%,(17.49%),(19.73%),(0.31%)
Interest Capitalized,7.28%,(5.66%),7.26%,(3.09%),
