Income Statement,Oct 2016,Oct 2017,Nov 2018,Nov 2019,Oct 2020,TTM
Revenues,2600.6,2801.7,3094.3,3572.1,3532.2,3456.4
Total Revenues,2600.6,2801.7,3094.3,3572.1,3532.2,3456.4
Cost Of Revenues,1439.0,1555.9,1779.6,2030.1,1879.3,1816.1
Gross Profit,1161.6,1245.8,1314.7,1542.1,1652.9,1640.2
Selling General & Admin Expenses,482.6,498.8,554.2,597.4,586.0,573.7
R&D Expenses,451.8,475.3,491.6,548.1,529.9,531.7
Total Operating Expenses,995.9,1020.8,1061.5,1167.4,1139.2,1128.9
Operating Income,165.7,225.0,253.2,374.7,513.6,511.4
Interest Expense,(56.7),(58.4),(55.4),(36.3),(35.8),(34.3)
Interest And Investment Income,4.1,6.6,13.7,14.4,6.9,4.0
Net Interest Expenses,(52.6),(51.8),(41.7),(21.9),(28.9),(30.3)
Currency Exchange Gains (Loss),(17.5),(5.6),(12.6),(9.8),(7.5),(9.7)
Other Non Operating Income (Expenses),0.9,2.4,(0.8),(1.9),3.3,3.7
"EBT, Excl. Unusual Items",96.5,170.0,198.0,341.1,480.6,475.0
"EBT, Incl. Unusual Items",86.7,156.1,148.8,313.2,456.0,451.1
Income Tax Expense,14.1,"(1,105.8)",493.5,59.8,94.7,96.8
Earnings From Continuing Operations,72.6,1262.0,(344.7),253.4,361.3,354.3
Net Income to Company,72.6,1262.0,(344.7),253.4,361.3,354.3
Net Income,72.6,1262.0,(344.7),253.4,361.3,354.3
NI to Common Incl Extra Items,72.6,1262.0,(344.7),253.4,361.3,354.3
NI to Common Excl. Extra Items,72.6,1262.0,(344.7),253.4,361.3,354.3
Revenue Per Share,$18.80,$19.73,$21.53,$22.94,$22.89,$22.37
Basic EPS,$0.52,$8.89,($2.40),$1.63,$2.34,$2.29
Basic EPS - Continuing Ops,$0.52,$8.89,($2.40),$1.63,$2.34,$2.29
Basic Weighted Average Shares Outst.,138.3,142.0,143.7,155.7,154.3,154.5
Diluted EPS,$0.51,$7.53,($2.49),$1.61,$2.32,$2.27
Diluted EPS - Continuing Ops,$0.51,$7.53,($2.49),$1.61,$2.32,$2.27
Diluted Weighted Average Shares Outst.,150.7,169.9,143.7,157.6,156.0,156.2
Normalized Basic EPS,$0.44,$0.75,$0.86,$1.37,$1.95,$1.92
Normalized Diluted EPS,$0.40,$0.63,$0.86,$1.35,$1.93,$1.90
EBITDA,307.4,347.9,363.2,497.4,646.2,641.3
EBITA,244.0,270.7,279.0,409.8,552.3,549.9
EBIT,165.7,225.0,253.2,374.7,513.6,511.4
EBITDAR,334.0,378.8,,,668.9,
Effective Tax Rate,16.3%,NM,331.7%,19.1%,20.8%,21.5%
Normalized Net Income,60.3,106.3,123.7,213.2,300.4,296.9
Interest on Long-Term Debt,,,,,5.4,
R&D Expense From Footnotes,451.8,475.3,491.6,548.1,529.9,534.5
Foreign Sales,1020.6,1171.7,2917.3,1322.1,1282.2,
