Income Statement,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Revenues,(15.09%),(7.79%),(1.99%),(6.79%),(6.79%)
Total Revenues,(15.09%),(7.79%),(1.99%),(6.79%),(6.79%)
Cost Of Revenues,(21.30%),(6.45%),(4.70%),(8.30%),(8.30%)
Gross Profit,(12.46%),(8.30%),(0.94%),(6.23%),(6.23%)
Selling General & Admin Expenses,(5.60%),(8.67%),(2.32%),(11.90%),(11.90%)
R&D Expenses,(7.57%),(5.39%),(7.47%),(4.85%),(4.85%)
Total Operating Expenses,(4.82%),(7.08%),(5.11%),(9.11%),(9.11%)
Operating Income,(97.92%),,,83.10%,83.10%
Interest Expense,(37.55%),(106.94%),-21.21%,-28.02%,-28.02%
Interest And Investment Income,77.08%,190.10%,(13.67%),,
Net Interest Expenses,(32.61%),(93.05%),-23.11%,-7.74%,-7.74%
Currency Exchange Gains (Loss),(64.00%),-51.22%,-65.00%,,
Other Non Operating Income (Expenses),(58.67%),881.48%,(41.73%),,
"EBT, Excl. Unusual Items",,(105.66%),,314.49%,314.49%
"EBT, Incl. Unusual Items",,(397.95%),,"1,059.25%","1,059.25%"
Income Tax Expense,,-80.11%,,(36.90%),(36.90%)
Earnings From Continuing Operations,139.74%,,-96.24%,,
Net Income to Company,139.74%,,-96.24%,,
Net Income,139.74%,,-96.24%,,
NI to Common Incl Extra Items,139.74%,,-96.24%,,
NI to Common Excl. Extra Items,139.74%,,-96.24%,,
Revenue Per Share,(10.42%),2.52%,2.55%,(4.20%),(4.16%)
Basic EPS,153.59%,,-96.06%,,
Basic EPS - Continuing Ops,153.59%,,-96.06%,,
Basic Weighted Average Shares Outst.,(5.21%),(10.07%),(4.39%),(2.74%),(2.74%)
Diluted EPS,150.00%,,-95.70%,,
Diluted EPS - Continuing Ops,150.00%,,-95.70%,,
Diluted Weighted Average Shares Outst.,(5.01%),(10.93%),(4.39%),(1.78%),(1.78%)
Normalized Basic EPS,,(139.91%),,378.05%,326.17%
Normalized Diluted EPS,,(139.91%),,373.39%,322.02%
EBITDA,(32.29%),(15.96%),5.09%,5.49%,5.49%
EBITA,(39.04%),(14.94%),11.20%,(66.49%),(66.49%)
EBIT,(97.92%),,,83.10%,83.10%
Effective Tax Rate,"1,357.44%",,,(94.56%),(94.56%)
Normalized Net Income,,(105.66%),,314.49%,314.49%
Interest on Long-Term Debt,37.55%,106.94%,(21.21%),,
R&D Expense From Footnotes,(7.38%),(5.27%),(7.76%),(5.10%),(5.10%)
Foreign Sales,,(11.92%),(2.93%),,
