Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.41%,3.44%,(18.32%),20.69%,39.21%
Total Revenues,22.41%,3.44%,(18.32%),20.69%,39.21%
Cost Of Revenues,9.23%,4.30%,(3.69%),(4.33%),(0.10%)
Gross Profit,82.04%,1.09%,(59.27%),186.47%,275.45%
Selling General & Admin Expenses,6.86%,5.97%,9.39%,(9.01%),(11.64%)
Other Operating Expense/(Income),(71.26%),,-77.78%,(400.00%),(400.00%)
Total Operating Expenses,(1.29%),(0.97%),13.24%,(12.55%),(15.22%)
Operating Income,170.96%,1.89%,(86.67%),825.00%,944.00%
Interest Expense,-40.81%,-15.79%,(18.75%),0.00%,-5.00%
Interest And Investment Income,21.95%,80.00%,(44.44%),(60.00%),(33.33%)
Net Interest Expenses,-62.34%,,,(66.67%),(7.14%)
"EBT, Excl. Unusual Items",188.83%,4.26%,(89.24%),"1,024.14%","1,053.93%"
"EBT, Incl. Unusual Items",199.82%,2.16%,,,
Income Tax Expense,501.01%,2.52%,,,
Earnings From Continuing Operations,160.15%,2.05%,,,
Earnings Of Discontinued Operations,(100.00%),(300.00%),,,
Net Income to Company,160.35%,1.28%,,,
Minority Interest,,,,(60.00%),(75.00%)
Net Income,160.35%,1.28%,,,"78,500.00%"
NI to Common Incl Extra Items,160.35%,1.28%,,,"78,500.00%"
NI to Common Excl. Extra Items,160.15%,2.05%,,,"78,500.00%"
Revenue Per Share,21.94%,4.14%,(5.05%),33.74%,50.34%
Basic EPS,160.42%,1.93%,,,"84,787.44%"
Basic EPS - Continuing Ops,158.60%,2.58%,,,"84,787.44%"
Basic Weighted Average Shares Outst.,0.42%,(0.69%),(13.99%),(9.76%),(7.40%)
Diluted EPS,158.56%,2.72%,,,"84,206.52%"
Diluted EPS - Continuing Ops,159.22%,3.37%,,,"84,206.52%"
Diluted Weighted Average Shares Outst.,0.48%,(1.37%),(14.58%),(8.94%),(6.55%)
Normalized Basic EPS,187.68%,5.17%,(85.79%),985.06%,"1,064.36%"
Normalized Diluted EPS,187.43%,5.86%,(85.67%),975.37%,"1,053.82%"
Dividend Per Share,,,3.85%,7.41%,8.18%
Payout Ratio,,,,,(99.87%)
EBITDA,112.71%,1.22%,(70.18%),294.44%,419.73%
EBITA,172.49%,2.06%,(86.21%),793.33%,918.45%
EBIT,170.96%,1.89%,(86.67%),825.00%,944.00%
EBITDAR,,,,232.64%,
Effective Tax Rate,100.46%,0.37%,141.34%,,(72.94%)
Normalized Net Income,188.83%,4.26%,(87.76%),892.73%,978.20%
Interest Capitalized,5.26%,100.00%,(75.00%),,
Interest on Long-Term Debt,(38.24%),(4.76%),0.00%,(5.00%),
R&D Expense From Footnotes,,,,(50.00%),0.00%
Foreign Earnings,,(11.52%),(95.27%),962.50%,
Foreign Sales,6.11%,19.10%,(19.71%),(0.36%),
