Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,3.33%,3.80%,2.08%,(0.90%),1.99%
Total Revenues,3.33%,3.80%,2.08%,(0.90%),1.99%
Cost Of Revenues,2.90%,2.50%,1.96%,(5.15%),(2.92%)
Gross Profit,3.80%,5.19%,2.21%,3.52%,6.95%
Selling General & Admin Expenses,2.09%,(9.51%),3.58%,3.34%,3.05%
R&D Expenses,0.15%,1.42%,2.88%,(2.15%),3.17%
Total Operating Expenses,1.82%,2.82%,4.64%,0.97%,1.39%
Operating Income,10.00%,12.06%,(4.25%),10.91%,23.02%
Interest Expense,-1.66%,(6.86%),-5.68%,-17.41%,-18.61%
Interest And Investment Income,,,(35.71%),(11.11%),857.14%
Net Interest Expenses,-1.66%,(5.29%),-5.24%,-17.47%,-26.36%
Currency Exchange Gains (Loss),0.00%,,100.00%,,
"EBT, Excl. Unusual Items",14.83%,14.67%,(3.82%),18.83%,34.15%
"EBT, Incl. Unusual Items",32.32%,7.76%,5.78%,30.01%,76.88%
Income Tax Expense,227.10%,,,(14.54%),33.66%
Earnings From Continuing Operations,7.74%,90.78%,(39.70%),46.52%,91.71%
Net Income to Company,7.74%,90.78%,(39.70%),46.52%,91.71%
Minority Interest,0.00%,,,,
Net Income,7.66%,88.92%,(39.70%),46.52%,91.71%
NI to Common Incl Extra Items,7.66%,88.92%,(39.70%),46.52%,91.71%
NI to Common Excl. Extra Items,7.66%,88.92%,(39.70%),46.52%,91.71%
Revenue Per Share,2.92%,2.79%,1.26%,(0.69%),2.34%
Basic EPS,7.19%,86.80%,(40.17%),46.79%,92.37%
Basic EPS - Continuing Ops,7.19%,86.80%,(40.17%),46.79%,92.37%
Basic Weighted Average Shares Outst.,0.41%,0.97%,0.81%,(0.21%),(0.34%)
Diluted EPS,6.99%,87.44%,(39.68%),47.56%,93.20%
Diluted EPS - Continuing Ops,6.99%,87.44%,(39.68%),47.56%,93.20%
Diluted Weighted Average Shares Outst.,0.94%,0.58%,0.07%,(0.66%),(0.81%)
Normalized Basic EPS,14.23%,12.65%,(4.43%),19.08%,34.61%
Normalized Diluted EPS,13.62%,13.17%,(3.91%),19.43%,35.25%
Dividend Per Share,5.97%,9.86%,6.41%,4.82%,5.88%
Payout Ratio,(1.16%),(41.16%),77.38%,(28.55%),(44.99%)
EBITDA,7.91%,6.71%,(3.02%),4.53%,13.63%
EBITA,10.72%,8.81%,(0.14%),5.42%,14.42%
EBIT,10.00%,12.06%,(4.25%),10.91%,23.02%
EBITDAR,8.63%,,,3.96%,
Effective Tax Rate,147.14%,,,(34.27%),(24.43%)
Normalized Net Income,14.69%,13.72%,(3.82%),18.83%,34.15%
R&D Expense From Footnotes,0.15%,1.42%,2.88%,(2.15%),3.17%
Foreign Sales,3.67%,4.15%,(4.61%),7.49%,
