Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Interest Income On Loans,454.1,470.5,515.8,568.1,545.7,531.4
Total Interest Income,536.8,548.9,607.1,671.5,621.3,591.4
Interest On Deposits,52.5,52.0,72.5,122.2,100.3,65.0
Total Interest On Borrowings,64.1,65.0,62.5,68.2,51.4,49.6
Total Interest Expense,116.5,117.0,134.9,190.4,151.8,114.6
Net Interest Income,420.2,431.9,472.1,481.1,469.5,476.8
Service Charges On Deposits,21.7,22.6,25.9,24.9,23.7,23.3
Gain (Loss) on Sale of Assets,3.8,,,10.2,30.7,0.0
Gain (Loss) on Sale of Invest. & Securities,,3.5,,(0.0),15.0,0.0
Total Other Non Interest Income,21.5,26.1,18.2,27.2,31.4,43.2
Total Non Interest Income,47.0,52.2,44.1,62.3,100.8,66.5
Revenue Before Loan Losses,467.3,484.1,516.2,543.4,570.3,543.2
Provision For Loan Losses,(6.3),(2.1),(5.5),(1.7),21.8,20.3
Total Revenues,473.5,486.2,521.7,545.0,548.5,522.9
Salaries And Other Employee Benefits,109.3,106.3,118.8,128.3,141.1,152.2
Total Selling General & Admin Expenses,68.1,70.0,75.9,82.8,93.0,91.9
Total Other Non Interest Expense,46.2,43.7,58.1,62.1,64.6,59.5
Total Non Interest Expense,225.4,230.0,264.4,282.3,309.6,316.2
"EBT, Excl. Unusual Items",248.1,256.2,257.2,262.8,238.9,206.7
Asset Writedown,,,,,(5.9),0.0
Other Unusual Items,,,,,(13.8),(13.8)
"EBT, Incl. Unusual Items",248.1,256.2,257.2,262.8,219.2,193.0
Income Tax Expense,84.1,82.7,53.4,52.5,45.7,40.0
Earnings From Continuing Operations,164.0,173.5,203.9,210.3,173.4,153.0
Net Income to Company,164.0,173.5,203.9,210.3,173.4,153.0
Net Income,164.0,173.5,203.9,210.3,173.4,153.0
Net Income to Common Incl Extra Items,164.0,173.5,203.9,210.3,173.4,150.3
Net Income to Common Excl. Extra Items,164.0,173.5,203.9,210.3,173.4,150.3
Revenue Per Share,$5.18,$5.47,$6.14,$6.77,$7.15,$6.91
Basic EPS,$1.79,$1.95,$2.40,$2.61,$2.26,$1.99
Basic EPS - Continuing Ops,$1.79,$1.95,$2.40,$2.61,$2.26,$1.99
Basic Weighted Average Shares Outst.,91.4,88.9,85.0,80.5,76.7,75.6
Diluted EPS,$1.78,$1.94,$2.40,$2.61,$2.26,$1.98
Diluted EPS - Continuing Ops,$1.78,$1.94,$2.40,$2.61,$2.26,$1.98
Diluted Weighted Average Shares Outst.,91.9,89.2,85.1,80.5,76.7,75.6
Normalized Basic EPS,$1.70,$1.80,$1.89,$2.04,$1.95,$1.71
Normalized Diluted EPS,$1.69,$1.79,$1.89,$2.04,$1.95,$1.71
Dividend Per Share,$0.56,$0.60,$0.70,$0.82,$0.88,$0.90
Payout Ratio,30.43%,42.94%,27.47%,30.11%,38.34%,43.81%
Effective Tax Rate,33.9%,32.3%,20.8%,20.0%,20.9%,20.7%
Normalized Net Income,155.1,160.1,160.8,164.2,149.3,129.2
Interest on Long-Term Debt,64.1,65.0,62.5,68.2,51.4,
