Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2521.7,2746.0,2757.1,2767.0,2895.4,2996.0
Total Revenues,2521.7,2746.0,2757.1,2767.0,2895.4,2996.0
Cost Of Revenues,1859.9,2064.2,2070.6,2084.3,2123.1,2205.5
Gross Profit,661.8,681.8,686.6,682.7,772.3,790.6
Selling General & Admin Expenses,400.8,406.3,408.4,437.4,477.8,485.8
R&D Expenses,8.3,11.6,11.5,13.9,21.4,21.4
Total Operating Expenses,409.1,417.9,419.9,451.3,499.2,507.2
Operating Income,252.7,263.8,266.7,231.4,273.1,283.4
Interest Expense,(44.4),(44.6),(44.2),(40.2),(41.1),(41.1)
Interest And Investment Income,3.1,4.7,4.7,3.9,2.4,1.6
Net Interest Expenses,(41.3),(39.9),(39.6),(36.2),(38.7),(39.4)
Currency Exchange Gains (Loss),,,0.8,1.0,0.2,(0.2)
Other Non Operating Income (Expenses),2.2,(1.9),(0.6),0.7,(4.4),(2.4)
"EBT, Excl. Unusual Items",213.6,222.0,227.4,196.9,229.1,240.2
"EBT, Incl. Unusual Items",220.5,228.5,153.3,199.9,191.8,205.1
Income Tax Expense,42.1,106.1,45.6,47.8,49.6,50.6
Earnings From Continuing Operations,178.4,122.3,107.7,152.1,142.1,154.4
Net Income to Company,178.4,122.3,107.7,152.1,142.1,154.4
Minority Interest,(5.2),(6.1),(6.0),(5.7),(1.5),(1.7)
Net Income,173.2,116.2,101.8,146.4,140.7,152.8
NI to Common Incl Extra Items,173.2,116.2,101.8,146.4,140.7,152.8
NI to Common Excl. Extra Items,173.2,116.2,101.8,146.4,140.7,152.8
Revenue Per Share,$111.77,$121.93,$123.61,$127.75,$135.84,$141.01
Basic EPS,$7.68,$5.16,$4.56,$6.76,$6.60,$7.19
Basic EPS - Continuing Ops,$7.68,$5.16,$4.56,$6.76,$6.60,$7.19
Basic Weighted Average Shares Outst.,22.6,22.5,22.3,21.7,21.3,21.2
Diluted EPS,$7.63,$5.11,$4.53,$6.73,$6.57,$7.15
Diluted EPS - Continuing Ops,$7.63,$5.11,$4.53,$6.73,$6.57,$7.15
Diluted Weighted Average Shares Outst.,22.7,22.7,22.4,21.8,21.4,21.4
Normalized Basic EPS,$5.69,$5.89,$6.10,$5.42,$6.65,$6.99
Normalized Diluted EPS,$5.65,$5.83,$6.07,$5.39,$6.62,$6.94
Dividend Per Share,$1.50,$1.50,$1.50,$1.50,$1.80,$1.85
Payout Ratio,19.66%,29.13%,33.14%,22.30%,26.25%,25.14%
EBITDA,335.1,348.8,349.5,313.7,355.9,366.9
EBITA,268.6,279.7,282.0,249.5,291.2,301.2
EBIT,252.7,263.8,266.7,231.4,273.1,283.4
EBITDAR,359.8,,,337.8,379.9,
Effective Tax Rate,19.1%,46.5%,29.7%,23.9%,25.9%,24.7%
Normalized Net Income,128.3,132.7,136.1,117.4,141.7,148.5
R&D Expense From Footnotes,8.3,11.6,11.5,13.9,21.4,21.4
Foreign Sales,986.4,1043.1,985.8,894.1,976.2,
