Income Statement,Apr 2016,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,908.8,886.1,903.9,967.6,988.5,883.9
Total Revenues,908.8,886.1,903.9,967.6,988.5,883.9
Cost Of Revenues,502.9,507.6,491.3,527.6,500.7,451.3
Gross Profit,405.9,378.5,412.6,440.0,487.8,432.7
Selling General & Admin Expenses,317.2,301.7,277.8,286.7,284.0,270.7
R&D Expenses,45.0,37.6,34.6,35.0,30.0,30.7
Total Operating Expenses,362.2,339.3,312.3,321.7,314.0,301.4
Operating Income,43.7,39.2,100.3,118.3,173.8,131.3
Interest Expense,(8.5),(7.9),(7.7),(12.6),(13.5),(6.7)
Interest And Investment Income,,,3.2,2.7,,
Net Interest Expenses,(8.5),(7.9),(4.5),(9.9),(13.5),(6.7)
Currency Exchange Gains (Loss),,,,,3.3,(1.9)
Other Non Operating Income (Expenses),(1.0),(0.2),,,(6.0),(6.0)
"EBT, Excl. Unusual Items",34.3,31.1,95.8,108.4,157.6,116.6
"EBT, Incl. Unusual Items",(53.4),(27.5),59.6,73.6,87.2,122.3
Income Tax Expense,2.2,(1.2),14.1,18.6,10.6,14.1
Earnings From Continuing Operations,(55.6),(26.3),45.6,55.0,76.5,108.1
Net Income to Company,(55.6),(26.3),45.6,55.0,76.5,108.1
Net Income,(55.6),(26.3),45.6,55.0,76.5,108.1
NI to Common Incl Extra Items,(55.6),(26.3),45.6,55.0,76.5,108.1
NI to Common Excl. Extra Items,(55.6),(26.3),45.6,55.0,76.5,108.1
Revenue Per Share,$17.85,$17.20,$17.13,$18.78,$19.50,$17.48
Basic EPS,($1.09),($0.51),$0.86,$1.07,$1.51,$2.14
Basic EPS - Continuing Ops,($1.09),($0.51),$0.86,$1.07,$1.51,$2.14
Basic Weighted Average Shares Outst.,50.9,51.5,52.8,51.5,50.7,50.6
Diluted EPS,($1.09),($0.51),$0.85,$1.04,$1.48,$2.12
Diluted EPS - Continuing Ops,($1.09),($0.51),$0.85,$1.04,$1.48,$2.12
Diluted Weighted Average Shares Outst.,50.9,51.5,53.5,52.9,51.8,51.2
Normalized Basic EPS,$0.42,$0.38,$1.13,$1.32,$1.94,$1.44
Normalized Diluted EPS,$0.42,$0.38,$1.12,$1.28,$1.90,$1.42
EBITDA,128.7,123.2,189.5,209.8,266.0,219.7
EBITA,72.7,66.7,132.2,150.9,208.0,172.0
EBIT,43.7,39.2,100.3,118.3,173.8,131.3
EBITDAR,135.5,129.4,,,274.3,
Effective Tax Rate,NM,NM,23.6%,25.3%,12.2%,11.6%
Normalized Net Income,21.4,19.4,59.8,67.8,98.5,72.9
Interest on Long-Term Debt,8.5,7.9,7.7,12.6,13.5,
R&D Expense From Footnotes,55.9,47.3,39.2,35.7,30.9,31.0
Foreign Sales,389.4,363.4,355.2,360.7,342.3,
