Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Other Revenue,815.9,819.6,816.1,711.6,859.2,791.5
Total Revenues,815.9,819.6,816.1,711.6,859.2,791.5
Property Expenses,526.4,568.3,605.3,558.4,697.2,639.1
Selling General & Admin Exp.,42.8,40.2,42.0,41.6,50.6,54.6
Other Operating Expenses,(7.5),(1.0),(0.3),2.1,1.3,0.3
Total Operating Expenses,561.7,607.5,646.9,602.1,749.1,694.0
Operating Income,254.2,212.1,169.2,109.5,110.0,97.4
Total Interest Expense,(33.5),(32.5),(32.1),(31.7),(38.8),(40.3)
Interest and Investment Income,,3.1,2.3,5.9,0.7,0.7
Net Interest Expenses,(33.5),(29.4),(29.7),(25.8),(38.0),(39.5)
Other Non Operating Income,2.5,(0.0),(0.2),(0.1),0.6,0.6
"EBT, Excl. Unusual Items",224.1,185.8,141.9,80.6,69.0,54.9
Gain (Loss) on Sale of Assets,0.1,(0.1),0.7,0.1,0.1,0.1
Asset Writedown,,,,,(15.2),(15.2)
Other Unusual Items,,0.4,,,,
"EBT, Incl. Unusual Items",222.8,186.1,142.6,80.6,36.8,25.2
Income Tax Expense,5.1,21.7,25.2,12.9,7.0,6.8
Earnings From Continuing Operations,217.8,164.5,117.3,67.7,29.8,18.4
Net Income to Company,217.8,164.5,117.3,67.7,29.8,18.4
Minority Interest,(5.8),(12.7),(15.1),(8.6),7.3,3.6
Net Income,212.0,151.7,102.2,59.1,37.1,22.0
NI to Common Incl Extra Items,212.0,151.7,102.2,59.1,37.1,22.0
NI to Common Excl. Extra Items,212.0,151.7,102.2,59.1,37.1,22.0
Revenue Per Share,$6.66,$6.43,$6.32,$5.50,$6.42,$5.82
Basic EPS,$1.73,$1.19,$0.79,$0.46,$0.28,$0.16
Basic EPS - Continuing Ops,$1.73,$1.19,$0.79,$0.46,$0.28,$0.16
Basic Weighted Average Shares Outst.,122.6,127.4,129.0,129.3,133.9,136.0
Diluted EPS,$1.73,$1.19,$0.79,$0.46,$0.27,$0.16
Diluted EPS - Continuing Ops,$1.73,$1.19,$0.79,$0.46,$0.27,$0.16
Diluted Weighted Average Shares Outst.,122.8,127.8,129.7,129.6,136.9,140.2
Normalized Basic EPS,$1.10,$0.81,$0.57,$0.32,$0.38,$0.28
Normalized Diluted EPS,$1.09,$0.81,$0.57,$0.32,$0.37,$0.27
Dividend Per Share,$1.00,$1.00,$1.06,$1.08,$1.08,$1.08
Payout Ratio,57.95%,26.98%,133.81%,238.68%,394.64%,677.53%
Funds Available for Distribution,144.3,200.9,240.1,149.4,162.4,
EBITDA,369.4,339.7,313.4,237.7,275.0,273.3
EBITA,254.2,212.1,169.2,109.5,110.0,97.4
EBIT,254.2,212.1,169.2,109.5,110.0,97.4
EBITDAR,382.1,,,248.8,284.9,
Effective Tax Rate,2.3%,11.6%,17.7%,16.1%,19.0%,27.0%
Normalized Net Income,134.2,103.4,73.6,41.8,50.5,37.9
Interest Capitalized,,,,,0.4,
Foreign Earnings,35.1,77.0,86.7,48.1,29.5,
Foreign Sales,287.6,400.2,425.7,357.2,291.2,
