Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,15.48%,30.52%,20.44%,14.50%,12.99%
Total Interest Income,8.97%,25.06%,16.46%,14.81%,14.71%
Interest On Deposits,(8.74%),9.33%,26.80%,(24.31%),(36.00%)
Total Interest On Borrowings,16.40%,31.37%,13.52%,(50.26%),(49.50%)
Total Interest Expense,0.79%,18.98%,20.38%,(36.14%),(41.64%)
Net Interest Income,9.74%,25.58%,16.13%,19.14%,19.07%
Gain (Loss) on Sale of Assets,,,,,(100.00%)
Gain (Loss) on Sale of Invest. & Securities,-54.89%,(616.82%),,,
Total Other Non Interest Income,9.69%,12.54%,(11.32%),(15.09%),(10.30%)
Total Non Interest Income,4.59%,2.64%,9.75%,32.86%,34.02%
Revenue Before Loan Losses,8.43%,19.96%,14.79%,21.89%,22.04%
Provision For Loan Losses,363.95%,(8.05%),(99.43%),"69,663.16%",7.52%
Total Revenues,6.45%,20.63%,16.90%,15.59%,22.48%
Salaries And Other Employee Benefits,5.32%,22.08%,11.59%,16.39%,14.01%
Amort. of Goodwill & Intang. Assets,(16.03%),151.40%,35.33%,22.22%,10.74%
Occupancy Expense,17.99%,15.41%,(5.29%),7.41%,6.74%
Total Selling General & Admin Expenses,(8.44%),12.48%,24.93%,12.54%,6.50%
Total Other Non Interest Expense,(2.28%),(4.08%),47.95%,(16.19%),(15.08%)
Total Non Interest Expense,2.51%,17.63%,15.10%,9.93%,8.12%
"EBT, Excl. Unusual Items",12.68%,24.95%,19.35%,22.98%,42.06%
"EBT, Incl. Unusual Items",12.57%,22.77%,16.64%,26.56%,49.33%
Income Tax Expense,62.94%,(37.59%),20.63%,26.70%,53.41%
Earnings From Continuing Operations,(3.92%),56.28%,15.76%,26.53%,48.41%
Net Income to Company,(3.92%),56.28%,15.76%,26.53%,48.41%
Net Income,(3.92%),56.28%,15.76%,26.53%,48.41%
Net Income to Common Incl Extra Items,(3.92%),56.28%,15.76%,26.53%,48.41%
Net Income to Common Excl. Extra Items,(3.92%),56.28%,15.76%,26.53%,48.41%
Revenue Per Share,4.72%,11.87%,10.81%,7.45%,16.07%
Basic EPS,(5.60%),45.03%,9.43%,17.47%,40.65%
Basic EPS - Continuing Ops,(5.60%),45.03%,9.43%,17.47%,40.65%
Basic Weighted Average Shares Outst.,1.65%,7.82%,5.56%,7.51%,5.52%
Diluted EPS,(5.66%),44.67%,9.68%,17.97%,41.20%
Diluted EPS - Continuing Ops,(5.66%),44.67%,9.68%,17.97%,41.20%
Diluted Weighted Average Shares Outst.,1.66%,7.82%,5.63%,7.41%,5.42%
Normalized Basic EPS,10.99%,15.58%,13.10%,14.62%,34.63%
Normalized Diluted EPS,10.89%,16.27%,12.93%,14.57%,34.75%
Dividend Per Share,5.00%,20.24%,9.90%,6.31%,5.26%
Payout Ratio,40.18%,(48.77%),38.22%,(12.73%),(23.19%)
Effective Tax Rate,44.73%,(49.16%),3.41%,0.11%,2.73%
Normalized Net Income,12.68%,24.95%,19.35%,22.98%,42.06%
Interest on Long-Term Debt,17.46%,35.64%,10.86%,(26.10%),
