Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,9.47%,6.48%,18.62%,(1.74%),(5.43%)
Total Revenues,9.47%,6.48%,18.62%,(1.74%),(5.43%)
Cost Of Revenues,10.79%,5.52%,17.84%,(0.96%),(4.10%)
Gross Profit,4.35%,10.38%,21.68%,(4.71%),(10.44%)
Selling General & Admin Expenses,1.11%,6.09%,25.33%,2.07%,(4.90%)
Total Operating Expenses,1.11%,6.09%,25.33%,2.07%,(4.90%)
Operating Income,8.31%,15.28%,17.83%,(12.29%),(16.89%)
Interest Expense,-20.29%,-15.14%,(120.59%),(2.93%),-15.74%
Net Interest Expenses,-20.29%,-15.14%,(120.59%),(2.93%),-15.74%
Currency Exchange Gains (Loss),-4.48%,(37.50%),-76.14%,-33.33%,
Other Non Operating Income (Expenses),(86.96%),-39.53%,-50.00%,,650.00%
"EBT, Excl. Unusual Items",18.00%,22.80%,4.61%,(16.40%),(15.01%)
"EBT, Incl. Unusual Items",42.46%,49.68%,(12.52%),(29.18%),(30.98%)
Income Tax Expense,1.05%,9.08%,(3.55%),(10.47%),(6.60%)
Earnings From Continuing Operations,78.94%,69.87%,(15.38%),(35.99%),(38.77%)
Net Income to Company,78.94%,69.87%,(15.38%),(35.99%),(38.77%)
Minority Interest,"(2,650.00%)",(21.82%),(15.42%),-33.19%,-8.13%
Net Income,58.34%,76.56%,(18.34%),(36.37%),(42.45%)
NI to Common Incl Extra Items,58.34%,76.56%,(18.34%),(36.37%),(42.45%)
NI to Common Excl. Extra Items,58.34%,76.56%,(18.34%),(36.37%),(42.45%)
Revenue Per Share,9.43%,6.26%,17.95%,(2.14%),(5.77%)
Basic EPS,57.94%,76.19%,(18.81%),(36.67%),(42.66%)
Basic EPS - Continuing Ops,57.94%,76.19%,(18.81%),(36.67%),(42.66%)
Basic Weighted Average Shares Outst.,0.03%,0.20%,0.57%,0.40%,0.36%
Diluted EPS,57.93%,76.00%,(18.67%),(36.68%),(42.59%)
Diluted EPS - Continuing Ops,57.93%,76.00%,(18.67%),(36.68%),(42.59%)
Diluted Weighted Average Shares Outst.,0.03%,0.30%,0.52%,0.36%,0.23%
Normalized Basic EPS,6.73%,22.53%,2.92%,(14.65%),(16.09%)
Normalized Diluted EPS,6.72%,22.40%,2.86%,(14.66%),(15.97%)
Dividend Per Share,0.00%,2.38%,2.33%,0.00%,0.00%
Payout Ratio,(36.91%),(42.56%),27.34%,57.62%,73.94%
EBITDA,4.22%,12.64%,28.89%,(2.93%),(10.59%)
EBITA,6.86%,15.18%,26.66%,(7.86%),(11.47%)
EBIT,8.31%,15.28%,17.83%,(12.29%),(16.89%)
EBITDAR,2.89%,12.82%,33.45%,(1.76%),
Effective Tax Rate,(29.07%),(27.13%),10.24%,26.42%,35.32%
Normalized Net Income,6.69%,22.91%,3.42%,(14.34%),(15.78%)
Interest Capitalized,34.62%,28.57%,24.44%,(19.64%),
Interest on Long-Term Debt,18.75%,17.54%,16.42%,(14.10%),
Foreign Sales,,,,(5.85%),
