Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,1.78%,(2.05%),(4.33%),1.23%,1.00%
Total Interest And Dividend Income,17.06%,(15.80%),4.34%,(10.30%),18.22%
Gain (Loss) on Sale of Investments,506.02%,600.00%,(91.99%),,
Other Revenues,(4.36%),28.57%,131.72%,(14.18%),(13.11%)
Total Revenues,7.83%,0.38%,(6.90%),(4.85%),10.78%
Policy Benefits,8.88%,(12.45%),6.07%,(10.72%),(6.92%)
Amort. of Goodwill and Intangibles,(5.53%),10.45%,(12.18%),15.51%,41.72%
Other Operating Expenses,5.68%,(3.24%),12.63%,2.73%,5.41%
Total Operating Expenses,4.78%,20.12%,(19.40%),(5.56%),(0.45%)
Operating Income,30.69%,,,0.76%,143.37%
"Interest Expense, Total",(6.27%),(21.10%),(1.67%),-28.56%,-31.24%
"EBT, Excl. Unusual Items",38.73%,,,15.77%,317.74%
Other Unusual Items,,-60.00%,(510.53%),,
"EBT, Incl. Unusual Items",36.04%,,,25.57%,339.90%
Income Tax Expense,,(83.54%),,,
Earnings From Continuing Operations,(50.98%),,,(26.28%),39.83%
Net Income to Company,(50.98%),,,(26.28%),39.83%
Net Income,(50.98%),,,(26.28%),39.83%
NI to Common Incl Extra Items,(50.98%),,,(26.28%),39.83%
NI to Common Excl. Extra Items,(50.98%),,,(26.28%),39.83%
Revenue Per Share,12.03%,3.17%,(1.28%),4.47%,21.20%
Basic EPS,(49.12%),,,(18.93%),52.98%
Basic EPS - Continuing Ops,(49.12%),,,(18.93%),52.98%
Basic Weighted Average Shares Outst.,(3.74%),(2.69%),(5.69%),(8.94%),(8.59%)
Diluted EPS,(49.25%),,,(19.16%),52.31%
Diluted EPS - Continuing Ops,(49.25%),,,(19.16%),52.31%
Diluted Weighted Average Shares Outst.,(3.47%),(3.88%),(5.02%),(8.90%),(7.96%)
Normalized Basic EPS,44.10%,,,27.26%,357.02%
Normalized Diluted EPS,43.47%,,,27.38%,353.88%
Dividend Per Share,12.90%,11.43%,10.26%,9.30%,9.09%
Payout Ratio,121.83%,,,35.45%,
EBITDA,18.06%,(79.41%),296.46%,5.49%,86.21%
EBITA,18.00%,(82.05%),345.33%,5.78%,37.20%
EBIT,30.69%,,,0.76%,143.37%
EBITDAR,17.36%,(73.63%),216.37%,6.03%,
Normalized Net Income,38.73%,,,15.77%,317.74%
Interest on Long-Term Debt,16.11%,22.31%,11.01%,(23.45%),
