Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.36%,16.12%,0.24%,(3.71%),(2.62%)
Total Revenues,5.36%,16.12%,0.24%,(3.71%),(2.62%)
Cost Of Revenues,5.32%,16.27%,(1.30%),(7.75%),(6.04%)
Gross Profit,5.48%,15.68%,4.66%,7.27%,6.56%
Selling General & Admin Expenses,(4.70%),22.78%,(13.37%),23.41%,(7.58%)
Depreciation & Amortization,5.84%,5.75%,8.42%,1.67%,(3.42%)
Other Operating Expense/(Income),(2.57%),(6.53%),14.09%,0.97%,0.34%
Total Operating Expenses,1.27%,5.72%,4.85%,5.56%,(3.34%)
Operating Income,20.47%,45.46%,4.26%,11.00%,30.75%
Interest Expense,-12.96%,(20.15%),(154.32%),-38.50%,-54.37%
Interest And Investment Income,(20.44%),(17.26%),21.52%,(50.87%),(57.20%)
Net Interest Expenses,(32.64%),(96.06%),,-26.84%,-52.47%
Other Non Operating Income (Expenses),(71.73%),(14.63%),-89.89%,(328.95%),-19.60%
"EBT, Excl. Unusual Items",19.66%,44.44%,2.65%,11.59%,32.79%
"EBT, Incl. Unusual Items",13.41%,54.87%,(0.88%),1.26%,25.88%
Income Tax Expense,,,(1.38%),1.19%,28.37%
Earnings From Continuing Operations,156.40%,(17.12%),(0.72%),1.28%,25.08%
Net Income to Company,156.40%,(17.12%),(0.72%),1.28%,25.08%
Net Income,156.40%,(17.12%),(0.72%),1.28%,25.08%
NI to Common Incl Extra Items,156.40%,(17.12%),(0.72%),1.28%,25.08%
NI to Common Excl. Extra Items,156.40%,(17.12%),(0.72%),1.28%,25.08%
Revenue Per Share,5.05%,17.05%,3.31%,(2.94%),(1.71%)
Basic EPS,155.22%,(16.54%),2.12%,2.07%,26.24%
Basic EPS - Continuing Ops,155.22%,(16.54%),2.12%,2.07%,26.24%
Basic Weighted Average Shares Outst.,0.30%,(0.80%),(2.97%),(0.79%),(0.92%)
Diluted EPS,156.88%,(16.79%),2.15%,2.52%,26.78%
Diluted EPS - Continuing Ops,156.88%,(16.79%),2.15%,2.52%,26.78%
Diluted Weighted Average Shares Outst.,0.23%,(0.69%),(2.82%),(0.86%),(1.01%)
Normalized Basic EPS,19.14%,45.77%,6.07%,12.17%,34.03%
Normalized Diluted EPS,19.86%,45.03%,5.37%,12.74%,34.15%
Dividend Per Share,12.50%,25.93%,5.88%,0.00%,2.78%
Payout Ratio,(57.63%),47.80%,9.68%,(2.00%),
EBITDA,11.05%,21.09%,6.49%,5.91%,11.16%
EBITA,20.47%,45.46%,4.26%,11.00%,30.75%
EBIT,20.47%,45.46%,4.26%,11.00%,30.75%
EBITDAR,3.92%,17.85%,(54.26%),5.43%,
Effective Tax Rate,,,(0.49%),(0.07%),1.98%
Normalized Net Income,19.66%,44.44%,2.65%,11.59%,32.79%
Foreign Sales,12.23%,12.04%,(13.00%),(16.19%),
