Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,1616.6,771.5,924.9,1080.0,903.9,921.4
Total Revenues,1616.6,771.5,924.9,1080.0,903.9,921.4
Cost Of Revenues,1129.6,527.5,617.5,689.0,647.1,673.2
Gross Profit,487.1,244.0,307.4,391.0,256.8,248.2
Selling General & Admin Expenses,279.7,145.7,170.3,200.7,211.4,210.7
R&D Expenses,168.8,113.8,127.3,157.9,184.2,204.4
Total Operating Expenses,477.3,262.9,304.8,374.2,410.1,429.6
Operating Income,9.8,(18.9),2.6,16.8,(153.3),(181.4)
Interest Expense,,,(7.3),(26.0),(34.9),(48.5)
Interest And Investment Income,6.1,3.7,9.1,14.0,16.4,9.8
Net Interest Expenses,6.1,3.7,1.8,(12.0),(18.5),(38.7)
Currency Exchange Gains (Loss),(4.5),2.3,1.8,(1.3),1.9,3.5
Other Non Operating Income (Expenses),0.5,(0.6),(0.2),0.3,0.5,(0.1)
"EBT, Excl. Unusual Items",11.9,(13.5),6.0,3.8,(169.4),(216.7)
"EBT, Incl. Unusual Items",(23.5),(7.1),(17.6),(45.2),(190.4),(228.8)
Income Tax Expense,(2.0),81.0,(1.2),12.7,0.2,4.5
Earnings From Continuing Operations,(21.5),(88.1),(16.4),(57.9),(190.6),(233.3)
Earnings Of Discontinued Operations,,(10.0),(263.5),(317.2),,(180.5)
Net Income to Company,(21.5),(98.1),(279.9),(375.1),(190.6),(413.8)
Minority Interest,,,(0.1),,(1.1),(2.0)
Net Income,(21.5),(98.1),(280.0),(375.1),(191.7),(415.8)
NI to Common Incl Extra Items,(21.5),(98.1),(280.0),(375.1),(191.7),(415.8)
NI to Common Excl. Extra Items,(21.5),(88.1),(16.5),(57.9),(191.7),(235.3)
Revenue Per Share,$15.88,$7.83,$9.29,$10.43,$8.37,$8.27
Basic EPS,($0.21),($1.00),($2.81),($3.62),($1.78),($3.73)
Basic EPS - Continuing Ops,($0.21),($0.89),($0.17),($0.56),($1.78),($2.11)
Basic Weighted Average Shares Outst.,101.8,98.5,99.5,103.6,107.9,111.4
Diluted EPS,($0.21),($1.00),($2.82),($3.62),($1.78),($3.74)
Diluted EPS - Continuing Ops,($0.21),($0.89),($0.17),($0.56),($1.78),($2.12)
Diluted Weighted Average Shares Outst.,101.8,98.5,99.5,103.6,107.9,111.4
Normalized Basic EPS,$0.07,($0.09),$0.04,$0.02,($0.99),($1.23)
Normalized Diluted EPS,$0.07,($0.09),$0.04,$0.02,($0.99),($1.23)
EBITDA,148.6,129.4,111.0,133.8,(34.8),(48.0)
EBITA,29.9,(7.5),16.2,36.8,(135.1),(163.0)
EBIT,9.8,(18.9),2.6,16.8,(153.3),(181.4)
EBITDAR,155.2,132.3,,,(28.4),
Effective Tax Rate,NM,NM,NM,NM,NM,NM
Normalized Net Income,7.4,(8.4),3.7,2.4,(107.0),(137.4)
Interest Capitalized,4.2,,,,,
Interest on Long-Term Debt,,,,22.6,33.2,
R&D Expense From Footnotes,189.2,116.0,130.5,163.3,189.6,209.8
Foreign Sales,,570.7,704.7,818.6,691.8,
