Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,2220.0,2350.0,3384.4,4472.4,4672.2,4706.6
Total Interest And Dividend Income,270.7,272.5,303.5,345.3,321.2,317.3
Gain (Loss) on Sale of Investments,(1.5),43.5,(42.4),167.0,90.7,242.6
Other Revenues,32.7,57.4,37.4,19.0,27.0,48.4
Total Revenues,2521.9,2723.4,3682.9,5003.7,5111.1,5314.9
Policy Benefits,1780.8,1837.4,2466.5,3188.3,3323.6,3377.9
Selling General & Admin Expenses,647.3,593.6,829.5,926.2,1006.3,1018.4
Other Operating Expenses,,50.7,71.0,93.5,94.2,94.2
Total Operating Expenses,2427.5,2480.3,3364.3,4204.7,4421.2,4489.1
Operating Income,94.4,243.1,318.6,799.0,689.9,825.8
"Interest Expense, Total",(44.4),(34.9),(43.4),(42.5),(36.0),(39.6)
"EBT, Excl. Unusual Items",0.9,161.1,208.1,665.7,484.0,613.8
Total Merger & Rel. Restruct. Charges,,,(44.7),(18.4),(63.3),(67.8)
Asset Writedown,,,,,,8.0
Legal Settlements,,,35.7,20.1,89.4,0.0
Other Unusual Items,2.6,,,(5.8),,
"EBT, Incl. Unusual Items",3.5,161.1,199.1,661.6,510.1,554.0
Income Tax Expense,(9.2),41.2,10.7,130.5,100.2,84.9
Earnings From Continuing Operations,12.7,119.9,188.4,531.1,409.9,469.1
Earnings Of Discontinued Operations,4.1,1.0,1.7,,,
Net Income to Company,16.8,120.9,190.1,531.1,409.9,469.1
Net Income,16.8,120.9,190.1,531.1,409.9,469.1
Pref. Dividends and Other Adj.,(0.2),0.8,1.0,1.7,0.4,0.4
NI to Common Incl Extra Items,17.0,120.1,189.1,529.4,409.5,468.7
NI to Common Excl. Extra Items,12.9,119.1,187.4,529.4,409.5,468.7
Revenue Per Share,$49.30,$53.04,$63.34,$75.95,$77.87,$81.31
Basic EPS,$0.33,$2.34,$3.25,$8.04,$6.24,$7.17
Basic EPS - Continuing Ops,$0.25,$2.32,$3.22,$8.04,$6.24,$7.17
Basic Weighted Average Shares Outst.,51.2,51.3,58.1,65.9,65.6,65.4
Diluted EPS,$0.33,$2.33,$3.22,$7.96,$6.14,$7.04
Diluted EPS - Continuing Ops,$0.25,$2.31,$3.19,$7.96,$6.14,$7.04
Diluted Weighted Average Shares Outst.,51.2,51.6,58.8,66.5,66.7,66.6
Normalized Basic EPS,$0.01,$1.96,$2.24,$6.32,$4.61,$5.87
Normalized Diluted EPS,$0.01,$1.95,$2.21,$6.25,$4.53,$5.76
Dividend Per Share,$0.96,$0.96,$0.96,$1.03,$1.20,$1.21
Payout Ratio,292.86%,40.94%,29.67%,12.77%,19.25%,17.03%
EBITDA,124.2,272.9,347.2,855.2,740.2,877.7
EBITA,94.4,243.1,331.6,822.4,704.0,838.4
EBIT,94.4,243.1,318.6,799.0,689.9,825.8
EBITDAR,143.8,,,875.9,765.7,
Effective Tax Rate,NM,25.6%,5.4%,19.7%,19.6%,15.3%
Normalized Net Income,0.6,100.7,130.1,416.1,302.5,383.6
Interest on Long-Term Debt,44.4,34.9,43.3,42.5,36.0,
