Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,20572.5,20457.5,20322.5,20205.1,19277.3,20452.8
Other Revenues,1036.5,1077.1,1090.3,1130.6,1112.7,1174.0
Total Revenues,21609.0,21534.6,21412.8,21335.7,20390.0,21626.8
Cost Of Revenues,18295.8,18175.6,18015.5,17812.7,16806.0,17823.2
Gross Profit,3313.2,3359.0,3397.3,3523.0,3584.0,3803.6
Selling General & Admin Expenses,2349.4,2436.2,2509.8,2558.6,2415.1,2462.3
Depreciation & Amortization,143.4,158.6,166.2,180.5,195.0,194.8
Other Operating Expense/(Income),(1.4),(10.2),(7.1),1.7,1.1,1.8
Total Operating Expenses,2491.4,2584.6,2668.9,2740.8,2611.2,2658.9
Operating Income,821.8,774.4,728.4,782.2,972.8,1144.7
Interest Expense,(192.0),(217.2),(249.8),(245.1),(157.5),(139.1)
Interest And Investment Income,1.1,1.0,1.1,0.5,0.3,0.3
Net Interest Expenses,(190.9),(216.2),(248.7),(244.6),(157.2),(138.8)
Other Non Operating Income (Expenses),3.7,9.3,0.2,7.9,12.6,(138.3)
"EBT, Excl. Unusual Items",634.6,567.5,479.9,545.5,828.2,867.6
"EBT, Incl. Unusual Items",702.3,636.5,529.4,612.6,550.1,1138.6
Income Tax Expense,270.6,201.5,133.5,161.8,168.3,285.1
Earnings From Continuing Operations,431.7,435.0,395.9,450.8,381.8,853.5
Earnings Of Discontinued Operations,(1.2),(0.4),0.1,(0.8),(0.2),(0.2)
Net Income to Company,430.5,434.6,396.0,450.0,381.6,853.3
Net Income,430.5,434.6,396.0,450.0,381.6,853.3
NI to Common Incl Extra Items,430.5,434.6,396.0,450.0,381.6,853.3
NI to Common Excl. Extra Items,431.7,435.0,395.9,450.8,381.8,853.5
Revenue Per Share,$209.59,$220.19,$235.56,$236.80,$230.92,$249.80
Basic EPS,$4.18,$4.44,$4.36,$4.99,$4.32,$9.86
Basic EPS - Continuing Ops,$4.19,$4.45,$4.36,$5.00,$4.32,$9.86
Basic Weighted Average Shares Outst.,103.1,97.8,90.9,90.1,88.3,86.6
Diluted EPS,$4.15,$4.43,$4.34,$4.97,$4.30,$9.78
Diluted EPS - Continuing Ops,$4.16,$4.43,$4.34,$4.98,$4.30,$9.78
Diluted Weighted Average Shares Outst.,103.8,98.2,91.3,90.5,88.7,87.2
Normalized Basic EPS,$3.85,$3.63,$3.30,$3.78,$5.86,$6.26
Normalized Diluted EPS,$3.82,$3.61,$3.29,$3.77,$5.84,$6.22
EBITDA,965.2,933.0,894.6,962.7,1167.8,1339.5
EBITA,821.8,774.4,728.4,782.2,972.8,1144.7
EBIT,821.8,774.4,728.4,782.2,972.8,1144.7
EBITDAR,1018.0,989.3,960.8,1038.2,1240.6,
Effective Tax Rate,38.5%,31.7%,25.2%,26.4%,30.6%,25.0%
Normalized Net Income,396.6,354.7,299.9,340.9,517.6,542.3
Interest Capitalized,0.5,1.0,1.4,1.3,0.6,
Interest on Long-Term Debt,,,,10.1,7.5,
