Income Statement,Nov 2016,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,14061.8,16771.1,19767.9,23757.3,24675.6,25533.6
Total Revenues,14061.8,16771.1,19767.9,23757.3,24675.6,25533.6
Cost Of Revenues,12778.9,15221.8,17841.0,20859.4,21752.0,22560.5
Gross Profit,1283.0,1549.3,1926.9,2897.9,2923.6,2973.1
Selling General & Admin Expenses,838.7,1042.0,1376.2,2005.9,1930.8,1939.2
Total Operating Expenses,893.0,1042.0,1376.2,2005.9,1930.8,1939.2
Operating Income,390.0,507.3,550.7,892.0,992.8,1033.8
Interest Expense,(20.8),(36.0),(72.4),(151.0),(110.9),(114.4)
Net Interest Expenses,(20.8),(36.0),(72.4),(151.0),(110.9),(114.4)
Currency Exchange Gains (Loss),(1.6),(2.2),(6.6),13.5,25.2,22.0
Other Non Operating Income (Expenses),(6.2),(6.1),(15.2),(24.4),(47.0),(44.9)
"EBT, Excl. Unusual Items",361.5,463.1,456.6,730.1,860.1,896.6
"EBT, Incl. Unusual Items",356.1,463.1,456.6,677.7,704.0,740.8
Income Tax Expense,121.1,162.9,156.6,177.0,174.9,192.4
Earnings From Continuing Operations,235.0,300.2,300.0,500.7,529.2,548.5
Earnings Of Discontinued Operations,,,,,,(54.1)
Net Income to Company,235.0,300.2,300.0,500.7,529.2,494.4
Minority Interest,(0.1),,,,,
Net Income,234.9,300.2,300.0,500.7,529.2,494.4
Preferred Dividend and Other Adjustments,2.4,2.8,2.7,4.6,5.9,5.3
NI to Common Incl Extra Items,232.5,297.5,297.3,496.1,523.3,489.1
NI to Common Excl. Extra Items,232.5,297.5,297.3,496.1,523.3,543.2
Revenue Per Share,$357.62,$423.98,$479.63,$468.87,$484.79,$500.83
Basic EPS,$5.91,$7.52,$7.21,$9.79,$10.28,$9.59
Basic EPS - Continuing Ops,$5.91,$7.52,$7.21,$9.79,$10.28,$10.65
Basic Weighted Average Shares Outst.,39.3,39.6,41.2,50.7,50.9,51.0
Diluted EPS,$5.88,$7.48,$7.17,$9.74,$10.21,$9.52
Diluted EPS - Continuing Ops,$5.88,$7.48,$7.17,$9.74,$10.21,$10.57
Diluted Weighted Average Shares Outst.,39.5,39.8,41.5,50.9,51.2,51.3
Normalized Basic EPS,$5.74,$7.32,$6.92,$9.01,$10.56,$10.99
Normalized Diluted EPS,$5.71,$7.28,$6.88,$8.96,$10.49,$10.92
Dividend Per Share,$0.85,$1.05,$1.40,$1.50,$0.40,$0.20
Payout Ratio,14.35%,13.93%,19.91%,15.30%,3.93%,2.09%
EBITDA,511.3,667.2,776.0,1264.1,1334.5,1306.2
EBITA,445.5,586.5,675.0,1102.5,1180.3,1220.4
EBIT,390.0,507.3,550.7,892.0,992.8,1033.8
EBITDAR,616.6,782.7,912.8,1521.9,1636.7,
Effective Tax Rate,34.0%,35.2%,34.3%,26.1%,24.8%,26.0%
Normalized Net Income,225.9,289.4,285.4,456.3,537.6,560.4
Foreign Sales,3745.6,4481.1,5598.3,7996.5,8391.6,
