Income Statement,Aug 2016,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,3291.3,3505.1,3680.1,3672.7,3326.3,3236.0
Total Revenues,3291.3,3505.1,3680.1,3672.7,3326.3,3236.0
Cost Of Revenues,1852.3,2022.4,2194.7,2190.9,1922.7,1864.2
Gross Profit,1439.0,1482.7,1485.4,1481.8,1403.6,1371.8
Selling General & Admin Expenses,864.4,871.0,961.2,912.8,906.6,871.2
R&D Expenses,47.1,52.0,63.9,74.7,82.0,82.0
Total Operating Expenses,932.9,951.0,1025.1,1018.3,1030.3,995.1
Operating Income,506.1,531.7,460.3,463.5,373.3,376.7
Interest Expense,(33.3),(34.1),(35.5),(36.4),(26.4),(22.6)
Interest And Investment Income,1.1,1.6,2.0,3.1,3.1,1.8
Net Interest Expenses,(32.2),(32.5),(33.5),(33.3),(23.3),(20.8)
Currency Exchange Gains (Loss),0.8,(0.5),0.1,0.6,(5.9),(5.9)
Other Non Operating Income (Expenses),0.8,(0.4),(0.8),(0.7),4.5,5.4
"EBT, Excl. Unusual Items",475.5,498.3,426.1,430.1,348.6,355.4
"EBT, Incl. Unusual Items",444.6,492.6,425.9,424.9,324.7,337.5
Income Tax Expense,153.8,170.9,76.3,94.5,76.4,80.9
Earnings From Continuing Operations,290.8,321.7,349.6,330.4,248.3,256.6
Net Income to Company,290.8,321.7,349.6,330.4,248.3,256.6
Net Income,290.8,321.7,349.6,330.4,248.3,256.6
Preferred Dividend and Other Adjustments,0.4,,,,,
NI to Common Incl Extra Items,290.4,321.7,349.6,330.4,248.3,256.6
NI to Common Excl. Extra Items,290.4,321.7,349.6,330.4,248.3,256.6
Revenue Per Share,$75.66,$81.32,$89.98,$92.51,$84.21,$84.71
Basic EPS,$6.68,$7.46,$8.55,$8.32,$6.29,$6.72
Basic EPS - Continuing Ops,$6.68,$7.46,$8.55,$8.32,$6.29,$6.72
Basic Weighted Average Shares Outst.,43.5,43.1,40.9,39.7,39.5,38.2
Diluted EPS,$6.63,$7.43,$8.52,$8.29,$6.27,$6.69
Diluted EPS - Continuing Ops,$6.63,$7.43,$8.52,$8.29,$6.27,$6.69
Diluted Weighted Average Shares Outst.,43.8,43.3,41.0,39.8,39.6,38.3
Normalized Basic EPS,$6.83,$7.23,$6.51,$6.77,$5.52,$5.81
Normalized Diluted EPS,$6.79,$7.19,$6.50,$6.75,$5.50,$5.80
Dividend Per Share,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52
Payout Ratio,7.87%,7.06%,6.12%,6.30%,8.38%,7.83%
EBITDA,568.7,606.3,540.6,551.8,474.4,478.0
EBITA,527.5,559.7,488.8,494.3,415.0,418.6
EBIT,506.1,531.7,460.3,463.5,373.3,376.7
EBITDAR,586.3,626.3,562.9,574.4,497.6,
Effective Tax Rate,34.6%,34.7%,17.9%,22.2%,23.5%,24.0%
Normalized Net Income,297.2,311.4,266.3,268.8,217.9,222.1
Interest on Long-Term Debt,33.3,34.1,35.5,36.4,26.4,
R&D Expense From Footnotes,47.1,52.0,63.9,74.7,82.0,82.0
Foreign Earnings,17.6,24.2,41.8,43.6,53.3,
Foreign Sales,363.0,382.0,387.5,395.3,401.3,
