Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,4813.6,4958.2,5321.6,5564.6,5507.0,5820.9
Total Revenues,4813.6,4958.2,5321.6,5564.6,5507.0,5820.9
Cost Of Revenues,2726.6,2792.5,3267.4,3464.1,3393.8,3544.9
Gross Profit,2087.0,2165.7,2054.2,2100.4,2113.2,2276.0
Selling General & Admin Expenses,1474.0,1643.5,1498.5,1567.6,1540.4,1556.1
R&D Expenses,61.5,,,,,
Other Operating Expense/(Income),,2.7,0.4,(0.1),5.2,5.1
Total Operating Expenses,1535.5,1646.2,1498.9,1567.5,1545.6,1561.2
Operating Income,551.6,519.5,555.4,532.9,567.5,714.8
Interest Expense,(91.7),(97.0),(104.5),(102.4),(101.0),(86.3)
Interest And Investment Income,10.4,14.0,20.4,0.7,9.7,33.1
Net Interest Expenses,(81.3),(83.0),(84.1),(101.7),(91.3),(53.2)
Other Non Operating Income (Expenses),(2.0),,,,,
"EBT, Excl. Unusual Items",470.3,437.5,472.3,431.6,476.4,662.3
"EBT, Incl. Unusual Items",483.5,244.3,417.0,339.8,407.8,611.0
Income Tax Expense,126.0,59.7,77.8,72.2,102.7,154.7
Earnings From Continuing Operations,357.5,184.7,339.3,267.7,305.1,456.3
Net Income to Company,357.5,184.7,339.3,267.7,305.1,456.3
Minority Interest,(2.7),(2.8),(1.5),(1.1),(0.7),(0.5)
Net Income,354.7,181.8,337.8,266.6,304.4,455.8
Preferred Dividend and Other Adjustments,5.8,2.8,3.9,1.5,2.0,3.5
NI to Common Incl Extra Items,349.0,179.0,333.9,265.0,302.4,452.3
NI to Common Excl. Extra Items,349.0,179.0,333.9,265.0,302.4,452.3
Revenue Per Share,$37.20,$37.95,$40.57,$42.62,$42.87,$45.34
Basic EPS,$2.70,$1.37,$2.55,$2.03,$2.35,$3.52
Basic EPS - Continuing Ops,$2.70,$1.37,$2.55,$2.03,$2.35,$3.52
Basic Weighted Average Shares Outst.,129.4,130.7,131.2,130.6,128.5,128.4
Diluted EPS,$2.63,$1.36,$2.50,$2.01,$2.34,$3.50
Diluted EPS - Continuing Ops,$2.63,$1.36,$2.50,$2.01,$2.34,$3.50
Diluted Weighted Average Shares Outst.,136.7,135.2,137.2,134.3,130.0,129.8
Normalized Basic EPS,$2.25,$2.07,$2.24,$2.06,$2.31,$3.22
Normalized Diluted EPS,$2.13,$2.00,$2.14,$2.00,$2.29,$3.18
Dividend Per Share,$1.09,$1.18,$1.26,$1.37,$1.43,$1.48
Payout Ratio,40.69%,86.21%,49.58%,68.06%,60.81%,42.07%
EBITDA,662.6,636.3,683.9,674.7,724.4,867.3
EBITA,595.9,564.4,598.6,578.0,613.1,760.4
EBIT,551.6,519.5,555.4,532.9,567.5,714.8
EBITDAR,720.1,697.6,748.2,739.6,798.1,
Effective Tax Rate,26.1%,24.4%,18.7%,21.2%,25.2%,25.3%
Normalized Net Income,291.2,270.6,293.7,268.6,297.1,413.4
Interest on Long-Term Debt,91.7,97.0,104.5,102.4,101.0,
R&D Expense From Footnotes,61.5,64.9,69.7,71.6,76.5,76.5
Foreign Sales,1657.8,1688.8,1889.6,1888.0,1718.8,
