Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,10.01%,2.26%,29.70%,11.65%,(1.00%)
Total Revenues,10.01%,2.26%,29.70%,11.65%,(1.00%)
Cost Of Revenues,6.57%,6.85%,37.20%,4.68%,(1.36%)
Gross Profit,17.84%,(7.16%),11.97%,31.86%,(0.14%)
Selling General & Admin Expenses,11.77%,15.58%,20.90%,12.26%,0.64%
R&D Expenses,67.97%,29.85%,(26.91%),6.01%,(11.51%)
Total Operating Expenses,20.90%,19.43%,5.77%,10.44%,(2.15%)
Operating Income,(11.33%),,-26.11%,,42.87%
Interest Expense,-53.07%,-66.68%,"(1,142.18%)",-22.73%,-9.72%
Interest And Investment Income,(54.72%),(4.76%),(84.48%),"1,006.04%",(61.46%)
Net Interest Expenses,-52.92%,-72.32%,"(1,526.26%)",-25.81%,-7.59%
"EBT, Excl. Unusual Items",44.25%,,(23.27%),,
"EBT, Incl. Unusual Items",44.25%,,(3.86%),,"4,103.30%"
Income Tax Expense,,,(16.46%),-80.70%,
Earnings From Continuing Operations,(0.01%),,-2.65%,,(47.32%)
Net Income to Company,(0.01%),,-2.65%,,(47.32%)
Minority Interest,,(51.50%),,"(1,115.34%)",-29.19%
Net Income,9.32%,,(0.47%),-99.69%,
NI to Common Incl Extra Items,9.32%,,(0.47%),-99.69%,
NI to Common Excl. Extra Items,9.32%,,(0.47%),-99.69%,
Revenue Per Share,1.90%,(8.43%),26.44%,8.60%,(6.54%)
Basic EPS,0.95%,,-1.90%,-99.70%,
Basic EPS - Continuing Ops,0.95%,,-1.90%,-99.70%,
Basic Weighted Average Shares Outst.,7.95%,11.70%,2.57%,2.82%,5.94%
Diluted EPS,2.27%,,-1.74%,-99.70%,
Diluted EPS - Continuing Ops,2.27%,,-1.74%,-99.70%,
Diluted Weighted Average Shares Outst.,7.99%,9.44%,2.57%,2.82%,5.94%
Normalized Basic EPS,48.46%,,(24.30%),-86.25%,-75.62%
Normalized Diluted EPS,52.08%,,(24.30%),-86.25%,-75.62%
EBITDA,(0.44%),(47.59%),56.22%,60.12%,15.54%
EBITA,(15.05%),,-27.40%,,24.56%
EBIT,(11.33%),,-26.11%,,42.87%
EBITDAR,1.86%,,,55.69%,
Effective Tax Rate,,138.80%,,,
Normalized Net Income,62.87%,,(27.37%),-85.84%,-74.18%
Interest Capitalized,65.12%,18.51%,(32.94%),36.96%,
Interest on Long-Term Debt,10.63%,,,,
R&D Expense From Footnotes,48.24%,23.87%,(15.88%),8.58%,(4.04%)
Foreign Sales,(1.17%),(7.81%),21.35%,8.55%,
