Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,82.26%,1.78%,35.68%,14.81%,3.39%
Other Revenue,325.10%,(71.75%),(7.31%),(35.59%),(43.97%)
Total Revenues,90.27%,(5.04%),37.49%,11.67%,1.55%
Property Expenses,69.11%,0.64%,34.69%,12.92%,2.41%
Selling General & Admin Exp.,7.55%,(19.92%),67.91%,(26.95%),(9.88%)
Depreciation & Amortization,100.87%,(7.81%),41.77%,12.25%,1.77%
Other Operating Expenses,8.22%,7.23%,5.87%,(60.54%),(60.28%)
Total Operating Expenses,75.08%,(4.99%),39.82%,9.19%,1.01%
Operating Income,164.02%,(5.19%),29.99%,20.30%,3.35%
Total Interest Expense,(25.79%),(17.62%),(36.86%),(12.31%),(4.85%)
Net Interest Expenses,(25.79%),(17.62%),(36.86%),(12.31%),(4.85%)
Other Non Operating Income,-69.50%,-69.04%,(99.46%),(88.55%),(41.47%)
"EBT, Excl. Unusual Items",537.96%,(12.73%),25.89%,24.06%,2.01%
Gain (Loss) on Sale of Assets,72.55%,(95.91%),"1,937.17%",(18.63%),
Other Unusual Items,,(99.65%),,,0.00%
"EBT, Incl. Unusual Items",260.94%,(63.28%),89.05%,55.95%,(68.45%)
Earnings From Continuing Operations,260.94%,(63.28%),89.05%,55.95%,(68.45%)
Net Income to Company,174.59%,(63.28%),89.05%,55.95%,(68.45%)
Minority Interest,(270.25%),-56.54%,(41.47%),-63.09%,-65.89%
Net Income,173.39%,(63.40%),90.01%,57.75%,(68.47%)
NI to Common Incl Extra Items,173.39%,(63.40%),90.01%,57.75%,(68.47%)
NI to Common Excl. Extra Items,260.78%,(63.40%),90.01%,57.75%,(68.47%)
Revenue Per Share,16.24%,(6.10%),12.79%,(3.49%),(5.25%)
Basic EPS,66.52%,(63.78%),56.61%,36.77%,(70.58%)
Basic EPS - Continuing Ops,121.44%,(63.78%),56.61%,36.77%,(70.58%)
Basic Weighted Average Shares Outst.,63.69%,1.13%,21.87%,15.79%,7.17%
Diluted EPS,66.28%,(63.78%),56.48%,36.62%,(70.42%)
Diluted EPS - Continuing Ops,121.12%,(63.78%),56.48%,36.62%,(70.42%)
Diluted Weighted Average Shares Outst.,65.34%,0.99%,21.49%,14.48%,6.01%
Normalized Basic EPS,303.07%,(9.84%),3.51%,8.93%,(2.92%)
Normalized Diluted EPS,295.75%,(9.46%),2.09%,11.13%,(1.86%)
Dividend Per Share,0.00%,(13.33%),11.54%,3.45%,3.42%
Payout Ratio,(28.26%),195.32%,(29.80%),(21.83%),257.44%
FFO,,,,25.69%,12.74%
FFO Payout Ratio %,,,,(1.88%),(0.03%)
AFFO,,,,25.69%,
Funds Available for Distribution,,,,25.69%,
FFO Per Share (Basic),,,,8.44%,5.20%
FFO Shares (Basic),,,,15.79%,7.17%
FFO Per Share (Diluted),,,,9.49%,6.35%
FFO Shares (Diluted),,,,14.48%,6.01%
Adjusted FFO Per Share (Basic),,,,8.44%,
Adjusted FFO Per Share (Diluted),,,,9.89%,
EBITDA,121.07%,(6.81%),37.19%,15.22%,2.36%
EBITA,256.06%,(13.24%),37.37%,14.29%,1.47%
EBIT,164.02%,(5.19%),29.99%,20.30%,3.35%
EBITDAR,119.63%,(6.65%),36.89%,15.17%,
Normalized Net Income,573.66%,(9.51%),25.34%,27.52%,4.04%
Interest Capitalized,96.79%,(46.97%),128.87%,27.68%,
Interest on Long-Term Debt,36.43%,3.66%,47.03%,14.95%,
