Income Statement,Jul 2017,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,3066.9,2977.9,3127.7,3339.7,3199.2,3199.2
Total Revenues,3066.9,2977.9,3127.7,3339.7,3199.2,3199.2
Cost Of Revenues,2404.7,2369.9,2562.4,2771.5,2642.0,2642.0
Gross Profit,662.1,608.0,565.3,568.2,557.2,557.2
Selling General & Admin Expenses,239.2,245.8,269.1,264.9,259.8,259.8
Depreciation & Amortization,147.9,162.7,179.6,187.6,175.9,175.9
Total Operating Expenses,387.1,408.5,448.7,452.5,435.7,435.7
Operating Income,275.0,199.5,116.6,115.7,121.5,121.5
Interest Expense,(37.4),(38.7),(44.5),(50.9),(29.7),(29.7)
Net Interest Expenses,(37.4),(38.7),(44.5),(50.9),(29.7),(29.7)
Other Non Operating Income (Expenses),(2.1),(1.8),(3.4),(3.2),(1.4),(1.4)
"EBT, Excl. Unusual Items",235.6,159.0,68.6,61.6,90.4,90.4
"EBT, Incl. Unusual Items",250.4,177.9,88.0,78.5,59.2,59.2
Income Tax Expense,93.2,26.6,25.1,21.3,24.9,24.9
Earnings From Continuing Operations,157.2,151.3,62.9,57.2,34.3,34.3
Net Income to Company,157.2,151.3,62.9,57.2,34.3,34.3
Net Income,157.2,151.3,62.9,57.2,34.3,34.3
NI to Common Incl Extra Items,157.2,151.3,62.9,57.2,34.3,34.3
NI to Common Excl. Extra Items,157.2,151.3,62.9,57.2,34.3,34.3
Revenue Per Share,$97.82,$95.63,$100.09,$106.03,$101.03,$101.03
Basic EPS,$5.01,$4.86,$2.01,$1.82,$1.08,$1.08
Basic EPS - Continuing Ops,$5.01,$4.86,$2.01,$1.82,$1.08,$1.08
Basic Weighted Average Shares Outst.,31.4,31.1,31.3,31.5,31.7,31.7
Diluted EPS,$4.92,$4.75,$1.97,$1.80,$1.07,$1.07
Diluted EPS - Continuing Ops,$4.92,$4.75,$1.97,$1.80,$1.07,$1.07
Diluted Weighted Average Shares Outst.,32.0,31.9,32.0,31.8,32.1,32.1
Normalized Basic EPS,$4.70,$3.19,$1.37,$1.22,$1.78,$1.78
Normalized Diluted EPS,$4.60,$3.11,$1.34,$1.21,$1.76,$1.76
EBITDA,422.9,362.3,296.2,303.2,297.4,297.4
EBITA,299.8,224.1,139.2,136.9,142.1,142.1
EBIT,275.0,199.5,116.6,115.7,121.5,121.5
EBITDAR,,,,375.3,365.5,365.5
Effective Tax Rate,37.2%,14.9%,28.5%,27.1%,42.0%,42.0%
Normalized Net Income,147.2,99.4,42.9,38.5,56.5,56.5
