Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,12.82%,14.21%,11.04%,3.46%,7.29%
Total Revenues,12.82%,14.21%,11.04%,3.46%,7.29%
Cost Of Revenues,18.16%,12.39%,13.62%,7.91%,6.71%
Gross Profit,10.37%,15.10%,9.81%,1.25%,7.58%
Selling General & Admin Expenses,26.45%,23.58%,21.43%,1.97%,3.98%
R&D Expenses,18.43%,3.39%,12.80%,4.45%,2.01%
Total Operating Expenses,24.47%,18.84%,19.67%,2.45%,3.60%
Operating Income,(5.90%),9.39%,(6.55%),(1.30%),15.95%
Interest Expense,(321.11%),(38.41%),(113.04%),-11.55%,-17.77%
Interest And Investment Income,22.09%,34.54%,39.12%,6.33%,(34.29%)
Net Interest Expenses,(370.78%),(38.57%),(116.14%),-12.04%,-17.20%
Currency Exchange Gains (Loss),-41.11%,-64.31%,(100.44%),,
Other Non Operating Income (Expenses),(74.48%),-33.66%,(20.42%),(110.09%),-55.52%
"EBT, Excl. Unusual Items",(9.56%),8.54%,(14.66%),1.46%,24.30%
"EBT, Incl. Unusual Items",(24.08%),12.50%,(11.07%),146.82%,(15.26%)
Income Tax Expense,(16.58%),,,195.94%,(35.97%)
Earnings From Continuing Operations,(27.17%),65.80%,(23.84%),138.67%,(10.41%)
Net Income to Company,(27.17%),65.80%,(23.84%),138.67%,(10.41%)
Net Income,(27.17%),65.80%,(23.84%),138.67%,(10.34%)
Preferred Dividend and Other Adjustments,25.00%,66.15%,(2.78%),113.33%,(95.14%)
NI to Common Incl Extra Items,(27.20%),65.80%,(23.86%),138.70%,(10.20%)
NI to Common Excl. Extra Items,(27.20%),65.80%,(23.86%),138.70%,(10.20%)
Revenue Per Share,12.43%,13.70%,10.13%,2.31%,5.91%
Basic EPS,(27.50%),64.87%,(24.40%),136.08%,(11.35%)
Basic EPS - Continuing Ops,(27.50%),64.87%,(24.40%),136.08%,(11.35%)
Basic Weighted Average Shares Outst.,0.32%,0.44%,0.81%,1.11%,1.30%
Diluted EPS,(27.50%),63.05%,(25.38%),135.63%,(11.65%)
Diluted EPS - Continuing Ops,(27.50%),63.05%,(25.38%),135.63%,(11.65%)
Diluted Weighted Average Shares Outst.,0.47%,1.48%,2.20%,1.31%,1.52%
Normalized Basic EPS,(9.99%),7.99%,(15.40%),0.22%,22.86%
Normalized Diluted EPS,(10.10%),6.80%,(16.51%),(0.06%),22.58%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,36.49%,(38.86%),32.37%,(57.63%),13.12%
EBITDA,(2.15%),8.72%,(2.46%),0.70%,13.79%
EBITA,(3.60%),8.45%,(3.85%),(0.48%),14.35%
EBIT,(5.90%),9.39%,(6.55%),(1.30%),15.95%
EBITDAR,(1.21%),8.80%,(1.35%),2.32%,
Effective Tax Rate,9.88%,,,19.92%,(24.44%)
Normalized Net Income,(9.56%),8.54%,(14.66%),1.46%,24.45%
Interest on Long-Term Debt,321.11%,38.41%,113.04%,(11.55%),
R&D Expense From Footnotes,36.11%,5.24%,18.71%,4.16%,2.56%
Foreign Sales,11.94%,18.77%,8.80%,3.55%,
