Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,14.26%,9.08%,(2.68%),(3.33%),(1.76%)
Total Revenues,14.26%,9.08%,(2.68%),(3.33%),(1.76%)
Cost Of Revenues,13.76%,9.77%,(1.59%),(1.15%),(0.93%)
Gross Profit,14.67%,8.52%,(3.58%),(5.17%),(2.45%)
Selling General & Admin Expenses,14.68%,8.32%,(3.48%),(1.25%),(3.08%)
Total Operating Expenses,14.68%,8.32%,(3.48%),(1.25%),(3.08%)
Operating Income,14.66%,8.82%,(3.72%),(10.99%),(1.49%)
Interest Expense,(71.66%),(35.45%),-4.90%,-31.78%,-34.07%
Interest And Investment Income,54.40%,23.13%,33.24%,(8.84%),(30.39%)
Net Interest Expenses,(72.27%),(35.84%),-6.00%,-32.72%,-34.25%
Currency Exchange Gains (Loss),,,(87.47%),,
Other Non Operating Income (Expenses),-40.48%,(293.43%),-34.27%,(81.48%),(284.32%)
"EBT, Excl. Unusual Items",11.05%,6.12%,(3.34%),(9.80%),(0.61%)
"EBT, Incl. Unusual Items",14.06%,6.72%,(3.88%),(30.07%),(21.11%)
Income Tax Expense,28.80%,(42.85%),32.14%,(44.74%),(28.66%)
Earnings From Continuing Operations,8.81%,27.58%,(10.67%),(25.97%),(19.21%)
Net Income to Company,8.81%,27.58%,(10.67%),(25.97%),(19.21%)
Net Income,8.81%,27.58%,(10.67%),(25.97%),(19.21%)
NI to Common Incl Extra Items,8.81%,27.58%,(10.67%),(25.97%),(19.21%)
NI to Common Excl. Extra Items,8.81%,27.58%,(10.67%),(25.97%),(19.21%)
Revenue Per Share,13.33%,8.25%,(1.81%),(3.84%),(2.44%)
Basic EPS,8.01%,26.65%,(9.89%),(26.40%),(19.77%)
Basic EPS - Continuing Ops,8.01%,26.65%,(9.89%),(26.40%),(19.77%)
Basic Weighted Average Shares Outst.,0.83%,0.76%,(0.88%),0.51%,0.70%
Diluted EPS,7.40%,25.98%,(9.53%),(26.25%),(19.62%)
Diluted EPS - Continuing Ops,7.40%,25.98%,(9.53%),(26.25%),(19.62%)
Diluted Weighted Average Shares Outst.,1.17%,1.25%,(1.24%),0.47%,0.50%
Normalized Basic EPS,10.02%,5.22%,(2.52%),(10.28%),(1.29%)
Normalized Diluted EPS,9.81%,4.88%,(2.13%),(10.23%),(1.10%)
Dividend Per Share,12.12%,12.61%,14.40%,6.99%,5.48%
Payout Ratio,3.96%,(11.04%),26.92%,45.28%,31.53%
EBITDA,16.84%,10.56%,(2.75%),(8.42%),(1.28%)
EBITA,17.37%,10.13%,(3.47%),(9.45%),(1.98%)
EBIT,14.66%,8.82%,(3.72%),(10.99%),(1.49%)
EBITDAR,16.20%,10.43%,(2.20%),(7.71%),
Effective Tax Rate,12.92%,(46.45%),37.50%,(20.99%),(9.57%)
Normalized Net Income,11.05%,6.12%,(3.34%),(9.80%),(0.61%)
Interest on Long-Term Debt,71.66%,35.45%,(4.90%),(31.78%),
R&D Expense From Footnotes,13.44%,12.09%,2.06%,5.95%,5.95%
Foreign Sales,11.07%,8.07%,(6.39%),(4.90%),
