Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,39.61%,16.69%,5.54%,(6.76%),(4.90%)
Total Interest Income,40.76%,18.04%,5.61%,(7.03%),(5.83%)
Interest On Deposits,97.73%,94.22%,38.44%,(33.50%),(45.25%)
Total Interest On Borrowings,53.17%,19.33%,(12.16%),1.71%,14.55%
Total Interest Expense,88.64%,81.82%,32.94%,(30.97%),(41.23%)
Net Interest Income,35.90%,9.05%,(0.81%),0.50%,5.23%
Service Charges On Deposits,11.42%,(7.72%),5.64%,(9.75%),(11.19%)
Trust Income,6.75%,3.65%,8.93%,(0.13%),0.62%
Gain (Loss) on Sale of Assets,33.61%,(60.04%),0.63%,207.34%,493.84%
Gain (Loss) on Sale of Invest. & Securities,"100,725.00%",(99.58%),"4,094.12%",526.51%,(23.57%)
Total Other Non Interest Income,41.45%,(13.14%),(6.79%),(8.90%),(9.09%)
Total Non Interest Income,20.54%,(15.28%),(0.22%),(0.32%),0.28%
Revenue Before Loan Losses,33.66%,5.86%,(0.75%),0.42%,4.69%
Provision For Loan Losses,18.07%,129.24%,(59.25%),676.03%,(60.34%)
Total Revenues,34.21%,2.06%,3.29%,(18.01%),15.33%
Salaries And Other Employee Benefits,24.79%,11.78%,14.29%,7.45%,5.51%
Occupancy Expense,25.97%,7.34%,0.75%,9.27%,10.31%
Total Selling General & Admin Expenses,14.62%,26.92%,(5.78%),(1.90%),(9.79%)
Total Other Non Interest Expense,43.06%,13.31%,3.33%,(3.43%),(2.61%)
Total Non Interest Expense,30.07%,12.98%,6.73%,3.06%,2.00%
"EBT, Excl. Unusual Items",36.70%,(4.19%),0.97%,(33.07%),27.97%
"EBT, Incl. Unusual Items",36.80%,(4.56%),1.86%,(33.34%),27.17%
Income Tax Expense,2.79%,(13.63%),1.06%,(39.09%),15.48%
Earnings From Continuing Operations,56.23%,(1.15%),2.12%,(31.47%),31.00%
Net Income to Company,56.23%,(1.15%),2.12%,(31.47%),31.00%
Minority Interest,-54.46%,,,,(58.33%)
Net Income,56.27%,(1.13%),2.11%,(31.46%),31.00%
Net Income to Common Incl Extra Items,56.27%,(1.13%),2.11%,(31.46%),31.00%
Net Income to Common Excl. Extra Items,56.27%,(1.13%),2.11%,(31.46%),31.00%
Revenue Per Share,11.75%,(0.49%),3.09%,(18.22%),15.69%
Basic EPS,29.83%,(3.47%),1.96%,(31.60%),31.41%
Basic EPS - Continuing Ops,29.83%,(3.47%),1.96%,(31.60%),31.41%
Basic Weighted Average Shares Outst.,20.17%,2.49%,0.26%,0.30%,(0.31%)
Diluted EPS,29.84%,(3.28%),1.85%,(31.60%),31.54%
Diluted EPS - Continuing Ops,29.84%,(3.28%),1.85%,(31.60%),31.54%
Diluted Weighted Average Shares Outst.,20.16%,2.33%,0.21%,0.33%,(0.13%)
Normalized Basic EPS,13.75%,(6.53%),0.75%,(33.26%),28.36%
Normalized Diluted EPS,13.89%,(6.31%),0.69%,(33.32%),28.13%
Dividend Per Share,12.70%,11.97%,17.50%,14.63%,11.73%
Payout Ratio,(8.68%),16.53%,16.03%,67.75%,
Effective Tax Rate,(24.87%),(9.51%),(0.77%),(8.63%),(9.19%)
Normalized Net Income,36.73%,(4.18%),0.96%,(33.06%),27.97%
Interest on Long-Term Debt,57.93%,9.66%,3.34%,(10.78%),
