Income Statement,Oct 2017,Nov 2018,Nov 2019,Oct 2020,TTM
Revenues,7.73%,10.44%,15.44%,(1.12%),(4.69%)
Total Revenues,7.73%,10.44%,15.44%,(1.12%),(4.69%)
Cost Of Revenues,8.12%,14.38%,14.07%,(7.43%),(10.85%)
Gross Profit,7.25%,5.53%,17.30%,7.19%,3.21%
Selling General & Admin Expenses,3.36%,11.11%,7.80%,(1.92%),(5.89%)
R&D Expenses,5.21%,3.42%,11.51%,(3.33%),(3.39%)
Total Operating Expenses,2.51%,3.98%,9.98%,(2.41%),(4.51%)
Operating Income,35.75%,12.55%,47.98%,37.09%,25.61%
Interest Expense,(3.02%),-5.02%,-34.53%,-1.44%,-3.79%
Interest And Investment Income,62.12%,108.28%,5.16%,(52.39%),(71.25%)
Net Interest Expenses,-1.54%,-19.42%,-47.56%,(32.11%),(39.42%)
Currency Exchange Gains (Loss),-68.12%,(126.82%),-22.51%,-23.74%,-9.42%
Other Non Operating Income (Expenses),182.52%,,(127.68%),,
"EBT, Excl. Unusual Items",76.20%,16.45%,72.28%,40.90%,27.17%
"EBT, Incl. Unusual Items",80.04%,(4.70%),110.50%,45.59%,31.69%
Income Tax Expense,,,(87.89%),58.43%,60.22%
Earnings From Continuing Operations,"1,638.61%",,,42.56%,25.58%
Net Income to Company,"1,638.61%",,,42.56%,25.58%
Net Income,"1,638.61%",,,42.56%,25.58%
NI to Common Incl Extra Items,"1,638.61%",,,42.56%,25.58%
NI to Common Excl. Extra Items,"1,638.61%",,,42.56%,25.58%
Revenue Per Share,4.95%,9.11%,6.55%,(0.20%),(4.24%)
Basic EPS,"1,609.07%",,,43.66%,26.17%
Basic EPS - Continuing Ops,"1,609.07%",,,43.66%,26.17%
Basic Weighted Average Shares Outst.,2.66%,1.23%,8.34%,(0.92%),(0.47%)
Diluted EPS,"1,375.58%",,,44.10%,25.95%
Diluted EPS - Continuing Ops,"1,375.58%",,,44.10%,25.95%
Diluted Weighted Average Shares Outst.,12.75%,(15.41%),9.65%,(1.05%),(0.53%)
Normalized Basic EPS,70.07%,14.79%,59.19%,42.11%,27.77%
Normalized Diluted EPS,56.34%,36.65%,57.28%,42.67%,27.85%
EBITDA,13.16%,4.42%,36.94%,29.91%,19.90%
EBITA,10.92%,3.08%,46.88%,34.76%,24.15%
EBIT,35.75%,12.55%,47.98%,37.09%,25.61%
EBITDAR,13.40%,,,,
Effective Tax Rate,,,(94.25%),8.82%,21.67%
Normalized Net Income,76.20%,16.45%,72.28%,40.90%,27.17%
R&D Expense From Footnotes,5.21%,3.42%,11.51%,(3.33%),(2.88%)
Foreign Sales,14.81%,148.98%,(54.68%),(3.02%),
