Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,49.83%,53.30%,23.99%,(34.36%),(31.59%)
Total Interest Expense,184.81%,105.78%,38.88%,(59.41%),(60.77%)
Net Interest Income,29.60%,36.02%,16.58%,(19.48%),(15.74%)
Brokerage Commission,5.72%,20.09%,(9.14%),57.51%,56.48%
Trading and Principal Transactions,(75.46%),,,,
Gain (Loss) on Sale of Investments,(84.00%),,,376.47%,
Other Revenue,89.91%,5.31%,(13.30%),(8.99%),(34.39%)
Revenue Before Loan Losses,10.10%,21.57%,3.80%,12.13%,27.49%
Total Revenues,10.10%,21.57%,3.80%,12.13%,27.49%
Salaries & Other Empl. Benefits,1.24%,7.76%,9.09%,12.85%,15.15%
Cost of Services Provided,(1.55%),15.22%,2.05%,16.29%,12.29%
Provision for Bad Debts,(66.67%),100.00%,(50.00%),500.00%,
Total Operating Expenses,(1.10%),12.58%,4.38%,16.26%,19.52%
Operating Income,18.98%,27.49%,3.46%,9.71%,32.19%
Currency Exchange Gains (Loss),,,(215.79%),-68.33%,
"EBT, Excl. Unusual Items",39.68%,12.51%,0.25%,13.43%,44.78%
Other Unusual Items,,,,(147.62%),(147.62%)
"EBT, Incl. Unusual Items",37.84%,14.01%,(3.26%),8.56%,40.94%
Income Tax Expense,312.90%,(72.27%),(4.23%),13.24%,57.75%
Earnings From Continuing Operations,13.45%,41.87%,(3.20%),8.26%,39.81%
Net Income to Company,13.45%,41.87%,(3.20%),8.26%,39.81%
Minority Interest,(16.59%),(33.33%),-2.93%,(6.03%),(35.90%)
Net Income,(9.52%),122.37%,(4.73%),21.12%,62.03%
NI to Common Incl Extra Items,(9.52%),122.37%,(4.73%),21.12%,62.03%
NI to Common Excl. Extra Items,(9.52%),122.37%,(4.73%),21.12%,62.03%
Revenue Per Share,3.95%,15.75%,0.15%,6.77%,16.92%
Basic EPS,(14.42%),111.12%,(8.04%),15.06%,48.60%
Basic EPS - Continuing Ops,(14.42%),111.12%,(8.04%),15.06%,48.60%
Basic Weighted Average Shares Outst.,5.93%,5.02%,3.65%,5.02%,9.03%
Diluted EPS,(14.40%),113.08%,(7.89%),15.24%,46.91%
Diluted EPS - Continuing Ops,(14.40%),113.08%,(7.89%),15.24%,46.91%
Diluted Weighted Average Shares Outst.,5.36%,4.74%,3.45%,4.96%,9.02%
Normalized Basic EPS,-64.33%,(278.55%),-17.37%,-28.67%,-10.96%
Normalized Diluted EPS,-64.15%,(279.39%),-17.26%,-28.68%,-10.95%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,19.04%,(53.42%),12.21%,(14.75%),
Effective Tax Rate,199.44%,(75.67%),(1.06%),4.26%,11.92%
Normalized Net Income,-62.24%,(296.20%),-14.33%,-24.98%,-2.92%
Foreign Sales,(11.71%),30.10%,2.74%,53.51%,
