Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(15.29%),8.38%,(0.30%),5.82%,19.69%
Total Revenues,(15.29%),8.38%,(0.30%),5.82%,19.69%
Cost Of Revenues,(12.74%),8.19%,(4.02%),5.24%,17.17%
Gross Profit,(22.02%),8.95%,10.61%,7.31%,26.18%
Selling General & Admin Expenses,(21.77%),8.89%,5.95%,5.48%,17.66%
R&D Expenses,(19.83%),8.87%,0.08%,3.54%,7.64%
Total Operating Expenses,(21.40%),8.89%,4.82%,5.13%,15.75%
Operating Income,(22.94%),9.04%,19.40%,10.21%,39.97%
Interest Expense,-4.00%,(74.24%),(65.22%),-11.45%,-10.81%
Interest And Investment Income,44.44%,11.54%,13.79%,(63.64%),(65.63%)
Net Interest Expenses,-7.39%,(81.09%),(68.68%),-9.08%,-8.30%
Other Non Operating Income (Expenses),,(43.28%),10.53%,,
"EBT, Excl. Unusual Items",(19.53%),3.75%,12.96%,10.80%,43.61%
"EBT, Incl. Unusual Items",(45.37%),45.94%,(64.37%),327.01%,472.90%
Income Tax Expense,(3.21%),(48.66%),40.14%,22.04%,58.95%
Earnings From Continuing Operations,(63.08%),150.15%,(88.00%),"1,132.57%","1,801.20%"
Earnings Of Discontinued Operations,"2,718.75%",(73.61%),,-98.76%,-99.21%
Net Income to Company,(46.96%),81.22%,,,
Net Income,(46.96%),81.22%,,,
NI to Common Incl Extra Items,(46.96%),81.22%,,,
NI to Common Excl. Extra Items,(63.08%),150.15%,(88.00%),"1,132.57%","1,801.20%"
Revenue Per Share,(13.59%),10.61%,2.51%,13.84%,26.64%
Basic EPS,(45.95%),84.67%,,,
Basic EPS - Continuing Ops,(62.36%),155.99%,(87.65%),"1,214.18%","1,911.66%"
Basic Weighted Average Shares Outst.,(1.97%),(2.01%),(2.74%),(7.04%),(5.49%)
Diluted EPS,(45.98%),85.49%,,,
Diluted EPS - Continuing Ops,(62.42%),156.25%,(87.57%),"1,205.56%","1,896.85%"
Diluted Weighted Average Shares Outst.,(2.07%),(2.11%),(2.95%),(6.89%),(4.80%)
Normalized Basic EPS,(18.03%),5.89%,16.25%,19.01%,51.95%
Normalized Diluted EPS,(17.89%),5.99%,16.55%,19.01%,50.85%
Dividend Per Share,10.48%,13.04%,11.54%,13.79%,13.33%
Payout Ratio,106.25%,(38.26%),,,
EBITDA,(21.77%),15.24%,17.67%,10.29%,34.00%
EBITA,(23.45%),14.52%,20.07%,9.65%,37.55%
EBIT,(22.94%),9.04%,19.40%,10.21%,39.97%
EBITDAR,(21.74%),14.88%,18.51%,9.56%,
Effective Tax Rate,77.15%,(64.82%),293.37%,(71.42%),(72.26%)
Normalized Net Income,(19.53%),3.75%,12.96%,10.80%,43.61%
Interest Capitalized,,(52.17%),127.27%,(12.00%),
Interest on Long-Term Debt,12.73%,55.48%,68.05%,(11.48%),
R&D Expense From Footnotes,(19.83%),8.87%,0.08%,3.54%,7.64%
Foreign Sales,(22.72%),6.83%,5.39%,8.95%,
